,rn,iteration
193,"('R02602', 'forward')",1
194,"('R00321', 'forward')",1
195,"('R02427', 'reverse')",1
196,"('R00821', 'forward')",1
197,"('R01826', 'reverse')",1
198,"('R09664', 'reverse')",1
199,"('R01761', 'forward')",1
200,"('R01325', 'reverse')",1
201,"('R05140', 'forward')",1
202,"('R00767', 'reverse')",1
203,"('R01804', 'reverse')",1
204,"('R00174', 'forward')",1
205,"('R02821', 'forward')",1
206,"('R04177', 'reverse')",1
207,"('R01156', 'forward')",1
208,"('R00345', 'reverse')",1
209,"('R01504', 'forward')",1
210,"('R00948', 'forward')",1
211,"('R03801', 'reverse')",1
212,"('R02948', 'reverse')",1
213,"('R09532', 'reverse')",1
214,"('R01718', 'forward')",1
215,"('R05176', 'forward')",1
216,"('R02508', 'forward')",1
217,"('R02279', 'forward')",1
218,"('R02091', 'forward')",1
219,"('R01877', 'forward')",1
220,"('R02360', 'forward')",1
221,"('R03187', 'reverse')",1
222,"('R00909', 'forward')",1
223,"('R09800', 'forward')",1
224,"('R05046', 'forward')",1
225,"('R01471', 'reverse')",1
226,"('R05767', 'forward')",1
227,"('R00251', 'forward')",1
228,"('R01228', 'reverse')",1
229,"('R01641', 'forward')",1
230,"('R03375', 'forward')",1
231,"('R05135', 'forward')",1
232,"('R01560', 'forward')",1
233,"('R01790', 'forward')",1
234,"('R03635', 'forward')",1
235,"('R03034', 'forward')",1
236,"('R09717', 'forward')",1
237,"('R00320', 'forward')",1
238,"('R10050', 'forward')",1
239,"('R01512', 'reverse')",1
240,"('R00218', 'reverse')",1
241,"('R02664', 'reverse')",1
242,"('R00670', 'forward')",1
243,"('R00005', 'reverse')",1
244,"('R02320', 'forward')",1
245,"('R01516', 'reverse')",1
246,"('R03244', 'forward')",1
247,"('R02097', 'reverse')",1
248,"('R01647', 'reverse')",1
249,"('R10344', 'reverse')",1
250,"('R03127', 'forward')",1
251,"('R00015', 'forward')",1
252,"('R01982', 'reverse')",1
253,"('R05790', 'reverse')",1
254,"('R01900', 'reverse')",1
255,"('R00306', 'forward')",1
256,"('R05465', 'forward')",1
257,"('R06514', 'reverse')",1
258,"('R02110', 'reverse')",1
259,"('R03350', 'forward')",1
260,"('R04286', 'reverse')",1
261,"('R05141', 'forward')",1
262,"('R09697', 'reverse')",1
263,"('R01052', 'reverse')",1
264,"('R03921', 'forward')",1
265,"('R01517', 'reverse')",1
266,"('R10183', 'forward')",1
267,"('R00409', 'reverse')",1
268,"('R02332', 'forward')",1
269,"('R00770', 'reverse')",1
270,"('R01393', 'forward')",1
271,"('R03217', 'forward')",1
272,"('R00208', 'reverse')",1
273,"('R01751', 'forward')",1
274,"('R02868', 'reverse')",1
275,"('R03852', 'forward')",1
276,"('R03239', 'reverse')",1
277,"('R03387', 'reverse')",1
278,"('R10010', 'reverse')",1
279,"('R02168', 'forward')",1
280,"('R00131', 'forward')",1
281,"('R02071', 'forward')",1
282,"('R00418', 'forward')",1
283,"('R00428', 'forward')",1
284,"('R00762', 'reverse')",1
285,"('R01666', 'reverse')",1
286,"('R10049', 'forward')",1
287,"('R01152', 'reverse')",1
288,"('R00303', 'forward')",1
289,"('R05069', 'forward')",1
290,"('R00022', 'reverse')",1
291,"('R00572', 'forward')",1
292,"('R01001', 'forward')",1
293,"('R01484', 'reverse')",1
294,"('R02817', 'forward')",1
295,"('R01408', 'reverse')",1
296,"('R10089', 'reverse')",1
297,"('R02754', 'forward')",1
298,"('R01987', 'reverse')",1
299,"('R01283', 'forward')",1
300,"('R01324', 'forward')",1
301,"('R07392', 'forward')",1
302,"('R07394', 'forward')",1
303,"('R09771', 'reverse')",1
304,"('R06973', 'forward')",1
305,"('R01091', 'forward')",1
306,"('R01437', 'forward')",1
307,"('R01884', 'forward')",1
308,"('R08601', 'forward')",1
309,"('R02121', 'forward')",1
310,"('R09942', 'forward')",1
311,"('R00474', 'reverse')",1
312,"('R01754', 'forward')",1
313,"('R01573', 'forward')",1
314,"('R03083', 'forward')",1
315,"('R00883', 'reverse')",1
316,"('R02088', 'reverse')",1
317,"('R10462', 'forward')",1
318,"('R03131', 'reverse')",1
319,"('R01870', 'reverse')",1
320,"('R00651', 'reverse')",1
321,"('R00380', 'reverse')",1
322,"('R00878', 'forward')",1
323,"('R03115', 'forward')",1
324,"('R01051', 'reverse')",1
325,"('R02603', 'reverse')",1
326,"('R01207', 'forward')",1
327,"('R08639', 'forward')",1
328,"('R00809', 'reverse')",1
329,"('R02111', 'reverse')",1
