,cid,iteration
399,C02097,1
400,C02225,1
401,C00624,1
402,C00067,1
403,C01261,1
404,C04874,1
405,C00879,1
406,C01742,1
407,C00475,1
408,C00307,1
409,C01102,1
410,C02336,1
411,C00546,1
412,C00044,1
413,C00488,1
414,C02048,1
415,C18094,1
416,C00718,1
417,C01118,1
418,C16848,1
419,C18050,1
420,C03323,1
421,C20248,1
422,C00103,1
423,C01077,1
424,C03703,1
425,C19793,1
426,C18060,1
427,C00905,1
428,C03584,1
429,C15925,1
430,C04030,1
431,C00558,1
432,C00565,1
433,C00680,1
434,C00300,1
435,C06201,1
436,C00066,1
437,C00196,1
438,C06193,1
439,C00669,1
440,C00114,1
441,C00665,1
442,C03785,1
443,C03486,1
444,C00881,1
445,C05945,1
446,C00655,1
447,C02280,1
448,C00362,1
449,C11550,1
450,C00081,1
451,C03661,1
452,C05402,1
453,C00975,1
454,C00818,1
455,C18076,1
456,C11516,1
457,C00128,1
458,C02353,1
459,C00813,1
460,C00986,1
461,C06215,1
462,C16565,1
463,C00334,1
464,C19787,1
465,C20485,1
466,C00258,1
467,C03387,1
468,C02967,1
469,C00035,1
470,C05400,1
471,C03233,1
472,C01045,1
473,C01268,1
474,C00104,1
475,C04739,1
476,C00588,1
477,C15650,1
478,C19823,1
479,C19791,1
480,C06010,1
481,C05923,1
482,C02076,1
483,C00121,1
484,C00212,1
485,C06468,1
486,C11514,1
487,C02142,1
488,C00021,1
489,C01732,1
490,C04691,1
491,C19882,1
492,C04479,1
493,C01216,1
494,C00147,1
495,C00189,1
496,C00329,1
497,C00502,1
498,C00944,1
499,C00031,1
500,C01137,1
501,C15926,1
502,C00354,1
503,C00168,1
504,C01566,1
505,C03453,1
506,C20641,1
507,C04133,1
508,C00018,1
509,C00346,1
510,C00252,1
511,C00198,1
512,C03166,1
513,C00545,1
514,C01260,1
515,C00973,1
516,C20640,1
517,C00294,1
518,C00942,1
519,C06156,1
520,C00221,1
521,C03383,1
522,C01728,1
523,C00197,1
524,C02512,1
525,C03291,1
526,C12624,1
527,C02798,1
528,C15607,1
529,C03431,1
530,C06244,1
531,C15767,1
532,C02753,1
533,C06194,1
534,C01367,1
535,C05519,1
536,C13482,1
537,C00464,1
538,C03082,1
539,C00263,1
540,C03794,1
541,C11907,1
542,C00295,1
543,C05512,1
544,C20567,1
545,C00672,1
546,C00201,1
547,C12147,1
548,C06655,1
549,C02995,1
550,C04257,1
551,C06210,1
552,C05922,1
553,C00940,1
554,C00074,1
555,C01725,1
556,C01304,1
557,C01029,1
558,C19881,1
559,C00618,1
560,C00333,1
561,C00536,1
562,C00794,1
563,C00684,1
564,C01353,1
565,C00663,1
566,C00092,1
567,C00140,1
568,C00063,1
569,C03589,1
570,C04089,1
571,C03089,1
572,C18068,1
573,C00596,1
574,C00631,1
575,C04037,1
576,C06620,1
577,C16737,1
578,C00736,1
579,C00181,1
580,C00118,1
581,C07282,1
582,C03921,1
583,C00286,1
584,C05931,1
585,C00227,1
586,C00345,1
587,C20237,1
588,C00581,1
589,C01170,1
590,C02655,1
591,C07838,1
592,C19779,1
593,C05345,1
594,C08242,1
595,C03217,1
596,C16698,1
597,C04734,1
598,C01879,1
599,C11544,1
600,C00267,1
601,C00842,1
602,C00365,1
603,C00856,1
604,C04639,1
605,C15563,1
606,C00301,1
607,C02305,1
608,C15651,1
609,C06219,1
610,C03961,1
611,C00682,1
612,C02486,1
613,C01368,1
614,C01073,1
615,C01114,1
616,C00880,1
617,C00793,1
618,C05341,1
619,C00084,1
620,C00357,1
621,C00199,1
622,C00262,1
623,C00085,1
624,C20861,1
625,C01935,1
626,C06442,1
627,C00447,1
628,C06231,1
629,C00184,1
630,C04017,1
631,C17234,1
632,C01094,1
633,C16463,1
634,C00090,1
635,C00213,1
636,C11551,1
637,C02107,1
638,C00086,1
639,C00820,1
640,C04895,1
641,C02352,1
642,C06241,1
643,C00206,1
644,C04501,1
645,C00459,1
646,C06352,2
647,C01243,2
648,C02532,2
649,C00215,2
650,C04349,2
651,C20896,2
652,C04751,2
653,C05340,2
654,C02167,2
655,C04051,2
656,C06198,2
657,C00408,2
658,C01384,2
659,C04299,2
660,C12270,2
661,C01962,2
662,C04666,2
663,C05730,2
664,C05198,2
665,C11555,2
666,C07272,2
667,C19794,2
668,C03483,2
669,C02741,2
670,C04677,2
671,C03660,2
672,C04823,2
673,C03451,2
674,C15996,2
675,C03614,2
676,C02073,2
677,C04810,2
678,C19761,2
679,C01948,2
680,C05711,2
681,C00491,2
682,C11511,2
683,C04053,2
684,C01117,2
685,C20889,2
686,C00497,2
687,C06189,2
688,C17530,2
689,C19799,2
690,C06197,2
691,C04896,2
692,C00137,2
693,C04563,2
694,C04006,2
695,C00051,2
696,C01031,2
697,C04752,2
698,C15667,2
699,C03546,2
700,C01240,2
701,C01267,2
702,C03373,2
703,C19960,2
704,C01420,2
705,C04063,2
706,C04544,2
707,C00132,2
708,C01329,2
709,C01177,2
710,C02385,2
711,C00214,2
712,C03716,2
713,C00700,2
714,C20845,2
715,C01817,2
716,C05821,2
717,C00127,2
718,C06393,2
719,C15990,2
720,C03174,2
721,C01596,2
722,C02376,2
723,C11908,2
724,C00237,2
725,C11526,2
726,C20198,2
727,C04494,2
728,C19809,2
729,C20776,2
730,C01204,2
731,C02218,2
732,C14180,2
733,C15991,2
734,C01279,2
735,C04556,2
736,C02501,2
737,C03419,2
738,C02466,2
739,C06118,2
740,C04477,2
741,C01272,2
742,C04062,2
743,C03659,2
744,C03752,2
745,C01245,2
746,C15585,2
747,C00178,2
748,C04292,2
749,C11174,2
750,C05993,2
751,C00027,2
752,C04807,2
753,C04058,2
754,C04579,2
755,C04916,2
756,C01220,2
757,C20366,2
758,C06192,2
759,C01235,2
760,C03418,2
761,C20844,2
762,C20690,2
763,C00716,2
764,C20589,2
765,C00740,2
766,C04212,2
767,C03838,2
768,C00801,2
769,C18232,2
770,C03015,2
771,C01228,2
772,C04520,2
773,C01284,2
774,C00364,2
775,C04392,2
776,C20190,2
777,C01933,3
778,C04039,3
779,C17581,3
780,C00402,3
781,C05161,3
782,C19719,3
783,C02647,3
784,C20644,3
785,C00819,3
786,C00860,3
787,C20234,3
788,C03079,3
789,C01743,3
790,C04390,3
791,C05359,3
792,C00792,3
793,C04886,3
794,C20353,3
795,C00855,3
796,C04272,3
797,C15668,3
798,C03539,3
799,C02220,3
800,C04462,3
801,C05360,3
802,C12115,3
803,C20267,3
804,C06007,3
805,C00966,3
806,C03232,3
807,C05947,3
808,C00647,3
809,C02237,3
810,C04268,3
811,C05548,3
812,C11933,3
813,C07481,3
814,C00739,3
815,C01180,3
816,C00217,3
817,C13747,3
818,C00763,3
819,C03738,3
820,C16849,3
821,C00515,3
822,C00534,3
823,C03943,3
824,C19947,3
825,C00671,3
826,C04421,3
827,C16358,3
828,C05673,3
829,C05361,3
830,C07480,3
831,C04346,3
832,C03239,3
833,C01165,3
834,C01201,3
835,C00697,3
836,C19961,3
837,C00302,3
838,C00133,3
839,C00233,3
840,C20258,3
841,C16741,3
842,C19948,3
843,C01250,3
844,C05328,3
845,C11838,3
846,C00555,3
847,C11925,3
848,C17580,3
849,C01283,3
850,C13050,3
851,C01239,3
852,C16356,3
853,C04540,3
854,C04076,3
855,C02223,3
856,C01214,3
857,C03557,3
858,C00993,3
859,C04322,3
860,C00957,3
861,C00141,3
862,C01100,3
863,C16365,3
864,C04630,3
865,C16850,3
866,C03771,3
867,C01419,3
868,C03366,3
869,C16353,3
870,C00441,3
871,C15486,3
872,C03972,3
873,C20638,3
874,C02627,3
875,C17582,3
876,C04236,3
877,C00666,3
878,C03298,4
879,C00884,4
880,C03078,4
881,C04138,4
882,C00386,4
883,C05575,4
884,C01152,4
885,C11821,4
886,C01262,4
887,C04280,4
888,C03139,4
889,C12248,4
890,C03065,4
891,C03409,4
892,C02348,4
893,C03680,4
894,C00499,4
895,C03047,4
896,C05127,4
897,C07305,4
898,C02350,4
899,C04259,4
900,C00388,4
901,C01035,4
902,C01294,4
903,C03277,4
904,C02091,4
905,C00135,4
906,C00785,4
907,C00439,4
908,C15583,5
909,C11481,5
910,C03097,5
911,C00850,5
912,C00593,5
913,C00245,5
914,C02703,5
915,C05526,5
916,C00094,5
917,C03851,5
918,C05824,5
919,C01755,5
920,C06656,5
921,C00506,5
922,C01959,5
923,C16069,5
924,C15584,5
925,C00573,5
926,C03149,5
927,C00224,5
928,C11536,5
929,C04376,5
930,C11537,5
931,C05528,5
932,C00059,5
933,C04640,5
934,C00320,5
935,C20679,5
936,C00919,5
937,C00053,5
938,C00450,6
939,C12470,6
940,C11521,6
941,C15809,6
942,C07331,6
943,C19033,6
944,C02427,6
945,C16562,7
946,C16567,7
947,C02090,7
948,C16563,7
949,C16566,7
950,C20775,7
951,C15699,7
952,C04674,8
953,C02827,8
954,C02704,8
955,C01075,8
956,C03789,8
957,C17205,8
958,C19694,9
959,C20684,9
960,C19935,10
961,C00533,10
962,C00887,10
963,C05715,11
964,C01328,11
965,C00552,12
966,C01769,12
967,C03548,13
968,C00012,13
