iteration,fold,numCompounds
1,3.40,209
2,3.90,214
3,3.75,217
4,3.30,220
5,3.55,220
6,3.10,220
7,2.140,220
8,2.70,220
9,1.50,220
10,2.102,220
11,2.150,220
12,1.25,220
13,3.80,220
14,2.130,220
15,3.70,220
16,3.60,220
17,2.60,220
18,3.50,220
19,2.40,220
20,1.10,220
21,3.65,220
22,2.160,220
23,2.20,220
24,2.10,220
25,2.110,220
26,1.20,220
27,2.80,220
28,4.10,220
29,2.30,220
30,6.20,220
31,2.170,220
32,2.115,220
33,2.120,220
34,3.15,220
35,6.10,220
36,3.20,220
