rxn	iter
('R00568', 'forward')	1
('R08620', 'reverse')	1
('R00542', 'reverse')	1
('R07392', 'reverse')	1
('R02875', 'forward')	1
('R01157', 'forward')	1
('R02038', 'reverse')	1
('R01550', 'forward')	1
('R00442', 'forward')	1
('R08695', 'reverse')	1
('R08632', 'reverse')	1
('R02006', 'reverse')	1
('R10717', 'forward')	1
('R01082', 'reverse')	1
('R03471', 'forward')	1
('R07696', 'forward')	1
('R03255', 'reverse')	1
('R01899', 'forward')	1
('R02596', 'forward')	1
('R00488', 'reverse')	1
('R10234', 'reverse')	1
('R01290', 'forward')	1
('R01073', 'forward')	1
('R00589', 'forward')	1
('R03666', 'forward')	1
('R05141', 'reverse')	1
('R08197', 'forward')	1
('R09138', 'reverse')	1
('R02466', 'forward')	1
('R08515', 'reverse')	1
('R08061', 'reverse')	1
('R05176', 'reverse')	1
('R08634', 'forward')	1
('R05637', 'reverse')	1
('R08618', 'forward')	1
('R01983', 'forward')	1
('R04251', 'reverse')	1
('R05554', 'reverse')	1
('R01308', 'forward')	1
('R03216', 'reverse')	1
('R05549', 'reverse')	1
('R00205', 'reverse')	1
('R00943', 'reverse')	1
('R03792', 'reverse')	1
('R07584', 'forward')	1
('R10691', 'forward')	1
('R03422', 'forward')	1
('R06422', 'forward')	1
('R04949', 'reverse')	1
('R01367', 'forward')	1
('R03026', 'reverse')	1
('R06428', 'forward')	1
('R01528', 'reverse')	1
('R01369', 'forward')	1
('R00397', 'reverse')	1
('R04282', 'forward')	1
('R02085', 'reverse')	1
('R08215', 'reverse')	1
('R05142', 'forward')	1
('R09238', 'reverse')	1
('R09140', 'forward')	1
('R08461', 'forward')	1
('R01525', 'reverse')	1
('R00930', 'forward')	1
('R01164', 'forward')	1
('R02196', 'reverse')	1
('R08436', 'reverse')	1
('R07732', 'reverse')	1
('R07986', 'forward')	1
('R01800', 'forward')	1
('R00539', 'forward')	1
('R10111', 'reverse')	1
('R05674', 'reverse')	1
('R02271', 'reverse')	1
('R01881', 'forward')	1
('R01373', 'reverse')	1
('R05287', 'forward')	1
('R03635', 'forward')	1
('R06531', 'forward')	1
('R01152', 'reverse')	1
('R03409', 'forward')	1
('R00917', 'reverse')	1
('R09046', 'reverse')	1
('R03236', 'forward')	1
('R01493', 'reverse')	1
('R03919', 'forward')	1
('R01239', 'forward')	1
('R02089', 'reverse')	1
('R02371', 'forward')	1
('R10600', 'reverse')	1
('R01322', 'forward')	1
('R00216', 'reverse')	1
('R00896', 'reverse')	1
('R03018', 'reverse')	1
('R10348', 'forward')	1
('R09376', 'reverse')	1
('R03001', 'forward')	1
('R07280', 'reverse')	1
('R01423', 'reverse')	1
('R02942', 'forward')	1
('R09973', 'forward')	1
('R09717', 'reverse')	1
('R05106', 'forward')	1
('R10167', 'forward')	1
('R06894', 'forward')	1
('R01153', 'reverse')	1
('R10308', 'forward')	1
('R02473', 'forward')	1
('R03066', 'forward')	1
('R04862', 'reverse')	1
('R04093', 'reverse')	1
('R03314', 'reverse')	1
('R00345', 'forward')	1
('R03351', 'reverse')	1
('R02896', 'reverse')	1
('R07141', 'reverse')	1
('R00838', 'forward')	1
('R08080', 'reverse')	1
('R04721', 'reverse')	1
('R09270', 'reverse')	1
('R02064', 'reverse')	1
('R02247', 'reverse')	1
('R00112', 'reverse')	1
('R03266', 'forward')	1
('R02773', 'reverse')	1
('R09250', 'reverse')	1
('R03469', 'forward')	1
('R00683', 'reverse')	1
('R00856', 'forward')	1
('R08927', 'forward')	1
('R01400', 'reverse')	1
('R04784', 'reverse')	1
('R01991', 'forward')	1
('R00330', 'reverse')	1
('R07396', 'forward')	1
('R03868', 'reverse')	1
('R02634', 'forward')	1
('R08892', 'forward')	1
('R00248', 'forward')	1
('R08650', 'reverse')	1
('R00507', 'reverse')	1
('R09149', 'reverse')	1
('R01971', 'forward')	1
('R04346', 'reverse')	1
('R10349', 'forward')	1
('R03527', 'forward')	1
('R00424', 'reverse')	1
('R03892', 'forward')	1
('R04950', 'forward')	1
('R04743', 'reverse')	1
('R02739', 'forward')	1
('R00443', 'reverse')	1
('R10787', 'reverse')	1
('R01126', 'reverse')	1
('R03127', 'reverse')	1
('R08609', 'forward')	1
('R07181', 'reverse')	1
('R02957', 'forward')	1
('R00237', 'forward')	1
('R00153', 'reverse')	1
('R03183', 'reverse')	1
('R10842', 'forward')	1
('R01737', 'reverse')	1
('R08698', 'forward')	1
('R09668', 'reverse')	1
('R02387', 'reverse')	1
('R06595', 'forward')	1
('R07245', 'forward')	1
('R03250', 'forward')	1
('R05308', 'forward')	1
('R00720', 'forward')	1
('R07940', 'reverse')	1
('R04374', 'reverse')	1
('R07648', 'forward')	1
('R09111', 'forward')	1
('R08199', 'reverse')	1
('R05571', 'reverse')	1
('R08883', 'reverse')	1
('R04334', 'reverse')	1
('R02454', 'reverse')	1
('R10847', 'forward')	1
('R03879', 'reverse')	1
('R05365', 'forward')	1
('R02691', 'forward')	1
('R09670', 'reverse')	1
('R08417', 'forward')	1
('R03154', 'forward')	1
('R01520', 'forward')	1
('R02931', 'reverse')	1
('R01860', 'reverse')	1
('R07477', 'reverse')	1
('R08422', 'forward')	1
('R07269', 'reverse')	1
('R02706', 'forward')	1
('R08798', 'reverse')	1
('R10638', 'forward')	1
('R07433', 'forward')	1
('R06604', 'reverse')	1
('R03903', 'reverse')	1
('R00435', 'forward')	1
('R08647', 'forward')	1
('R05079', 'reverse')	1
('R00236', 'forward')	1
('R01012', 'forward')	1
('R08036', 'reverse')	1
('R08858', 'reverse')	1
('R05767', 'forward')	1
('R00006', 'reverse')	1
('R02601', 'forward')	1
('R01411', 'reverse')	1
('R01505', 'reverse')	1
('R10747', 'reverse')	1
('R00624', 'forward')	1
('R00053', 'reverse')	1
('R09771', 'forward')	1
('R03079', 'forward')	1
('R00665', 'forward')	1
('R00586', 'reverse')	1
('R10639', 'forward')	1
('R09995', 'reverse')	1
('R04879', 'forward')	1
('R02301', 'forward')	1
('R06824', 'forward')	1
('R02984', 'reverse')	1
('R00301', 'reverse')	1
('R00803', 'reverse')	1
('R10503', 'reverse')	1
('R10458', 'reverse')	1
('R01560', 'forward')	1
('R10250', 'forward')	1
('R06858', 'reverse')	1
('R03098', 'forward')	1
('R03333', 'reverse')	1
('R09958', 'reverse')	1
('R02459', 'forward')	1
('R10149', 'forward')	1
('R03014', 'reverse')	1
('R04732', 'reverse')	1
('R00832', 'forward')	1
('R10514', 'reverse')	1
('R05298', 'reverse')	1
('R02895', 'forward')	1
('R04531', 'forward')	1
('R02741', 'forward')	1
('R00827', 'reverse')	1
('R01139', 'reverse')	1
('R01029', 'forward')	1
('R04776', 'reverse')	1
('R03234', 'reverse')	1
('R05585', 'reverse')	1
('R03237', 'reverse')	1
('R05596', 'reverse')	1
('R00676', 'forward')	1
('R05805', 'reverse')	1
('R10688', 'forward')	1
('R09526', 'reverse')	1
('R05700', 'forward')	1
('R00717', 'reverse')	1
('R08555', 'reverse')	1
('R01101', 'reverse')	1
('R04615', 'forward')	1
('R10775', 'forward')	1
('R01241', 'forward')	1
('R01397', 'reverse')	1
('R00716', 'forward')	1
('R06765', 'forward')	1
('R09972', 'forward')	1
('R00119', 'reverse')	1
('R09474', 'forward')	1
('R02311', 'forward')	1
('R04343', 'reverse')	1
('R10281', 'reverse')	1
('R05693', 'forward')	1
('R00576', 'reverse')	1
('R05717', 'reverse')	1
('R08628', 'forward')	1
('R08122', 'forward')	1
('R02688', 'forward')	1
('R01364', 'reverse')	1
('R01301', 'reverse')	1
('R00502', 'forward')	1
('R05081', 'forward')	1
('R00740', 'forward')	1
('R03258', 'forward')	1
('R05275', 'reverse')	1
('R01829', 'forward')	1
('R00552', 'forward')	1
('R03330', 'reverse')	1
('R02941', 'reverse')	1
('R08931', 'reverse')	1
('R05420', 'forward')	1
('R00300', 'forward')	1
('R04286', 'reverse')	1
('R01302', 'reverse')	1
('R01390', 'reverse')	1
('R01654', 'forward')	1
('R04053', 'forward')	1
('R00763', 'reverse')	1
('R05374', 'reverse')	1
('R03692', 'reverse')	1
('R03908', 'reverse')	1
('R08932', 'forward')	1
('R04446', 'reverse')	1
('R08541', 'reverse')	1
('R03971', 'reverse')	1
('R06837', 'reverse')	1
('R01481', 'forward')	1
('R00959', 'forward')	1
('R00259', 'forward')	1
('R02649', 'forward')	1
('R05304', 'forward')	1
('R00621', 'reverse')	1
('R08929', 'forward')	1
('R01080', 'reverse')	1
('R01482', 'reverse')	1
('R01069', 'reverse')	1
('R01344', 'reverse')	1
('R03524', 'reverse')	1
('R02381', 'forward')	1
('R06602', 'forward')	1
('R01730', 'forward')	1
('R02527', 'reverse')	1
('R01977', 'forward')	1
('R02734', 'forward')	1
('R01811', 'forward')	1
('R08420', 'reverse')	1
('R08796', 'reverse')	1
('R01566', 'forward')	1
('R09378', 'reverse')	1
('R01077', 'reverse')	1
('R00986', 'forward')	1
('R10195', 'reverse')	1
('R04386', 'reverse')	1
('R02462', 'reverse')	1
('R09359', 'reverse')	1
('R01901', 'reverse')	1
('R03372', 'reverse')	1
('R04583', 'reverse')	1
('R04951', 'reverse')	1
('R09124', 'forward')	1
('R08601', 'forward')	1
('R02429', 'reverse')	1
('R08594', 'forward')	1
('R01317', 'forward')	1
('R07989', 'reverse')	1
('R05627', 'forward')	1
('R03565', 'forward')	1
('R10763', 'forward')	1
('R02736', 'forward')	1
('R09968', 'reverse')	1
('R10079', 'reverse')	1
('R07673', 'forward')	1
('R01243', 'forward')	1
('R02027', 'reverse')	1
('R04632', 'reverse')	1
('R03105', 'reverse')	1
('R08130', 'forward')	1
('R02926', 'reverse')	1
('R01216', 'reverse')	1
('R08766', 'forward')	1
('R05147', 'forward')	1
('R01231', 'forward')	1
('R06568', 'forward')	1
('R05779', 'forward')	1
('R05789', 'reverse')	1
('R03492', 'forward')	1
('R09478', 'forward')	1
('R07135', 'forward')	1
('R00013', 'forward')	1
('R02093', 'forward')	1
('R01014', 'reverse')	1
('R00441', 'reverse')	1
('R09944', 'forward')	1
('R01663', 'reverse')	1
('R05636', 'forward')	1
('R03224', 'reverse')	1
('R06356', 'forward')	1
('R05593', 'forward')	1
('R04447', 'forward')	1
('R03217', 'forward')	1
('R09116', 'forward')	1
('R00936', 'forward')	1
('R02659', 'reverse')	1
('R02340', 'reverse')	1
('R03191', 'forward')	1
('R05071', 'reverse')	1
('R03027', 'reverse')	1
('R00761', 'reverse')	1
('R00267', 'forward')	1
('R01974', 'reverse')	1
('R00739', 'reverse')	1
('R00682', 'forward')	1
('R10289', 'forward')	1
('R06780', 'reverse')	1
('R01121', 'forward')	1
('R09879', 'reverse')	1
('R00010', 'forward')	1
('R01784', 'forward')	1
('R01357', 'forward')	1
('R00987', 'forward')	1
('R09245', 'reverse')	1
('R01683', 'reverse')	1
('R07833', 'forward')	1
('R02672', 'forward')	1
('R09094', 'reverse')	1
('R01665', 'forward')	1
('R01975', 'forward')	1
('R06790', 'forward')	1
('R08014', 'forward')	1
('R09698', 'forward')	1
('R10547', 'forward')	1
('R01633', 'reverse')	1
