iteration,fold,numCompounds
1,3.40,922
2,3.20,947
3,3.30,960
4,3.75,964
5,2.60,967
6,3.60,969
7,3.55,969
8,3.10,969
9,2.140,969
10,2.70,969
11,1.50,969
12,2.102,969
13,2.150,969
14,1.25,969
15,3.80,969
16,2.130,969
17,3.70,969
18,3.50,969
19,2.40,969
20,1.10,969
21,3.65,969
22,2.160,969
23,2.20,969
24,2.10,969
25,2.110,969
26,3.90,969
27,1.20,969
28,2.80,969
29,4.10,969
30,2.30,969
31,6.20,969
32,2.170,969
33,2.115,969
34,2.120,969
35,3.15,969
36,6.10,969
