rxn	iter
('R02168', 'reverse')	1
('R01064', 'forward')	1
('R01398', 'reverse')	1
('R07306', 'reverse')	1
('R07918', 'forward')	1
('R00181', 'forward')	1
('R02095', 'reverse')	1
('R02321', 'reverse')	1
('R04053', 'forward')	1
('R01548', 'forward')	1
('R05518', 'reverse')	1
('R01292', 'forward')	1
('R08632', 'reverse')	1
('R00442', 'forward')	1
('R02038', 'reverse')	1
('R01157', 'forward')	1
('R01187', 'reverse')	1
('R00949', 'reverse')	1
('R07392', 'reverse')	1
('R01667', 'forward')	1
('R00451', 'reverse')	1
('R00803', 'forward')	1
('R00341', 'forward')	1
('R01647', 'forward')	1
('R03266', 'reverse')	1
('R00510', 'forward')	1
('R00183', 'forward')	1
('R02984', 'forward')	1
('R00568', 'forward')	1
('R04779', 'reverse')	1
('R01684', 'reverse')	1
('R04438', 'reverse')	1
('R00340', 'reverse')	1
('R00659', 'reverse')	1
('R07940', 'forward')	1
('R08197', 'forward')	1
('R00765', 'forward')	1
('R05141', 'reverse')	1
('R01718', 'reverse')	1
('R00589', 'forward')	1
('R01290', 'forward')	1
('R10147', 'forward')	1
('R00488', 'reverse')	1
('R02735', 'reverse')	1
('R05645', 'forward')	1
('R08617', 'reverse')	1
('R01082', 'reverse')	1
('R01092', 'reverse')	1
('R07413', 'reverse')	1
('R02411', 'reverse')	1
('R02603', 'forward')	1
('R08056', 'forward')	1
('R05801', 'reverse')	1
('R04383', 'reverse')	1
('R00409', 'reverse')	1
('R00967', 'forward')	1
('R02737', 'forward')	1
('R02199', 'reverse')	1
('R08616', 'forward')	1
('R01818', 'reverse')	1
('R08694', 'forward')	1
('R03457', 'forward')	1
('R01483', 'forward')	1
('R03928', 'forward')	1
('R00470', 'reverse')	1
('R01993', 'reverse')	1
('R05465', 'forward')	1
('R10178', 'reverse')	1
('R00420', 'forward')	1
('R01188', 'forward')	1
('R02280', 'reverse')	1
('R00268', 'reverse')	1
('R00839', 'reverse')	1
('R00355', 'forward')	1
('R10092', 'reverse')	1
('R00131', 'forward')	1
('R01568', 'reverse')	1
('R01242', 'reverse')	1
('R03180', 'reverse')	1
('R07274', 'forward')	1
('R00028', 'forward')	1
('R01678', 'reverse')	1
('R00345', 'reverse')	1
('R10784', 'reverse')	1
('R00961', 'reverse')	1
('R05608', 'forward')	1
('R03033', 'reverse')	1
('R07583', 'forward')	1
('R00306', 'forward')	1
('R00480', 'forward')	1
('R07672', 'reverse')	1
('R00457', 'reverse')	1
('R00897', 'forward')	1
('R03216', 'forward')	1
('R08676', 'forward')	1
('R05646', 'forward')	1
('R07395', 'reverse')	1
('R07480', 'reverse')	1
('R03298', 'forward')	1
('R00896', 'reverse')	1
('R01468', 'forward')	1
('R00269', 'reverse')	1
('R03032', 'reverse')	1
('R07643', 'reverse')	1
('R01109', 'reverse')	1
('R00208', 'reverse')	1
('R00378', 'forward')	1
('R01289', 'forward')	1
('R02371', 'forward')	1
('R02089', 'reverse')	1
('R10344', 'reverse')	1
('R01113', 'reverse')	1
('R00274', 'reverse')	1
('R08355', 'reverse')	1
('R03433', 'reverse')	1
('R00782', 'forward')	1
('R09772', 'forward')	1
('R03387', 'forward')	1
('R05380', 'forward')	1
('R05549', 'reverse')	1
('R10630', 'reverse')	1
('R03819', 'forward')	1
('R03216', 'reverse')	1
('R05850', 'forward')	1
('R05554', 'reverse')	1
('R02887', 'forward')	1
('R01983', 'forward')	1
('R02494', 'forward')	1
('R00529', 'reverse')	1
('R05176', 'reverse')	1
('R05764', 'reverse')	1
('R00662', 'reverse')	1
('R01890', 'forward')	1
('R09085', 'forward')	1
('R00964', 'reverse')	1
('R01600', 'reverse')	1
('R01384', 'forward')	1
('R10531', 'reverse')	1
('R01737', 'reverse')	1
('R01101', 'reverse')	1
('R01966', 'reverse')	1
('R08555', 'reverse')	1
('R01149', 'reverse')	1
('R01164', 'forward')	1
