ECNumber	PfamDomain	ConfidenceScore	Type	InInterPro
1.2.7.5	PF02730	0.5735722778	SILVER	No
3.4.21.91	PF02832	0.573081	GOLD	No
3.5.4.13	PF00692	0.5728746111	GOLD	No
2.4.1.68	PF14604	0.5719082611	SILVER	No
3.4.22.29	PF02226	0.5718782778	GOLD	Yes
1.1.1.35	PF00725	0.5715567222	GOLD	Yes
1.17.4.4	PF07884	0.5709638889	GOLD	No
3.4.22.45	PF00851	0.5709638889	SILVER	Yes
4.2.1.33	PF00330	0.5708245	GOLD	Yes
1.1.1.35	PF02737	0.5707504444	GOLD	Yes
2.7.7.4	PF14306	0.5704187222	GOLD	Yes
2.5.1.60	PF07711	0.5698999444	GOLD	Yes
2.7.7.62	PF02283	0.5693184444	GOLD	Yes
1.13.12.16	PF03060	0.5689893889	GOLD	Yes
6.1.1.15	PF03129	0.568731	GOLD	No
6.3.1.14	PF01902	0.5686501111	SILVER	Yes
1.1.1.28	PF09330	0.5686186111	SILVER	No
2.5.1.17	PF01923	0.5683688889	GOLD	Yes
4.2.99.18	PF06831	0.5683558163	GOLD	Yes
2.3.1.179	PF02801	0.5683217778	GOLD	No
6.3.5.2	PF00117	0.5679539444	GOLD	No
1.13.11.20	PF05995	0.5676502778	GOLD	Yes
2.3.1.179	PF00109	0.5676439444	GOLD	No
2.5.1.98	PF04230	0.5674000556	GOLD	No
5.4.99.25	PF09157	0.567185	GOLD	Yes
3.2.1.51	PF01120	0.5671046667	GOLD	Yes
6.1.1.2	PF00579	0.5670742778	GOLD	No
1.4.3.21	PF02727	0.5665091667	GOLD	Yes
3.1.4.52	PF00563	0.5663733333	GOLD	No
2.5.1.9	PF00677	0.5663561111	GOLD	Yes
3.4.21.91	PF00949	0.5656169444	GOLD	Yes
4.2.1.33	PF00694	0.5654280556	GOLD	Yes
2.3.1.54	PF02901	0.565414	GOLD	No
3.4.22.29	PF00947	0.5654021667	GOLD	Yes
4.2.99.18	PF01149	0.5653190386	GOLD	Yes
4.1.1.97	PF09349	0.5651046667	GOLD	Yes
3.4.21.98	PF01538	0.5650237778	GOLD	Yes
2.7.7.65	PF00990	0.5648435556	GOLD	No
3.4.21.98	PF01006	0.5647956111	GOLD	Yes
2.7.7.4	PF01747	0.5646919444	GOLD	Yes
3.6.1.28	PF01928	0.56467425	GOLD	No
3.1.4.46	PF03009	0.56426	GOLD	No
1.14.99.3	PF01126	0.5636919444	GOLD	Yes
3.1.1.47	PF03403	0.5636795	GOLD	Yes
3.4.22.29	PF01552	0.5635952778	GOLD	Yes
3.4.22.28	PF00073	0.5632841667	GOLD	Yes
3.4.24.21	PF01400	0.5631901111	GOLD	No
4.2.1.79	PF03972	0.5631355	SILVER	No
6.6.1.1	PF01078	0.5625825556	SILVER	No
1.3.1.9	PF08354	0.5625616556	SILVER	Yes
1.6.5.3	PF00361	0.5623062222	GOLD	No
3.4.11.10	PF02789	0.5619498333	GOLD	Yes
3.4.21.98	PF08300	0.5617539444	GOLD	Yes
3.4.21.98	PF08301	0.5617539444	GOLD	Yes
3.4.21.90	PF01563	0.5616495	SILVER	Yes
3.5.1.5	PF00547	0.5614954444	GOLD	Yes
2.4.1.16	PF01644	0.5611195	GOLD	Yes
3.4.21.91	PF00948	0.5600420722	GOLD	Yes
1.16.1.1	PF00403	0.5600275667	SILVER	No
3.4.21.98	PF01001	0.5596878222	SILVER	Yes
3.4.21.91	PF00972	0.559672	GOLD	Yes
3.4.22.29	PF08727	0.5595754167	SILVER	Yes
3.4.22.28	PF00548	0.5595348333	GOLD	Yes
3.4.21.98	PF01506	0.5591342056	SILVER	Yes
3.4.21.98	PF01542	0.5591342056	SILVER	No
3.1.3.70	PF08282	0.5588728889	GOLD	No
4.3.2.2	PF08328	0.5585319444	GOLD	Yes
1.8.3.5	PF07156	0.5584326111	GOLD	No
5.99.1.2	PF01751	0.5582058333	GOLD	No
3.4.21.98	PF01539	0.5579413222	SILVER	No
3.2.1.17	PF00959	0.5577773333	GOLD	Yes
2.4.1.109	PF02815	0.5577711667	GOLD	No
1.14.99.48	PF03992	0.5576951111	SILVER	No
2.6.1.52	PF00266	0.5575082778	GOLD	No
1.14.13.90	PF00498	0.5574626444	SILVER	No
2.3.1.54	PF01228	0.5570166667	GOLD	No
3.2.1.23	PF02836	0.5568464444	GOLD	Yes
2.7.7.53	PF09830	0.5565431111	GOLD	Yes
3.4.21.91	PF01002	0.5565295	GOLD	Yes
6.3.5.3	PF02769	0.5561168889	GOLD	No
6.1.1.4	PF08264	0.5558419444	GOLD	No
3.4.21.98	PF01543	0.5558392222	GOLD	Yes
2.4.1.90	PF13733	0.5558091667	GOLD	No
6.1.1.15	PF00587	0.5556950556	GOLD	No
1.1.1.298	PF00881	0.5556082389	GOLD	No
4.4.1.26	PF07876	0.5555555556	GOLD	No
2.1.1.225	PF05253	0.5555555556	GOLD	No
2.1.1.225	PF05206	0.5555555556	GOLD	Yes
1.14.11.45	PF10014	0.5555555556	GOLD	No
2.3.2.19	PF14399	0.5555555556	GOLD	No
1.11.2.3	PF05042	0.5555555556	GOLD	Yes
4.3.1.29	PF07071	0.5555555556	GOLD	No
6.3.4.24	PF02655	0.5555555556	GOLD	No
5.2.1.14	PF13225	0.5555555556	GOLD	No
4.99.1.8	PF02469	0.5555555556	GOLD	No
2.1.1.287	PF05148	0.5555555556	GOLD	No
5.2.1.12	PF07298	0.5555555556	GOLD	No
3.1.2.21	PF12590	0.5555555556	GOLD	No
3.4.21.113	PF12387	0.5555555556	GOLD	Yes
3.4.21.113	PF05550	0.5555555556	GOLD	Yes
3.4.21.113	PF11889	0.5555555556	GOLD	Yes
1.13.12.20	PF08592	0.5555555556	GOLD	No
1.13.12.21	PF04673	0.5555555556	GOLD	No
1.14.11.16	PF05279	0.5555555556	GOLD	No
3.5.4.38	PF08210	0.5555555556	GOLD	No
4.1.1.90	PF05090	0.5555555556	GOLD	Yes
1.2.1.84	PF03015	0.5555555556	SILVER	No
3.2.1.102	PF08306	0.5555555556	GOLD	No
3.2.1.102	PF08307	0.5555555556	GOLD	No
2.7.7.5	PF09830	0.5555555556	GOLD	No
1.13.12.18	PF05295	0.5555555556	GOLD	No
2.7.7.40	PF09077	0.5555555556	GOLD	No
3.2.1.187	PF07532	0.5555555556	GOLD	No
2.1.1.313	PF10354	0.5555555556	GOLD	No
2.1.1.167	PF07780	0.5555555556	GOLD	No
2.1.1.167	PF11861	0.5555555556	GOLD	No
5.5.1.24	PF14249	0.5555555556	GOLD	No
2.5.1.128	PF01861	0.5555555556	GOLD	No
3.6.3.47	PF06472	0.5555555556	GOLD	No
1.14.11.6	PF12851	0.5555555556	GOLD	No
1.23.5.1	PF07137	0.5555555556	GOLD	No
2.1.1.312	PF11312	0.5555555556	GOLD	No
2.1.1.112	PF04669	0.5555555556	GOLD	No
2.1.1.107	PF10414	0.554883	GOLD	Yes
3.6.3.42	PF00664	0.5548316111	GOLD	No
3.4.21.98	PF01560	0.5544653333	GOLD	No
2.1.1.198	PF00590	0.5541147722	GOLD	No
1.10.3.1	PF12143	0.5539973889	GOLD	Yes
2.3.1.241	PF03279	0.5536613333	GOLD	No
2.4.1.50	PF01755	0.5536281667	GOLD	No
6.3.5.3	PF00586	0.5529206111	GOLD	No
3.6.1.15	PF03266	0.5522371	SILVER	Yes
2.3.1.13	PF06021	0.5522092778	GOLD	No
1.11.1.15	PF02627	0.5519351111	GOLD	Yes
3.1.12.1	PF01930	0.5518913333	SILVER	No
3.4.21.98	PF12941	0.5518745944	GOLD	Yes
3.5.4.33	PF00383	0.5507992389	GOLD	No
3.2.1.24	PF01074	0.5499443333	GOLD	No
3.4.21.91	PF01003	0.5499321111	GOLD	Yes
2.4.1.224	PF03016	0.549493	GOLD	No
3.4.21.91	PF01005	0.5492061111	GOLD	Yes
3.2.1.24	PF09261	0.5489551667	GOLD	No
3.1.3.64	PF06602	0.5486332222	GOLD	No
3.2.1.33	PF06202	0.5485956667	GOLD	Yes
5.3.1.5	PF01261	0.5484428889	GOLD	No
2.4.1.69	PF01531	0.5481703889	GOLD	Yes
2.3.2.4	PF06094	0.5481455	GOLD	No
4.6.1.1	PF01295	0.5481428889	GOLD	Yes
3.4.14.9	PF09286	0.5478322778	GOLD	No
3.2.1.14	PF00182	0.546928	SILVER	Yes
3.4.24.75	PF01551	0.5467891111	GOLD	No
1.4.3.16	PF00890	0.5466351111	GOLD	No
5.2.1.8	PF05697	0.5465397778	GOLD	Yes
4.6.1.1	PF12633	0.5464612778	GOLD	Yes
6.3.2.9	PF08245	0.5460625556	GOLD	No
3.1.1.14	PF07224	0.5460512222	GOLD	Yes
4.1.2.25	PF04036	0.5458289444	GOLD	No
4.1.2.25	PF04038	0.5458289444	GOLD	Yes
3.4.15.1	PF01401	0.5456556667	GOLD	No
2.3.1.13	PF08444	0.5455520556	GOLD	No
1.18.6.1	PF00148	0.5444783333	GOLD	No
3.2.1.23	PF02837	0.5443221111	GOLD	No
5.1.3.2	PF13950	0.5442918889	GOLD	No
1.2.1.11	PF02774	0.5440958889	GOLD	No
3.1.1.2	PF01731	0.543889	SILVER	Yes
2.7.7.48	PF00602	0.5438256111	GOLD	Yes
3.4.21.91	PF01004	0.5436604111	SILVER	Yes
6.1.1.10	PF01588	0.5434095333	SILVER	No
3.4.21.91	PF01570	0.5427822222	GOLD	Yes
5.2.1.8	PF05698	0.5424403333	GOLD	Yes
4.2.1.131	PF07143	0.5422648333	GOLD	No
3.1.3.46	PF01591	0.5421629444	GOLD	Yes
3.4.14.5	PF00326	0.5419041667	GOLD	No
1.6.2.4	PF00667	0.5418577222	GOLD	No
4.2.1.17	PF00378	0.5416404444	GOLD	No
6.1.1.11	PF00587	0.5414999444	GOLD	No
3.4.19.9	PF07722	0.5414963889	GOLD	No
3.1.3.78	PF09788	0.5414657222	GOLD	Yes
3.2.1.166	PF03662	0.5411712222	GOLD	No
5.99.1.3	PF00986	0.5402167222	GOLD	Yes
2.3.1.41	PF02801	0.5381774222	GOLD	No
2.3.1.41	PF00109	0.5381226444	GOLD	No
3.1.3.2	PF14008	0.5381118778	GOLD	No
3.4.22.44	PF08440	0.5379144444	GOLD	Yes
2.1.1.172	PF05175	0.5375641667	SILVER	No
2.1.1.34	PF12105	0.5374182778	GOLD	Yes
2.7.1.28	PF02734	0.5373503944	GOLD	No
2.3.1.79	PF12464	0.5373214444	GOLD	No
2.7.1.28	PF02733	0.5368327833	GOLD	No
2.3.2.15	PF09328	0.5363047222	GOLD	Yes
3.4.21.91	PF01349	0.5362816667	GOLD	Yes
3.4.21.91	PF01350	0.5362816667	GOLD	Yes
3.1.2.1	PF13336	0.5354333889	GOLD	No
3.1.2.1	PF02550	0.5339042222	GOLD	No
2.4.1.65	PF00852	0.5333277222	GOLD	No
4.1.1.36	PF02441	0.5332792222	GOLD	No
6.1.1.21	PF03129	0.5332120556	GOLD	No
2.5.1.27	PF01745	0.5314720556	GOLD	Yes
2.3.1.61	PF00198	0.5309835556	GOLD	No
2.7.11.10	PF12179	0.5305466667	GOLD	Yes
3.4.21.5	PF00594	0.5304585167	GOLD	No
3.4.22.46	PF05408	0.5302966667	GOLD	Yes
4.2.1.1	PF00194	0.5300225111	SILVER	No
2.1.1.107	PF13241	0.5299236667	GOLD	Yes
3.4.25.2	PF00227	0.5294839778	GOLD	No
3.4.11.23	PF00883	0.5293828333	GOLD	No
6.1.1.3	PF03129	0.5293535556	GOLD	No
3.1.5.1	PF01966	0.5292105	GOLD	No
2.1.1.57	PF01358	0.5291623333	GOLD	Yes
3.2.1.52	PF00933	0.5285437222	GOLD	No
3.1.3.48	PF00782	0.5284369444	GOLD	Yes
2.4.2.26	PF12529	0.5280752222	GOLD	Yes
1.14.17.3	PF01082	0.5279492222	GOLD	No
3.5.2.15	PF09663	0.5277920556	GOLD	No
3.6.1.22	PF00293	0.5273796667	GOLD	No
2.5.1.10	PF00348	0.5273341111	GOLD	No
1.4.7.1	PF04898	0.5272113333	GOLD	No
3.4.24.13	PF07501	0.5270771667	GOLD	No
2.1.1.225	PF11722	0.5270461111	GOLD	Yes
2.7.7.6	PF04997	0.5263744444	GOLD	Yes
6.3.5.5	PF02786	0.5263493333	GOLD	No
1.14.17.3	PF03712	0.5261464444	GOLD	No
2.7.7.6	PF04983	0.5260091667	GOLD	Yes
6.1.1.6	PF01336	0.5258206167	GOLD	No
3.4.11.10	PF00883	0.5257614611	GOLD	Yes
3.5.2.9	PF02538	0.5252290556	GOLD	No
6.3.5.5	PF00289	0.5249420556	GOLD	No
6.1.1.5	PF08264	0.5246498889	GOLD	No
5.2.1.8	PF00160	0.5246192778	GOLD	Yes
4.1.2.20	PF03328	0.5245973889	GOLD	No
2.1.1.185	PF00588	0.52451	GOLD	No
2.2.1.9	PF02775	0.5236440111	GOLD	No
3.2.1.143	PF05028	0.5233483889	GOLD	Yes
3.5.1.28	PF01510	0.5231218333	GOLD	No
2.7.10.1	PF07679	0.5229297556	GOLD	No
2.4.1.224	PF09258	0.5223945	GOLD	No
3.1.26.13	PF06817	0.5223801111	GOLD	No
3.1.13.2	PF06817	0.5223801111	GOLD	No
2.4.2.7	PF00156	0.5222544444	GOLD	No
5.1.1.8	PF05544	0.5209934444	GOLD	No
3.4.24.64	PF00675	0.5207473889	GOLD	No
3.1.3.25	PF00459	0.5206006111	GOLD	No
4.2.2.21	PF09093	0.5204087222	GOLD	No
4.2.2.21	PF09092	0.5204087222	GOLD	No
4.2.99.18	PF00730	0.5203473889	GOLD	No
2.7.4.22	PF00696	0.5202398333	GOLD	No
3.4.24.64	PF05193	0.520211	GOLD	No
2.4.1.82	PF05691	0.5200831111	GOLD	No
3.2.1.45	PF12215	0.5191656667	GOLD	Yes
3.2.2.20	PF03352	0.5190748333	SILVER	No
3.1.26.4	PF00075	0.5188452222	GOLD	Yes
2.3.1.37	PF09029	0.5185590556	GOLD	Yes
5.3.2.1	PF01187	0.5184892778	GOLD	No
4.1.1.19	PF02784	0.5183623333	GOLD	No
6.1.1.3	PF00587	0.5182807778	GOLD	No
3.2.1.23	PF00703	0.5177726667	GOLD	No
5.1.2.3	PF00725	0.5175696667	GOLD	No
4.2.1.78	PF00407	0.5174665	GOLD	No
3.4.22.45	PF01577	0.5168116667	GOLD	Yes
3.6.4.3	PF09336	0.516733	GOLD	No
5.1.2.3	PF02737	0.5165833333	GOLD	No
2.7.1.69	PF02378	0.5160710556	GOLD	Yes
1.2.7.8	PF01855	0.51553495	GOLD	No
2.8.1.11	PF00899	0.5155187222	GOLD	No
4.3.1.4	PF07837	0.515274	GOLD	No
1.14.13.122	PF08417	0.5151704444	GOLD	No
2.4.99.20	PF02267	0.5151626111	GOLD	No
2.8.3.21	PF02515	0.5151366667	GOLD	No
4.3.1.4	PF02971	0.5150907222	GOLD	No
5.1.3.14	PF02350	0.5147875	GOLD	No
3.4.22.66	PF03510	0.5143444444	GOLD	Yes
2.7.7.6	PF00562	0.514008	GOLD	Yes
1.11.1.9	PF00255	0.5139411111	GOLD	No
2.4.1.129	PF03717	0.513334	GOLD	No
1.6.2.4	PF00258	0.5130898333	GOLD	No
2.1.1.60	PF10294	0.5129413889	SILVER	No
3.6.4.6	PF02359	0.5129283889	GOLD	No
5.4.99.60	PF02570	0.5126343333	GOLD	No
3.6.3.8	PF00702	0.5124393889	GOLD	No
1.97.1.10	PF00837	0.5120409444	GOLD	No
2.8.1.11	PF05237	0.5118958333	GOLD	No
2.8.3.8	PF01144	0.5118882778	GOLD	No
2.4.2.10	PF00156	0.5118373333	GOLD	No
2.7.7.6	PF00623	0.5116272222	GOLD	Yes
3.2.1.17	PF00062	0.5105978889	GOLD	No
5.3.99.2	PF00061	0.5100891667	SILVER	No
4.1.2.50	PF01242	0.510061	GOLD	No
1.3.7.3	PF05996	0.5096172778	GOLD	No
1.3.3.6	PF14749	0.5095212222	GOLD	Yes
3.6.4.6	PF02933	0.509259	GOLD	No
4.2.3.3	PF02142	0.5090728333	GOLD	No
3.4.22.69	PF05409	0.5089457222	GOLD	No
1.14.14.12	PF08028	0.5084007222	GOLD	No
3.4.21.26	PF02897	0.5082700556	GOLD	No
2.7.8.29	PF03034	0.5079682778	GOLD	No
4.1.1.50	PF01536	0.5077037778	GOLD	Yes
2.7.1.32	PF04428	0.5075245	GOLD	No
2.1.1.264	PF10672	0.5074576667	GOLD	No
2.7.6.3	PF01973	0.5073221167	SILVER	No
4.1.2.52	PF03328	0.5072971667	GOLD	No
2.8.2.5	PF03567	0.5071127778	GOLD	No
3.4.22.69	PF09401	0.5069261111	GOLD	No
1.4.99.1	PF01266	0.5065706667	GOLD	No
3.1.26.12	PF12111	0.5064563333	SILVER	No
1.14.11.16	PF05118	0.5061840556	SILVER	No
3.4.24.13	PF07581	0.5054226667	GOLD	No
3.4.23.16	PF00540	0.5052667222	GOLD	No
4.3.1.24	PF00221	0.5045968333	GOLD	No
2.1.1.173	PF10672	0.5043544778	GOLD	No
2.7.2.8	PF00696	0.5043141111	GOLD	No
2.1.1.44	PF10017	0.5039483333	GOLD	No
3.1.26.13	PF00540	0.5036642222	GOLD	No
3.1.13.2	PF00540	0.5036642222	GOLD	No
2.1.1.104	PF01596	0.5033113333	GOLD	No
4.4.1.4	PF04864	0.5032938889	GOLD	No
3.2.1.1	PF00128	0.502984	GOLD	No
2.7.1.144	PF00294	0.5024908	GOLD	No
3.1.1.34	PF00151	0.5022393889	GOLD	No
5.99.1.3	PF01751	0.5018018333	GOLD	No
3.4.21.110	PF06280	0.5015519444	GOLD	No
1.1.1.193	PF01872	0.5008734444	GOLD	No
3.5.2.9	PF05378	0.5004055	GOLD	No
3.5.2.9	PF01968	0.5001751111	GOLD	No
4.1.1.19	PF00278	0.4999194444	GOLD	No
2.7.1.52	PF07959	0.4994404444	GOLD	No
2.5.1.42	PF01040	0.4987633889	GOLD	No
1.17.4.1	PF03477	0.4975720778	GOLD	No
3.4.11.9	PF05195	0.4968966667	GOLD	Yes
1.14.99.3	PF03992	0.4967535167	SILVER	No
2.7.7.6	PF04998	0.4967023333	GOLD	Yes
2.1.1.233	PF04072	0.4962103889	GOLD	No
3.2.1.24	PF07748	0.4957481667	GOLD	No
1.11.2.1	PF01328	0.4955647778	GOLD	No
2.7.7.2	PF01687	0.4951564444	GOLD	No
2.3.1.43	PF02450	0.4942455556	SILVER	No
3.4.16.6	PF00450	0.4939723889	GOLD	No
2.7.1.100	PF01636	0.4935221111	GOLD	No
4.2.2.1	PF08124	0.4934703333	GOLD	No
2.4.1.41	PF00652	0.4933662222	GOLD	No
3.4.16.2	PF05577	0.492926	SILVER	No
2.4.2.47	PF11847	0.4928931667	GOLD	No
3.1.3.95	PF06602	0.4928931667	GOLD	No
3.4.22.69	PF08715	0.4926158333	GOLD	No
3.4.23.19	PF01828	0.4923132778	GOLD	No
6.3.5.9	PF07685	0.4917851667	GOLD	No
2.4.1.265	PF03155	0.4915937222	GOLD	No
3.2.2.9	PF01048	0.4913417778	GOLD	No
4.2.1.17	PF00725	0.4911603333	GOLD	Yes
3.4.22.69	PF08710	0.4910671111	GOLD	No
6.1.1.9	PF00133	0.4909627778	GOLD	No
2.7.7.6	PF05000	0.4909352778	GOLD	Yes
3.4.22.44	PF00767	0.4908066667	GOLD	No
2.7.7.6	PF04565	0.4902111667	GOLD	Yes
4.2.1.17	PF02737	0.4901295	GOLD	Yes
3.6.3.8	PF00122	0.4898258889	GOLD	No
2.7.1.72	PF04655	0.4889427222	GOLD	No
4.2.1.3	PF00330	0.4888800556	GOLD	No
1.1.1.108	PF00725	0.4888407889	GOLD	No
3.4.22.69	PF08716	0.4886106667	GOLD	No
3.4.22.69	PF08717	0.4884594444	GOLD	No
6.3.2.38	PF04183	0.4880635556	GOLD	No
2.4.1.87	PF03414	0.4877277222	GOLD	No
1.1.1.79	PF02826	0.4877100556	GOLD	No
1.1.1.108	PF02737	0.4862920556	GOLD	No
3.5.1.1	PF00710	0.4862527778	GOLD	No
1.14.11.2	PF08336	0.4861326667	GOLD	Yes
3.4.11.4	PF01546	0.4859702222	GOLD	No
1.1.1.81	PF02826	0.4855294444	GOLD	No
3.3.2.8	PF07858	0.4854209444	GOLD	No
2.2.1.6	PF02776	0.4852246111	GOLD	No
6.3.1.8	PF03738	0.4847958333	GOLD	No
3.2.1.26	PF00251	0.4846923333	GOLD	No
2.4.1.228	PF04488	0.4846659444	GOLD	No
3.5.4.10	PF07826	0.4845942222	GOLD	Yes
3.1.26.13	PF02022	0.4845444444	GOLD	No
3.1.13.2	PF02022	0.4845444444	GOLD	No
2.7.9.1	PF01326	0.4844598333	GOLD	No
1.3.5.6	PF01593	0.4841851111	GOLD	No
6.1.1.15	PF09180	0.4840183333	GOLD	Yes
3.5.1.97	PF01804	0.4837057222	GOLD	No
3.6.4.12	PF01330	0.4831799833	GOLD	Yes
2.4.1.280	PF06204	0.4829963889	SILVER	No
1.3.1.70	PF01222	0.4827098889	GOLD	No
2.7.11.12	PF00027	0.4826653889	GOLD	No
4.1.2.22	PF09364	0.4823932778	GOLD	No
5.3.3.6	PF04303	0.4819688889	GOLD	No
4.1.2.22	PF03894	0.4817666667	GOLD	No
2.3.1.1	PF01960	0.4816534444	GOLD	Yes
3.4.22.47	PF10365	0.481125	GOLD	No
3.7.1.12	PF11761	0.4805548333	GOLD	No
2.7.7.6	PF04563	0.4804787778	GOLD	Yes
4.1.2.48	PF01212	0.4802366667	GOLD	No
3.1.26.13	PF00552	0.4800207778	GOLD	No
3.1.13.2	PF00552	0.4800207778	GOLD	No
2.7.7.30	PF07959	0.4797986111	GOLD	No
6.3.5.4	PF13537	0.4797877778	GOLD	No
4.1.2.14	PF01081	0.4796988889	GOLD	Yes
1.13.11.3	PF12391	0.4796269444	GOLD	Yes
6.1.1.5	PF06827	0.4795884222	SILVER	No
3.4.16.4	PF00768	0.479545	GOLD	No
6.3.5.9	PF01656	0.4791692778	GOLD	No
2.1.1.43	PF08123	0.4789975889	GOLD	Yes
3.4.23.16	PF06815	0.4788846667	GOLD	No
6.3.4.14	PF08326	0.4788098778	GOLD	Yes
4.1.2.22	PF09363	0.4787873889	GOLD	No
3.1.2.12	PF00756	0.4787773889	GOLD	No
6.3.2.38	PF06276	0.4784546667	GOLD	No
3.1.26.13	PF00607	0.4781886833	GOLD	No
3.1.13.2	PF00607	0.4781886833	GOLD	No
1.13.11.53	PF03079	0.4777815	GOLD	No
3.2.1.52	PF14845	0.4777580333	GOLD	Yes
3.4.19.5	PF01112	0.4774192778	GOLD	No
2.7.7.6	PF04560	0.4772973333	GOLD	Yes
2.5.1.74	PF01040	0.4770302778	GOLD	No
3.6.4.12	PF07499	0.4768109722	GOLD	Yes
3.1.26.13	PF00077	0.4766513889	GOLD	No
3.1.13.2	PF00077	0.4766513889	GOLD	No
2.7.9.2	PF02896	0.4763232778	SILVER	No
1.6.2.2	PF00175	0.4759304444	GOLD	No
2.2.1.1	PF02780	0.4755769444	GOLD	No
2.1.1.229	PF09004	0.4755161111	GOLD	Yes
1.2.1.11	PF01118	0.4754412778	GOLD	No
1.3.7.2	PF05996	0.4750792778	SILVER	No
3.4.11.4	PF07687	0.4746793889	GOLD	No
1.1.1.31	PF03446	0.4746663333	GOLD	No
2.7.7.4	PF03144	0.4746638333	GOLD	No
2.2.1.6	PF02775	0.4745198333	GOLD	No
2.7.11.16	PF00615	0.4743516111	GOLD	No
3.4.24.82	PF05986	0.4739272222	GOLD	No
2.4.1.225	PF09258	0.4738954444	GOLD	No
4.1.3.36	PF00378	0.4738199444	GOLD	No
3.4.15.6	PF03575	0.4732185	GOLD	No
1.2.1.51	PF10371	0.4731311667	GOLD	No
3.4.24.71	PF05649	0.4729008889	GOLD	No
2.5.1.1	PF00348	0.472667	GOLD	No
3.5.1.23	PF04734	0.4720764444	GOLD	Yes
3.4.23.49	PF01278	0.4719600556	GOLD	No
5.4.99.1	PF02310	0.4715912611	GOLD	No
2.1.2.5	PF04961	0.4712282778	GOLD	Yes
3.6.4.12	PF05491	0.4710911833	GOLD	Yes
3.4.24.59	PF01432	0.4710549444	GOLD	No
3.6.1.3	PF09547	0.4709862056	GOLD	Yes
6.3.2.9	PF02875	0.4709613333	GOLD	No
2.4.99.18	PF02109	0.4703932222	GOLD	Yes
2.7.1.153	PF00794	0.4703247222	GOLD	No
2.7.7.6	PF04561	0.470204	GOLD	Yes
2.5.1.54	PF00793	0.4701544444	GOLD	No
2.7.1.107	PF00130	0.46994203	SILVER	No
2.4.2.47	PF09594	0.4696469444	GOLD	No
2.7.8.12	PF04464	0.4695393889	GOLD	No
3.1.21.3	PF12008	0.4693115	GOLD	Yes
2.7.8.5	PF01066	0.4692151111	GOLD	No
3.1.4.37	PF07823	0.4691245	GOLD	Yes
2.4.1.129	PF00905	0.4684382222	GOLD	No
3.4.21.109	PF00431	0.4680755556	GOLD	No
1.14.11.18	PF05721	0.4679029444	SILVER	No
2.4.1.225	PF03016	0.4677663333	GOLD	No
3.4.17.13	PF02016	0.4676623889	GOLD	No
6.3.2.3	PF03917	0.4676621111	GOLD	Yes
3.4.21.72	PF03797	0.4674336667	GOLD	No
2.1.1.186	PF01728	0.4673996667	GOLD	No
2.1.1.57	PF00972	0.4668748333	GOLD	Yes
6.1.1.22	PF00152	0.4664831111	GOLD	No
6.3.2.3	PF03199	0.4663218889	GOLD	Yes
3.6.4.12	PF05496	0.4662713111	GOLD	Yes
3.4.21.98	PF00998	0.4661181667	GOLD	No
2.4.2.36	PF09009	0.4660763889	GOLD	No
2.7.8.24	PF01066	0.4660176389	GOLD	No
3.4.23.48	PF01278	0.4658810556	GOLD	No
1.8.2.3	PF09242	0.4650698333	GOLD	No
3.4.23.16	PF00607	0.4650565944	GOLD	No
1.1.1.42	PF00180	0.4650342222	GOLD	No
2.7.7.19	PF12626	0.4649768333	GOLD	Yes
1.1.1.103	PF00107	0.4649287056	GOLD	No
2.5.1.34	PF11991	0.4645266111	GOLD	No
2.5.1.89	PF01255	0.4638169444	GOLD	No
2.4.1.102	PF02485	0.4637875	GOLD	No
1.1.1.103	PF08240	0.4636185611	GOLD	No
2.1.1.174	PF05175	0.4635961111	SILVER	No
2.4.1.90	PF02709	0.463446	GOLD	No
3.1.3.16	PF00149	0.463336	GOLD	No
1.10.2.2	PF09165	0.4631033944	SILVER	Yes
2.4.1.248	PF13199	0.4630433889	GOLD	No
3.4.11.2	PF11838	0.4628012778	GOLD	No
3.2.1.45	PF04685	0.4627200556	GOLD	No
1.6.5.8	PF11973	0.4627196111	GOLD	Yes
3.4.21.9	PF01390	0.4623935556	SILVER	No
4.1.1.61	PF01977	0.4621782222	GOLD	No
2.1.1.57	PF00869	0.4620063333	GOLD	No
1.6.5.8	PF05896	0.4619092222	GOLD	Yes
2.10.1.1	PF00994	0.4617712778	GOLD	No
2.5.1.32	PF00494	0.4615156111	SILVER	No
6.1.1.9	PF08264	0.4614961111	GOLD	No
1.14.14.9	PF11794	0.4613561667	GOLD	No
6.3.4.14	PF02785	0.4613507778	GOLD	No
3.1.3.91	PF05822	0.4613498333	GOLD	No
4.2.1.90	PF02746	0.4613054444	GOLD	No
2.7.1.153	PF02192	0.4612835	GOLD	No
3.4.24.83	PF07737	0.4611698889	GOLD	No
1.14.14.9	PF03241	0.4611325556	GOLD	No
3.2.1.26	PF08244	0.4608591667	GOLD	No
2.3.1.48	PF11717	0.4604773056	SILVER	No
1.1.1.284	PF00107	0.4604636667	GOLD	No
3.5.2.3	PF01979	0.4602381111	GOLD	No
3.2.1.132	PF01374	0.4600035333	SILVER	Yes
3.4.21.84	PF00059	0.4596264444	GOLD	No
2.1.1.57	PF00949	0.4596026111	GOLD	Yes
3.4.24.71	PF01431	0.4593661667	SILVER	No
4.2.2.7	PF14099	0.4584858333	GOLD	No
