ECNumber	PfamDomain	ConfidenceScore	Type	InInterPro
2.7.4.6	PF00334	0.9886657222	GOLD	Yes
3.5.3.12	PF04371	0.9885286667	GOLD	Yes
4.1.1.48	PF00218	0.9880352222	GOLD	Yes
3.5.1.88	PF01327	0.9879309444	GOLD	Yes
3.3.1.1	PF00670	0.9879132222	GOLD	Yes
2.1.1.257	PF04013	0.9874776111	GOLD	No
1.5.1.2	PF14748	0.9873936111	GOLD	Yes
2.1.1.67	PF05724	0.9873398333	GOLD	Yes
4.2.1.19	PF00475	0.9872875	GOLD	Yes
3.1.26.12	PF10150	0.987109	GOLD	No
1.3.1.98	PF02873	0.98704	GOLD	Yes
2.8.2.22	PF05935	0.9867607222	GOLD	No
3.2.2.22	PF00161	0.9865513333	GOLD	Yes
2.1.1.80	PF03705	0.9865400556	GOLD	Yes
2.1.1.195	PF01888	0.9864405	GOLD	Yes
3.1.11.1	PF08411	0.9862312778	GOLD	Yes
2.7.1.23	PF01513	0.9858126667	GOLD	Yes
6.1.1.7	PF01411	0.9853433333	GOLD	Yes
2.5.1.75	PF01715	0.9851273333	GOLD	Yes
4.1.99.12	PF00926	0.9848305	GOLD	Yes
2.1.1.193	PF04452	0.9847929444	GOLD	Yes
2.5.1.61	PF03900	0.9847426111	GOLD	Yes
6.5.1.4	PF01137	0.9846155556	GOLD	Yes
4.2.3.4	PF01761	0.9844397778	GOLD	Yes
2.7.3.9	PF05524	0.9844143889	GOLD	Yes
4.2.1.11	PF03952	0.9843517778	GOLD	Yes
6.3.4.22	PF08489	0.9837281667	GOLD	Yes
1.4.4.2	PF02347	0.9831783889	GOLD	Yes
4.2.3.6	PF06330	0.9831272222	GOLD	Yes
6.5.1.2	PF01653	0.9830974444	GOLD	Yes
6.3.2.4	PF01820	0.982699	GOLD	Yes
2.3.1.191	PF04613	0.9825132778	GOLD	No
5.1.3.1	PF00834	0.9823030556	GOLD	Yes
1.1.1.44	PF00393	0.9820865556	GOLD	Yes
2.5.1.46	PF01916	0.9818823333	GOLD	Yes
2.1.1.266	PF04378	0.9816124444	GOLD	No
5.4.99.27	PF01142	0.9811704444	GOLD	Yes
6.3.4.19	PF01171	0.9807864444	GOLD	No
3.5.1.44	PF03975	0.980611	GOLD	Yes
2.3.1.193	PF05127	0.9799680556	GOLD	No
5.3.1.4	PF11762	0.9799275556	GOLD	Yes
