ec	rxn
1.4.1.4	R00243
1.2.1.88	R00245
1.5.5.2	R00245
1.4.1.3	R00248
1.4.1.4	R00248
1.4.1.13	R00248
1.4.1.14	R00248
1.4.3.11	R00250
3.5.2.9	R00251
6.3.1.2	R00253
3.5.1.87	R00254
1.4.1.13	R00256
1.4.7.1	R00256
2.1.3.2	R00256
3.5.1.2	R00256
3.5.1.38	R00256
3.5.2.3	R00256
4.3.3.6	R00256
6.3.4.2	R00256
6.3.5.2	R00256
6.3.5.4	R00256
6.3.5.5	R00256
6.3.5.1	R00257
2.6.1.2	R00258
2.6.1.4	R00258
2.6.1.44	R00258
2.6.1.66	R00258
2.3.1.1	R00259
2.3.1.35	R00259
4.3.2.1	R00259
5.1.1.3	R00260
4.1.1.15	R00261
5.4.99.1	R00262
1.2.1.3	R00264
1.2.1.26	R00264
1.2.1.52	R00265
1.1.1.42	R00267
1.1.1.42	R00268
3.5.1.3	R00269
3.5.1.111	R00269
2.3.3.14	R00271
4.1.1.71	R00272
1.2.3.4	R00273
1.11.1.9	R00274
1.15.1.1	R00275
1.2.2.4	R00276
1.4.3.5	R00277
1.4.3.5	R00278
1.4.3.7	R00279
1.4.3.15	R00279
1.7.2.1	R00280
1.6.5.11	R00281
1.6.99.3	R00281
1.6.99.1	R00282
1.3.7.8	R00283
1.7.99.1	R00284
1.1.1.22	R00286
3.1.4.1	R00287
3.6.1.8	R00287
3.6.1.9	R00287
3.6.1.45	R00287
2.7.7.9	R00289
2.7.7.64	R00289
5.1.3.2	R00291
2.4.1.1	R00292
2.4.1.11	R00292
4.2.1.76	R00293
1.7.2.5	R00294
1.8.99.1	R00295
1.8.99.3	R00295
1.2.99.2	R00296
1.1.99.6	R00297
1.1.99.2	R00298
2.7.1.1	R00299
2.7.1.2	R00299
1.1.1.118	R00300
1.1.1.121	R00300
1.1.1.119	R00301
1.1.3.10	R00302
3.1.3.9	R00303
3.1.3.58	R00303
3.1.3.10	R00304
1.1.5.9	R00305
3.2.1.21	R00306
3.2.1.74	R00306
5.3.1.5	R00307
3.2.1.39	R00308
4.99.1.1	R00310
1.14.99.3	R00311
2.7.2.1	R00315
2.7.2.15	R00315
6.2.1.1	R00316
3.6.1.7	R00317
3.11.1.2	R00318
1.13.12.4	R00319
2.7.2.12	R00320
3.5.1.4	R00321
3.6.1.20	R00322
3.7.1.6	R00324
4.1.3.22	R00325
1.2.99.6	R00326
3.1.1.33	R00327
3.6.1.5	R00328
3.6.1.6	R00328
3.6.1.42	R00328
3.6.1.6	R00329
2.7.4.3	R00330
2.7.4.6	R00330
2.7.4.6	R00331
2.7.4.8	R00332
2.7.4.10	R00333
2.7.4.4	R00334
3.6.1.5	R00335
3.6.5.1	R00335
3.6.5.2	R00335
3.6.5.3	R00335
3.6.5.4	R00335
3.6.5.5	R00335
3.6.5.6	R00335
3.1.7.2	R00336
3.2.1.42	R00337
3.7.1.1	R00338
4.2.1.32	R00339
4.2.1.81	R00340
4.1.1.49	R00341
1.1.1.37	R00342
1.1.1.299	R00342
1.1.1.82	R00343
1.1.1.299	R00343
6.4.1.1	R00344
4.1.1.31	R00345
4.1.1.38	R00346
4.3.1.20	R00347
3.5.1.3	R00348
4.1.3.17	R00350
2.3.3.1	R00351
2.3.3.3	R00351
2.3.3.16	R00351
2.3.3.8	R00352
2.1.3.1	R00353
4.1.3.34	R00354
2.6.1.1	R00355
1.4.3.2	R00357
1.4.3.16	R00357
1.4.3.1	R00359
1.4.3.15	R00359
1.1.5.4	R00360
1.1.5.4	R00361
2.8.3.10	R00362
4.1.3.6	R00362
4.1.3.34	R00362
5.3.2.2	R00363
1.4.2.1	R00364
1.4.1.1	R00365
1.4.1.10	R00365
1.4.3.3	R00366
1.4.3.19	R00366
2.1.1.20	R00367
2.1.1.156	R00367
2.1.1.162	R00367
1.5.1.22	R00368
2.6.1.2	R00369
2.6.1.4	R00369
2.6.1.40	R00369
2.6.1.44	R00369
2.6.1.45	R00369
2.6.1.51	R00369
2.3.1.29	R00371
2.6.1.2	R00372
2.6.1.4	R00372
2.6.1.40	R00372
2.6.1.44	R00372
2.6.1.45	R00372
2.6.1.51	R00372
2.6.1.35	R00373
1.4.99.5	R00374
2.7.7.7	R00375
3.1.26.4	R00375
2.7.7.7	R00376
3.1.26.4	R00376
2.7.7.7	R00377
3.1.26.4	R00377
2.7.7.7	R00378
3.1.26.4	R00378
2.7.7.7	R00379
2.7.7.31	R00379
2.7.7.49	R00379
2.1.1.37	R00380
6.5.1.1	R00381
6.5.1.6	R00381
6.5.1.7	R00381
6.5.1.1	R00382
6.5.1.2	R00382
6.5.1.6	R00382
6.5.1.7	R00382
3.1.2.18	R00383
3.1.2.19	R00383
3.1.2.20	R00383
1.3.1.44	R00384
1.3.1.8	R00385
1.3.1.37	R00387
1.3.3.6	R00388
6.2.1.2	R00389
6.2.1.3	R00390
2.3.1.16	R00391
1.3.8.7	R00392
1.3.8.8	R00392
2.8.3.8	R00393
6.2.1.10	R00394
2.3.1.13	R00395
1.4.1.1	R00396
4.1.1.12	R00397
1.5.1.17	R00398
2.6.1.12	R00400
5.1.1.1	R00401
1.3.1.6	R00402
6.2.1.5	R00405
2.8.3.22	R00406
3.1.2.3	R00407
4.1.3.30	R00409
2.8.3.5	R00410
3.5.1.96	R00411
2.7.1.60	R00414
3.2.1.183	R00414
5.1.3.14	R00414
2.3.1.157	R00416
2.7.7.23	R00416
2.7.7.83	R00416
2.4.1.94	R00417
5.1.3.2	R00418
5.1.3.7	R00418
5.1.3.14	R00420
1.1.1.136	R00421
3.5.4.16	R00424
3.5.4.25	R00425
4.1.99.12	R00425
3.6.1.8	R00426
3.6.1.19	R00426
3.6.1.66	R00426
3.5.4.16	R00428
2.7.6.5	R00429
2.7.1.40	R00430
4.1.1.32	R00431
6.2.1.4	R00432
6.2.1.5	R00432
4.6.1.1	R00434
4.6.1.2	R00434
2.7.7.6	R00435
2.7.7.19	R00435
2.7.7.48	R00435
6.5.1.3	R00436
2.7.7.8	R00437
2.7.7.8	R00438
2.7.7.8	R00439
2.7.7.8	R00440
2.7.7.6	R00441
2.7.7.48	R00441
2.7.7.6	R00442
2.7.7.48	R00442
2.7.7.6	R00443
2.7.7.48	R00443
2.7.7.52	R00443
2.7.7.6	R00444
2.7.7.48	R00444
1.4.1.15	R00445
1.4.1.18	R00446
1.4.3.14	R00447
1.14.13.59	R00448
1.13.12.2	R00449
2.7.2.4	R00451
4.1.1.20	R00451
1.5.1.16	R00452
2.6.1.71	R00453
2.6.1.36	R00457
3.5.1.17	R00458
5.1.1.5	R00460
5.1.1.9	R00460
5.4.3.2	R00461
4.1.1.18	R00462
3.5.2.11	R00463
1.1.1.79	R00465
1.1.1.81	R00465
1.2.3.5	R00466
1.2.1.17	R00468
3.5.1.116	R00469
4.1.2.14	R00470
4.1.3.16	R00470
4.1.3.42	R00470
4.1.3.16	R00471
2.3.3.9	R00472
3.1.2.30	R00473
4.1.3.24	R00473
4.1.3.25	R00473
2.2.1.5	R00474
1.1.3.15	R00475
1.1.99.14	R00476
4.1.3.13	R00477
4.1.3.14	R00478
4.1.3.1	R00479
1.1.1.3	R00480
2.7.2.4	R00480
4.1.1.20	R00480
1.4.3.16	R00481
2.5.1.72	R00481
6.3.1.4	R00482
6.3.1.1	R00483
6.3.5.4	R00483
3.5.1.7	R00484
3.5.1.1	R00485
3.5.1.38	R00485
3.5.5.4	R00485
3.5.5.4	R00486
4.2.1.65	R00486
2.3.1.17	R00487
3.5.1.15	R00488
4.1.1.11	R00489
4.1.1.15	R00489
4.1.1.25	R00489
4.1.1.29	R00489
4.3.1.1	R00490
5.1.1.13	R00491
2.3.2.2	R00494
3.4.19.13	R00494
3.4.19.14	R00494
6.3.2.3	R00497
3.1.2.13	R00499
2.7.7.10	R00502
2.7.7.64	R00502
2.4.1.22	R00503
2.4.1.38	R00503
2.4.1.90	R00503
2.7.8.18	R00504
5.4.99.9	R00505
3.1.4.1	R00507
3.6.1.9	R00507
3.6.2.2	R00507
3.1.3.7	R00508
3.1.3.25	R00508
3.1.3.57	R00508
2.7.1.25	R00509
2.7.7.4	R00509
3.2.2.10	R00510
3.1.3.5	R00511
3.1.3.6	R00511
3.1.3.91	R00511
3.1.4.16	R00511
3.6.1.45	R00511
2.7.4.14	R00512
2.7.4.25	R00512
6.3.2.1	R00512
2.7.1.48	R00513
3.6.1.5	R00514
3.6.1.8	R00515
3.6.1.65	R00515
2.7.1.48	R00516
2.7.1.48	R00517
2.7.2.6	R00518
1.2.1.2	R00519
3.1.2.10	R00521
4.1.1.2	R00522
3.5.1.49	R00524
3.5.1.68	R00525
3.5.1.8	R00526
3.5.1.15	R00526
3.1.2.12	R00527
1.8.2.1	R00528
2.7.1.25	R00529
2.7.7.4	R00529
2.7.7.5	R00530
3.6.2.1	R00531
4.3.1.10	R00532
1.8.3.1	R00533
3.1.6.3	R00534
2.8.2.15	R00535
2.8.2.15	R00536
2.8.2.15	R00537
1.2.1.3	R00538
1.2.1.5	R00538
3.6.1.7	R00539
3.5.5.1	R00540
3.5.5.2	R00540
3.5.5.5	R00540
3.5.5.7	R00540
3.6.1.20	R00542
3.7.1.5	R00543
1.2.99.6	R00544
1.2.99.7	R00544
3.5.1.17	R00545
3.5.1.15	R00546
3.1.2.7	R00547
3.1.3.2	R00548
3.1.3.26	R00548
3.1.3.48	R00548
2.7.1.26	R00549
2.7.7.2	R00549
2.7.1.42	R00550
3.5.3.1	R00551
3.5.3.6	R00552
2.7.3.3	R00554
2.4.2.31	R00555
1.14.13.39	R00557
1.14.13.165	R00557
1.14.13.39	R00558
1.14.13.165	R00558
1.13.12.1	R00559
1.5.1.11	R00562
1.5.1.19	R00563
2.1.4.1	R00565
4.1.1.19	R00566
5.1.1.9	R00567
3.5.4.13	R00568
3.6.1.5	R00569
2.7.4.3	R00570
2.7.4.6	R00570
6.3.4.2	R00571
2.7.1.40	R00572
6.3.4.2	R00573
4.6.1.6	R00574
2.1.3.2	R00575
3.5.2.3	R00575
6.3.5.5	R00575
2.6.1.15	R00576
2.3.1.68	R00577
6.3.5.4	R00578
5.1.1.10	R00579
1.4.1.7	R00581
2.7.1.39	R00582
3.1.3.3	R00582
2.7.1.80	R00584
2.6.1.44	R00585
2.6.1.45	R00585
2.6.1.51	R00585
2.3.1.30	R00586
2.6.1.44	R00588
2.6.1.45	R00588
2.6.1.51	R00588
5.1.1.10	R00589
5.1.1.18	R00589
4.3.1.17	R00590
4.3.1.19	R00590
2.1.1.35	R00594
2.1.1.202	R00595
2.1.1.203	R00595
2.1.1.204	R00595
2.1.1.228	R00597
2.1.1.55	R00599
2.1.1.33	R00600
2.1.1.61	R00601
1.11.1.6	R00602
1.11.1.7	R00602
1.11.1.15	R00602
1.11.1.21	R00602
4.5.1.3	R00603
1.2.1.46	R00604
1.1.1.244	R00605
1.4.9.1	R00606
1.1.3.13	R00608
1.5.99.5	R00609
1.5.3.1	R00610
1.5.3.7	R00610
1.5.8.3	R00611
1.5.3.4	R00612
1.2.98.1	R00614
3.6.1.15	R00615
2.7.4.15	R00616
2.7.6.2	R00616
2.7.4.16	R00617
3.6.1.28	R00618
2.7.6.2	R00619
1.2.4.2	R00621
1.1.1.1	R00623
1.1.1.71	R00623
1.1.1.284	R00623
1.2.1.10	R00623
1.1.1.1	R00624
1.1.1.2	R00625
1.1.1.71	R00625
3.1.3.1	R00626
3.1.3.2	R00626
2.3.1.84	R00627
3.1.1.6	R00628
2.8.2.2	R00629
3.1.1.1	R00630
1.2.1.3	R00631
1.2.1.5	R00631
1.2.1.8	R00631
1.2.1.31	R00631
1.2.1.47	R00631
1.2.1.4	R00634
1.2.1.5	R00634
1.2.3.1	R00635
4.1.1.1	R00636
1.1.3.13	R00637
1.2.99.6	R00638
1.2.99.7	R00638
1.1.99.20	R00639
1.3.2.3	R00640
1.3.3.12	R00643
1.11.1.11	R00644
1.1.3.8	R00647
1.4.3.2	R00648
2.1.1.12	R00649
2.1.1.10	R00650
2.5.1.49	R00651
2.6.1.73	R00652
3.5.1.31	R00653
4.4.1.11	R00654
5.1.1.2	R00655
4.1.1.57	R00656
3.4.13.12	R00657
4.2.1.11	R00658
2.7.1.40	R00659
2.5.1.7	R00660
5.4.2.9	R00661
3.6.1.8	R00662
3.6.1.19	R00662
3.6.1.66	R00662
2.3.1.127	R00664
3.5.1.20	R00665
1.5.1.24	R00666
2.6.1.13	R00667
2.6.1.13	R00668
2.6.1.68	R00668
3.5.1.14	R00669
3.5.1.16	R00669
4.1.1.17	R00670
4.3.1.12	R00671
5.1.1.9	R00672
5.1.1.10	R00672
5.1.1.12	R00672
4.1.99.1	R00673
4.2.1.20	R00674
4.2.1.122	R00674
1.4.1.19	R00675
1.4.1.19	R00676
1.4.3.2	R00677
1.13.11.11	R00678
1.13.11.52	R00678
1.13.12.3	R00679
1.13.99.3	R00681
3.5.1.57	R00682
2.6.1.27	R00684
4.1.1.28	R00685
5.1.1.11	R00686
1.4.1.20	R00688
1.4.3.2	R00689
1.13.12.9	R00690
4.2.1.51	R00691
4.2.1.91	R00691
5.4.99.5	R00691
2.6.1.28	R00692
2.6.1.58	R00692
2.3.1.53	R00693
2.6.1.1	R00694
2.6.1.5	R00694
2.6.1.9	R00694
2.6.1.27	R00694
2.6.1.28	R00694
2.6.1.57	R00694
2.6.1.58	R00694
2.6.1.78	R00694
2.6.1.79	R00694
2.6.1.70	R00695
4.3.1.24	R00697
4.3.1.25	R00697
1.11.1.21	R00698
4.1.1.28	R00699
4.1.1.53	R00699
1.12.1.2	R00700
1.12.1.5	R00700
2.5.1.21	R00702
2.5.1.96	R00702
2.5.1.103	R00702
1.1.1.27	R00703
1.1.1.28	R00704
1.2.1.18	R00705
1.2.1.27	R00705
1.2.1.18	R00706
1.2.1.27	R00706
1.2.1.88	R00707
1.5.5.2	R00707
1.2.1.88	R00708
1.5.5.2	R00708
1.1.1.41	R00709
1.1.1.286	R00709
1.2.1.3	R00710
1.2.1.5	R00710
1.2.1.8	R00710
1.2.1.31	R00710
1.2.1.47	R00710
1.2.1.4	R00711
1.2.1.5	R00711
1.2.1.16	R00713
1.2.1.20	R00713
1.2.1.24	R00713
1.2.1.79	R00713
1.2.1.16	R00714
1.2.1.20	R00714
1.2.1.24	R00714
1.2.1.79	R00714
1.5.1.7	R00715
1.5.1.8	R00716
1.5.1.9	R00716
1.1.1.26	R00717
1.1.1.29	R00717
3.6.1.5	R00719
3.6.1.8	R00720
3.6.1.19	R00720
3.6.1.66	R00720
2.7.4.3	R00722
2.7.4.6	R00722
3.6.1.14	R00723
2.7.1.40	R00724
2.7.1.1	R00725
4.1.1.32	R00726
6.2.1.4	R00727
6.2.1.5	R00727
4.1.99.2	R00728
1.4.3.2	R00729
1.14.13.41	R00730
1.14.18.1	R00731
1.3.1.12	R00732
1.3.1.43	R00732
1.3.1.79	R00732
1.3.1.78	R00733
1.3.1.79	R00733
2.6.1.1	R00734
2.6.1.5	R00734
2.6.1.9	R00734
2.6.1.27	R00734
2.6.1.28	R00734
2.6.1.57	R00734
2.6.1.58	R00734
2.6.1.78	R00734
2.6.1.79	R00734
6.3.2.24	R00735
4.1.1.11	R00736
4.1.1.25	R00736
4.1.1.28	R00736
4.3.1.23	R00737
4.3.1.25	R00737
5.4.3.6	R00739
1.1.1.298	R00740
1.2.1.75	R00740
1.2.1.76	R00740
6.3.4.14	R00742
6.4.1.2	R00742
6.4.1.3	R00742
2.8.3.3	R00743
1.1.1.2	R00746
1.1.1.71	R00746
3.11.1.1	R00747
4.2.3.2	R00748
4.3.1.7	R00749
4.1.3.39	R00750
4.1.3.43	R00750
4.1.2.5	R00751
4.1.2.36	R00753
1.1.1.1	R00754
1.1.1.71	R00754
1.1.1.284	R00754
1.2.1.10	R00754
4.1.1.1	R00755
2.7.1.11	R00756
1.1.1.17	R00758
2.7.1.1	R00760
2.7.1.4	R00760
4.1.2.9	R00761
4.1.2.22	R00761
3.1.3.11	R00762
3.1.3.37	R00762
4.1.2.13	R00762
3.1.3.46	R00763
2.7.1.90	R00764
3.5.99.6	R00765
2.4.1.14	R00766
2.7.1.11	R00767
2.6.1.16	R00768
2.7.1.11	R00769
2.7.1.11	R00770
5.3.1.9	R00771
5.3.1.8	R00772
3.5.1.54	R00774
6.3.4.6	R00774
3.5.3.2	R00775
4.3.2.3	R00776
3.5.3.14	R00777
4.2.1.69	R00778
1.13.11.18	R00781
4.4.1.1	R00782
4.4.1.2	R00782
4.4.1.8	R00782
1.7.2.1	R00783
1.7.99.1	R00783
1.7.2.1	R00784
1.7.2.1	R00785
1.7.99.1	R00785
1.7.1.4	R00787
1.7.1.15	R00787
1.7.1.4	R00789
1.7.7.1	R00790
1.7.7.2	R00791
1.9.6.1	R00792
1.7.1.1	R00794
1.7.1.2	R00794
1.7.1.3	R00794
1.7.1.1	R00796
1.7.1.2	R00796
1.7.1.3	R00796
1.7.99.4	R00798
1.7.3.1	R00799
3.2.1.3	R00801
3.2.1.10	R00801
3.2.1.20	R00801
3.2.1.48	R00801
3.2.1.3	R00802
3.2.1.10	R00802
3.2.1.20	R00802
3.2.1.26	R00802
3.2.1.48	R00802
2.4.1.7	R00803
3.1.3.23	R00804
3.1.3.24	R00805
2.4.1.13	R00806
1.1.99.13	R00807
1.1.99.13	R00808
2.4.1.167	R00809
5.4.99.11	R00810
2.7.1.69	R00811
1.3.1.19	R00812
1.3.1.25	R00813
1.3.1.20	R00814
1.14.13.7	R00815
1.13.11.2	R00816
1.13.11.1	R00817
1.14.13.1	R00818
4.1.1.46	R00821
4.1.1.63	R00822
1.14.12.1	R00823
1.14.12.1	R00825
2.1.1.6	R00827
1.14.13.31	R00828
2.3.1.16	R00829
2.3.1.174	R00829
2.3.1.223	R00829
2.3.1.37	R00830
2.3.1.109	R00832
5.4.99.2	R00833
1.1.1.200	R00834
1.1.1.49	R00835
1.1.1.363	R00835
2.4.1.15	R00836
3.2.1.93	R00837
3.2.1.122	R00837
3.2.1.122	R00838
3.2.1.86	R00839
3.1.3.21	R00841
1.1.1.8	R00842
1.1.1.94	R00842
1.1.1.94	R00844
1.1.1.177	R00845
1.1.3.21	R00846
2.7.1.30	R00847
1.1.5.3	R00848
1.1.5.3	R00849
2.7.1.142	R00850
2.3.1.15	R00851
2.3.1.42	R00851
2.4.1.137	R00853
2.4.1.96	R00854
3.6.1.13	R00855
3.6.1.16	R00855
3.6.1.53	R00855
2.7.7.39	R00856
3.1.4.46	R00857
1.8.1.2	R00858
1.8.7.1	R00859
1.8.99.2	R00860
1.8.99.1	R00861
1.8.99.3	R00861
4.1.1.12	R00863
1.1.2.2	R00865
2.7.1.3	R00866
2.7.1.1	R00867
2.7.1.4	R00867
1.1.1.11	R00868
1.1.1.67	R00868
1.1.1.138	R00870
1.1.1.124	R00871
1.1.99.11	R00873
1.1.99.28	R00874
1.1.1.14	R00875
1.1.1.15	R00875
2.7.1.1	R00876
5.3.1.7	R00877
5.3.1.5	R00878
3.2.1.80	R00879
1.1.1.132	R00880
