rxns,metal
R05443,fes_2Fe_2S
R05666,fes_2Fe_2S
R05739,fes_2Fe_2S
R05751,fes_2Fe_2S
R05875,fes_2Fe_2S
R06782,fes_2Fe_2S
R06783,fes_2Fe_2S
R06909,fes_2Fe_2S
R06930,fes_2Fe_2S
R06937,fes_2Fe_2S
R07221,fes_2Fe_2S
R07409,fes_2Fe_2S
R07704,fes_2Fe_2S
R07709,fes_2Fe_2S
R07710,fes_2Fe_2S
R07942,fes_2Fe_2S
R07977,fes_2Fe_2S
R07978,fes_2Fe_2S
R07979,fes_2Fe_2S
R08235,fes_2Fe_2S
R08349,fes_2Fe_2S
R08384,fes_2Fe_2S
R08408,fes_2Fe_2S
R08409,fes_2Fe_2S
R09151,fes_2Fe_2S
R09152,fes_2Fe_2S
R09159,fes_2Fe_2S
R09227,fes_2Fe_2S
R09473,fes_2Fe_2S
R09512,fes_2Fe_2S
R09513,fes_2Fe_2S
R09515,fes_2Fe_2S
R09516,fes_2Fe_2S
R09787,fes_2Fe_2S
R09922,fes_2Fe_2S
R09923,fes_2Fe_2S
R09924,fes_2Fe_2S
R09925,fes_2Fe_2S
R10048,fes_2Fe_2S
R10106,fes_2Fe_2S
R10107,fes_2Fe_2S
R10108,fes_2Fe_2S
R10159,fes_2Fe_2S
R00021,fes_3Fe_4S
R00093,fes_3Fe_4S
R00114,fes_3Fe_4S
R00248,fes_3Fe_4S
R00256,fes_3Fe_4S
R05751,fes_3Fe_4S
R05884,fes_3Fe_4S
R07219,fes_3Fe_4S
R08209,fes_3Fe_4S
R08210,fes_3Fe_4S
R09787,fes_3Fe_4S
R10086,fes_3Fe_4S
R00019,fes
R00220,fes
R00281,fes
R00283,fes
R00295,fes
R00481,fes
R00519,fes
R00590,fes
R00700,fes
R00787,fes
R00789,fes
R00791,fes
R00794,fes
R00796,fes
R00861,fes
R00977,fes
R00996,fes
R01078,fes
R01217,fes
R01306,fes
R01324,fes
R01325,fes
R01414,fes
R01636,fes
R01689,fes
R01869,fes
R01900,fes
R02163,fes
R02164,fes
R02166,fes
R02252,fes
R02450,fes
R02451,fes
R02965,fes
R02968,fes
R03025,fes
R03031,fes
R03306,fes
R03543,fes
R03559,fes
R03599,fes
R03630,fes
R03896,fes
R03898,fes
R03968,fes
R04001,fes
R04015,fes
R04292,fes
R04392,fes
R04425,fes
R04433,fes
R04455,fes
R04710,fes
R05217,fes
R05261,fes
R05262,fes
R05263,fes
R05264,fes
R05290,fes
R05291,fes
R05316,fes
R05414,fes
R05422,fes
R05423,fes
R05424,fes
R05425,fes
R05426,fes
R05427,fes
R05428,fes
R05499,fes
R05500,fes
R05501,fes
R05621,fes
R05622,fes
R05665,fes
R05753,fes
R05884,fes
R06131,fes
R06909,fes
R06930,fes
R06937,fes
R07158,fes
R07159,fes
R07160,fes
R07181,fes
R07182,fes
R07188,fes
R07219,fes
R07221,fes
R07460,fes
R07704,fes
R07709,fes
R07710,fes
R07767,fes
R07768,fes
R08034,fes
R08035,fes
R08100,fes
R08101,fes
R08108,fes
R08109,fes
R08110,fes
R08209,fes
R08210,fes
R08433,fes
R08566,fes
R08567,fes
R08571,fes
R08620,fes
R08624,fes
R08628,fes
R08634,fes
R08641,fes
R08645,fes
R08681,fes
R08689,fes
R08698,fes
R08921,fes
R09071,fes
R09095,fes
R09151,fes
R09152,fes
R09159,fes
R09317,fes
R09394,fes
R09493,fes
R09497,fes
R09508,fes
R09512,fes
R09555,fes
R09566,fes
R09787,fes
R09860,fes
R10170,fes
R10230,fes
R10243,fes
R10324,fes
R10390,fes
R10501,fes
R10512,fes
R10572,fes
R10603,fes
R10782,fes
R10802,fes
R10859,fes
