rxns,metal
R09896,mg
R09900,mg
R09901,mg
R09902,mg
R09944,mg
R09945,mg
R09959,mg
R09964,mg
R09965,mg
R09967,mg
R09969,mg
R09970,mg
R09971,mg
R09974,mg
R10002,mg
R10006,mg
R10090,mg
R10091,mg
R10095,mg
R10175,mg
R10187,mg
R10231,mg
R10235,mg
R10337,mg
R10433,mg
R10442,mg
R10443,mg
R10452,mg
R10464,mg
R10509,mg
R10525,mg
R10537,mg
R10612,mg
R10613,mg
R10708,mg
R10763,mg
R10772,mg
R10815,mg
R10820,mg
R10841,mg
R10842,mg
R00184,co
R00353,co
R00411,co
R00930,co
R01211,co
R01492,co
R01518,co
R01569,co
R01645,co
R01647,co
R01664,co
R01968,co
R02088,co
R02102,co
R02412,co
R02413,co
R02551,co
R02782,co
R02858,co
R02882,co
R03083,co
R03084,co
R03460,co
R04384,co
R04594,co
R05150,co
R05177,co
R05180,co
R05220,co
R05224,co
R05227,co
R05659,co
R05688,co
R05805,co
R05807,co
R05809,co
R05812,co
R05813,co
R05814,co
R05815,co
R06870,co
R06871,co
R07268,co
R07636,co
R07772,co
R07773,co
R07774,co
R07775,co
R08195,co
R08196,co
R08200,co
R08538,co
R08617,co
R08898,co
R08900,co
R08967,co
R08993,co
R09084,co
R09085,co
R09086,co
R09098,co
R09124,co
R09394,co
R09551,co
R09558,co
R09598,co
R09599,co
R09663,co
R09664,co
R09681,co
R09683,co
R09684,co
R09717,co
R09718,co
R09841,co
R09879,co
R09880,co
R09952,co
R09997,co
R09998,co
R09999,co
R10000,co
R10001,co
R10014,co
R10015,co
R10016,co
R10017,co
R10553,co
R10621,co
R10776,co
R10817,co
R10818,co
R00002,fe
R00019,fe
R00032,fe
R00036,fe
R00043,fe
R00044,fe
R00067,fe
R00069,fe
R00078,fe
R00086,fe
R00092,fe
R00111,fe
R00134,fe
R00148,fe
R00153,fe
R00162,fe
R00220,fe
R00275,fe
R00281,fe
R00283,fe
R00294,fe
R00295,fe
R00311,fe
R00339,fe
R00340,fe
R00481,fe
R00519,fe
R00557,fe
R00558,fe
R00590,fe
R00602,fe
R00700,fe
R00781,fe
R00787,fe
R00789,fe
R00790,fe
R00791,fe
R00794,fe
R00796,fe
R00798,fe
R00817,fe
R00823,fe
R00825,fe
R00859,fe
R00860,fe
R00861,fe
R00893,fe
R00977,fe
R00980,fe
R00996,fe
R01078,fe
R01106,fe
R01115,fe
R01184,fe
R01217,fe
R01252,fe
R01291,fe
R01295,fe
R01306,fe
R01324,fe
R01325,fe
R01372,fe
R01412,fe
R01414,fe
R01442,fe
R01443,fe
R01631,fe
R01632,fe
R01636,fe
R01689,fe
R01720,fe
R01768,fe
R01769,fe
R01795,fe
R01803,fe
R01814,fe
R01815,fe
R01816,fe
R01869,fe
R01900,fe
R02000,fe
R02017,fe
R02018,fe
R02019,fe
R02024,fe
R02103,fe
R02107,fe
R02156,fe
