ec,cofactor
1.4.3.15,flavoprotein
1.4.3.16,flavoprotein
1.4.3.19,flavoprotein
1.4.3.21,cu
1.4.3.22,cu
1.4.3.23,flavoprotein
1.4.3.24,flavoprotein
1.4.4.2,plp
1.4.5.1,fe
1.4.5.1,fes
1.4.5.1,flavoprotein
1.4.7.1,fes_3Fe_4S
1.4.7.1,flavoprotein
1.4.99.5,flavoprotein
1.5.1.20,flavoprotein
1.5.1.30,flavoprotein
1.5.1.36,flavoprotein
1.5.1.37,flavoprotein
1.5.1.38,flavoprotein
1.5.1.39,flavoprotein
1.5.1.41,flavoprotein
1.5.1.45,flavoprotein
1.5.3.1,flavoprotein
1.5.3.2,flavoprotein
1.5.3.5,flavoprotein
1.5.3.6,flavoprotein
1.5.3.10,flavoprotein
1.5.3.13,flavoprotein
1.5.3.14,flavoprotein
1.5.3.16,flavoprotein
1.5.3.17,flavoprotein
1.5.3.18,flavoprotein
1.5.3.19,flavoprotein
1.5.3.22,fe
1.5.3.22,flavoprotein
1.5.5.1,fe
1.5.5.1,fes
1.5.5.1,flavoprotein
1.5.5.2,flavoprotein
1.5.7.1,fe
1.5.7.1,fes
1.5.7.1,flavoprotein
1.5.7.1,zn
1.5.7.2,fe
1.5.7.2,fes
1.5.7.2,flavoprotein
1.5.8.1,fes_4Fe_4S
1.5.8.1,flavoprotein
1.5.8.2,fes_4Fe_4S
1.5.8.2,flavoprotein
1.5.8.3,flavoprotein
1.5.8.4,flavoprotein
1.5.99.4,flavoprotein
1.5.99.6,heme
1.5.99.6,flavoprotein
1.5.99.12,flavoprotein
1.5.99.13,flavoprotein
1.5.99.14,mo
1.5.99.15,fe
1.5.99.15,fes
1.5.99.15,flavoprotein
1.6.1.1,flavoprotein
1.6.2.2,flavoprotein
1.6.2.4,heme
1.6.2.4,flavoprotein
1.6.2.5,flavoprotein
1.6.3.1,heme
1.6.3.1,flavoprotein
1.6.3.2,flavoprotein
1.6.3.3,flavoprotein
1.6.3.4,flavoprotein
1.6.3.5,flavoprotein
1.6.5.2,flavoprotein
1.6.5.3,fe
1.6.5.3,fes
1.6.5.3,flavoprotein
1.6.5.5,zn
