ec,cofactor
2.6.1.79,plp
2.6.1.80,plp
2.6.1.81,plp
2.6.1.82,plp
2.6.1.84,plp
2.6.1.85,mg
2.6.1.86,mg
2.6.1.89,plp
2.6.1.90,plp
2.6.1.92,plp
2.6.1.104,plp
2.6.1.106,plp
2.7.1.26,mg
2.7.1.26,mn
2.7.1.26,flavoprotein
2.7.1.26,zn
2.7.1.52,mg
2.7.1.52,fe
2.7.1.146,co
2.7.1.146,mg
2.7.1.147,mg
2.7.1.148,mg
2.7.1.148,mn
2.7.1.157,co
2.7.1.157,mg
2.7.1.157,mn
2.7.1.158,fe
2.7.1.162,mg
2.7.1.174,mg
2.7.1.175,mg
2.7.1.180,mg
2.7.2.1,mg
2.7.2.15,mg
2.7.7.2,mg
2.7.7.60,mg
2.7.7.60,mn
2.7.7.63,mg
2.7.7.64,mg
2.7.7.64,mn
2.7.7.65,mg
2.7.7.65,mn
2.7.7.67,mg
2.7.7.73,zn
2.7.7.75,mg
2.7.7.75,mn
2.7.7.81,mg
2.7.8.7,mg
2.7.8.24,mg
2.7.8.24,mn
2.7.8.32,mn
2.7.8.38,mn
2.7.8.39,mg
2.7.8.39,mn
2.7.9.2,mn
2.7.9.3,mg
2.7.11.6,mg
2.7.12.2,fe
2.8.1.2,zn
2.8.1.6,fes_2Fe_2S
2.8.1.6,fes_4Fe_4S
2.8.1.6,fe
2.8.1.6,fes
2.8.1.7,plp
2.8.1.8,fe
2.8.1.8,fes
2.8.2.22,mg
2.8.2.22,mn
2.8.2.32,mg
2.8.4.3,fes_4Fe_4S
2.8.4.4,fes_4Fe_4S
2.8.4.4,fe
2.8.4.5,fes_4Fe_4S
2.9.1.2,plp
2.10.1.1,mg
2.10.1.1,zn
3.1.2.30,mg
3.1.2.30,mn
3.1.3.1,zn
3.1.3.4,mg
3.1.3.24,mg
3.1.3.67,mg
3.1.3.70,mg
3.1.3.71,mg
3.1.3.73,co
3.1.3.74,mg
3.1.3.75,co
3.1.3.75,mg
3.1.3.75,mn
3.1.3.76,mg
3.1.3.77,fe
3.1.3.79,mg
3.1.3.81,mg
3.1.3.81,zn
3.1.3.85,co
3.1.3.85,mg
3.1.3.85,mn
3.1.3.89,co
3.1.4.3,zn
3.1.4.52,heme
3.1.4.52,mg
3.1.4.52,mn
3.1.4.53,mg
3.1.4.53,mn
3.1.4.55,mn
3.1.4.55,zn
3.1.4.56,fe
3.1.4.56,zn
3.1.7.5,mn
3.1.7.11,mg
3.1.7.11,mn
3.2.1.184,mg
3.3.2.6,zn
3.4.11.1,zn
3.4.11.2,zn
3.4.11.5,mn
3.4.13.12,mn
3.4.13.18,mn
3.4.13.18,zn
3.4.13.22,zn
3.5.1.5,ni
3.5.1.14,zn
3.5.1.56,fe
3.5.1.57,mn
3.5.1.58,co
3.5.1.58,zn
3.5.1.81,zn
3.5.1.82,zn
3.5.1.83,zn
3.5.1.91,zn
3.5.1.96,co
3.5.1.103,zn
3.5.1.104,zn
3.5.1.108,zn
3.5.1.114,co
3.5.2.1,zn
3.5.2.18,fe
3.5.2.18,zn
3.5.3.2,mn
3.5.3.7,mn
3.5.3.9,mn
3.5.3.17,mn
3.5.3.22,mn
3.5.3.26,mn
3.5.4.5,zn
3.5.4.8,fe
3.5.4.29,mg
3.5.4.30,mg
3.5.4.32,zn
3.5.4.33,zn
3.5.4.34,mg
3.5.4.39,fe
3.5.4.39,zn
3.6.1.5,mg
3.6.1.15,tpp
3.6.1.18,flavoprotein
3.6.1.53,mn
3.6.1.55,mg
3.6.1.60,mn
3.6.1.61,co
3.6.1.61,mg
3.6.1.61,mn
3.6.1.61,zn
3.6.1.62,mg
3.6.1.62,mn
3.6.1.66,mg
3.6.2.2,mn
3.6.3.35,mn
3.6.3.35,zn
3.6.3.55,w
3.7.1.3,plp
3.7.1.12,co
3.11.1.2,zn
3.11.1.3,co
3.11.1.3,mg
3.11.1.3,mn
3.13.1.4,flavoprotein
4.1.1.1,tpp
4.1.1.2,mn
4.1.1.3,biotin
4.1.1.3,mn
4.1.1.7,tpp
4.1.1.8,tpp
4.1.1.12,plp
4.1.1.14,plp
4.1.1.15,plp
4.1.1.16,plp
4.1.1.17,plp
4.1.1.18,plp
4.1.1.19,plp
4.1.1.20,plp
4.1.1.22,plp
4.1.1.24,plp
4.1.1.25,plp
4.1.1.28,plp
4.1.1.29,plp
4.1.1.41,biotin
4.1.1.47,flavoprotein
4.1.1.53,plp
4.1.1.64,plp
4.1.1.65,plp
4.1.1.70,biotin
4.1.1.71,tpp
4.1.1.74,mg
4.1.1.74,tpp
4.1.1.75,tpp
4.1.1.79,tpp
4.1.1.81,plp
4.1.1.82,mg
4.1.1.82,tpp
4.1.1.82,mn
4.1.1.85,mg
4.1.1.86,plp
4.1.1.89,biotin
4.1.1.92,mg
4.1.1.92,mn
4.1.1.92,zn
4.1.1.98,flavoprotein
4.1.2.5,plp
4.1.2.9,tpp
4.1.2.10,flavoprotein
4.1.2.13,zn
4.1.2.26,plp
4.1.2.27,plp
4.1.2.30,heme
4.1.2.38,tpp
4.1.2.42,ni
4.1.2.42,co
4.1.2.42,plp
4.1.2.42,mg
4.1.2.42,mn
4.1.2.43,mg
4.1.2.43,mn
4.1.2.46,zn
4.1.2.50,zn
4.1.2.52,co
4.1.2.52,mn
4.1.2.53,mg
4.1.3.14,plp
4.1.3.25,mg
4.1.3.38,plp
4.1.3.39,mn
4.1.3.41,co
4.1.3.41,plp
4.1.3.41,mg
4.1.3.41,mn
4.1.3.43,mn
4.1.3.44,fes_4Fe_4S
4.1.3.46,mn
4.1.99.1,plp
4.1.99.2,plp
4.1.99.3,flavoprotein
4.1.99.5,fe
4.1.99.12,mg
4.1.99.16,mg
4.1.99.17,fes_4Fe_4S
4.1.99.18,co
4.1.99.18,fes
4.1.99.19,fes_4Fe_4S
4.1.99.19,flavoprotein
4.1.99.20,mn
4.2.1.1,zn
4.2.1.3,fes_4Fe_4S
4.2.1.3,fe
4.2.1.3,fes
4.2.1.20,plp
4.2.1.22,plp
4.2.1.24,heme
4.2.1.24,mg
4.2.1.24,fe
4.2.1.24,zn
4.2.1.32,fe
4.2.1.33,fe
4.2.1.33,fes
4.2.1.35,fe
4.2.1.36,fes_4Fe_4S
4.2.1.44,co
4.2.1.44,mn
4.2.1.50,plp
4.2.1.81,fe
4.2.1.81,mn
4.2.1.85,fe
4.2.1.111,mg
4.2.1.112,fes_4Fe_4S
4.2.1.112,w
4.2.1.112,pterin
4.2.1.113,mg
4.2.1.113,mn
4.2.1.114,fes_4Fe_4S
4.2.1.118,mn
4.2.1.120,fes_4Fe_4S
4.2.1.120,fe
4.2.1.120,fes
4.2.1.120,flavoprotein
4.2.1.121,heme
4.2.1.133,mg
4.2.1.140,mg
4.2.1.152,fe
4.2.3.1,plp
4.2.3.2,plp
4.2.3.4,co
4.2.3.5,flavoprotein
4.2.3.9,mg
4.2.3.9,mn
4.2.3.12,mg
4.2.3.13,mg
4.2.3.15,mn
4.2.3.16,mn
4.2.3.18,mg
4.2.3.20,mn
4.2.3.22,mg
4.2.3.23,mg
4.2.3.24,mg
4.2.3.24,mn
4.2.3.25,mg
4.2.3.25,mn
4.2.3.26,mg
4.2.3.26,mn
4.2.3.27,mg
4.2.3.27,mn
4.2.3.31,ni
4.2.3.31,co
4.2.3.31,mg
4.2.3.31,zn
4.2.3.36,co
4.2.3.36,mg
4.2.3.36,fe
4.2.3.36,mn
4.2.3.37,mg
4.2.3.38,mg
4.2.3.38,mn
4.2.3.39,mg
4.2.3.41,mg
4.2.3.41,mn
4.2.3.55,mg
4.2.3.55,mn
4.2.3.63,mg
4.2.3.64,mg
4.2.3.74,mg
4.2.3.77,ni
4.2.3.77,co
4.2.3.77,mg
4.2.3.77,mn
4.2.3.87,mg
4.2.3.90,mg
4.2.3.91,mg
4.2.3.93,mg
4.2.3.96,mg
4.2.3.100,mg
4.2.3.100,mn
4.2.3.101,mg
4.2.3.101,mn
4.2.3.102,mg
4.2.3.102,mn
4.2.3.108,mg
4.2.3.108,mn
4.2.3.108,zn
4.2.3.109,mg
4.2.3.113,mg
4.2.3.113,mn
4.2.3.114,mg
4.2.3.114,mn
4.2.3.115,mg
4.2.3.115,mn
4.2.3.116,mg
4.2.3.116,mn
4.2.3.119,mg
4.2.3.119,mn
4.2.3.120,mg
4.2.3.120,mn
4.2.3.121,mg
4.2.3.121,mn
4.2.3.124,co
4.2.3.127,mg
4.2.3.134,plp
4.2.3.146,mg
4.2.3.148,mg
4.2.3.149,mg
4.2.3.150,fes_4Fe_4S
4.2.3.150,mg
4.2.3.151,fes_4Fe_4S
4.2.3.151,mg
4.2.3.152,co
4.2.3.152,zn
4.3.1.2,v12
4.3.1.7,v12
4.3.1.13,plp
4.3.1.16,plp
4.3.1.16,mg
4.3.1.16,mn
4.3.1.17,fe
4.3.1.17,fes
4.3.1.18,plp
4.3.1.19,fe
4.3.1.19,fes
4.3.1.20,plp
4.3.1.20,mg
4.3.1.20,mn
4.3.1.27,ni
4.3.1.27,co
4.3.1.27,plp
4.3.1.27,mn
4.3.1.30,fes_4Fe_4S
4.3.99.3,fes_4Fe_4S
4.3.99.3,mg
4.4.1.2,plp
4.4.1.4,plp
4.4.1.6,plp
4.4.1.8,plp
4.4.1.10,plp
4.4.1.11,plp
4.4.1.13,plp
4.4.1.14,plp
4.4.1.16,plp
4.4.1.17,heme
4.4.1.19,mg
4.4.1.21,fe
4.4.1.23,zn
4.4.1.24,fe
4.4.1.25,plp
4.4.1.27,zn
4.5.1.2,plp
4.5.1.5,plp
4.6.1.12,mg
4.6.1.12,mn
4.6.1.15,co
4.6.1.15,mn
4.6.1.15,flavoprotein
4.7.1.1,fes_4Fe_4S
4.99.1.3,co
4.99.1.4,heme
4.99.1.5,heme
4.99.1.5,fe
4.99.1.7,heme
4.99.1.7,fe
5.1.1.1,plp
5.1.1.2,plp
5.1.1.3,plp
5.1.1.9,plp
5.1.1.10,plp
5.1.1.18,plp
5.1.3.30,co
5.1.3.31,mn
5.2.1.13,flavoprotein
5.3.1.3,mn
5.3.1.4,mn
5.3.1.5,mg
5.3.1.8,zn
5.3.1.25,mn
5.3.1.29,co
5.3.3.2,mg
5.3.3.2,mn
5.3.3.2,flavoprotein
5.3.3.12,zn
5.3.99.4,heme
5.3.99.5,heme
5.3.99.11,co
5.3.99.11,fe
5.3.99.11,mn
5.4.2.6,mg
5.4.2.12,co
5.4.2.12,mn
5.4.3.5,plp
5.4.3.9,fes_4Fe_4S
5.4.4.2,mg
5.4.4.5,heme
5.4.4.6,heme
5.4.4.7,fe
5.4.99.58,fes_4Fe_4S
5.4.99.60,co
5.4.99.61,co
5.5.1.1,mn
5.5.1.7,mn
5.5.1.8,mg
5.5.1.11,mn
5.5.1.14,mg
5.5.1.15,mg
5.5.1.16,mg
5.5.1.19,flavoprotein
5.5.1.22,mg
6.2.1.7,mg
6.2.1.33,mg
6.2.1.34,mg
6.2.1.44,mg
6.3.1.8,mg
6.3.1.18,mg
6.3.2.26,mg
6.3.2.29,mg
6.3.2.30,mg
6.3.2.38,mg
6.3.2.39,mg
6.3.2.45,mg
6.3.4.6,biotin
6.3.4.20,zn
6.3.4.24,co
6.3.4.24,mg
6.3.4.24,fe
6.3.4.24,mn
6.3.4.24,zn
6.3.5.9,co
6.3.5.10,mg
6.3.5.11,co
6.4.1.1,biotin
6.4.1.1,mn
6.4.1.1,zn
6.4.1.2,biotin
6.4.1.3,biotin
6.4.1.4,biotin
6.4.1.5,biotin
6.4.1.6,mg
6.4.1.7,biotin
6.4.1.7,mg
6.5.1.5,mg
6.6.1.2,co
