,rn,rule
13384,R00602_v1,4028-4048
15532,R02670_v1,2007_4028-4048
15535,R02670_v1,4028-4048
5243,R00510,3623-7563
6314,R00182,3623-7563
16398,R04020_v1,4_3686-830
16399,R04020_v2,4_3686-830
17240,R05379_v1,4_3686-830
17241,R05379_v2,4_3686-830
17321,R05596_v1,4_3686-830
17322,R05596_v2,4_3686-830
17474,R05780_v1,4_3686-830
18202,R07854_v1,4_3686-830
18203,R07854_v2,4_3686-830
14402,R01450_v1,7601-7602
3514,R10837,325_184-7544
3515,R10837,1_325_184-7544
4020,R10838,325_184-7544
4021,R10838,1_325_184-7544
4204,R10836,325_184-7544
4205,R10836,1_325_184-7544
13855,R00985_v1,2007_184-7544
13859,R00986_v1,2007_184-7544
13962,R01073_v1,184-7544
13963,R01073_v1,2007_184-7544
14510,R01570_v1,325_184-7544
14751,R01876_v1,325_184-7544
15157,R02296_v1,325_184-7544
15302,R02484_v1,325_184-7544
3152,R11461,301_2010-590
5525,R11460,301_2010-590
13903,R01011_v1,301_2010-590
13904,R01012_v1,301_322_2010-590
13905,R01012_v1,301_2010-590
13952,R01059_v1,301_2010-590
918,R01512,7532-7533
17668,R06613_v1,842
12647,R00089_v1,64_4035-4036-4054
12651,R00089_v1,4035-4036-4054
12652,R00089_v1,2498_4035-4036-4054
12655,R00089_v2,64_4035-4036-4054
12659,R00089_v2,4035-4036-4054
12660,R00089_v2,2498_4035-4036-4054
12663,R00089_v3,64_4035-4036-4054
12667,R00089_v3,4035-4036-4054
12668,R00089_v3,2498_4035-4036-4054
13134,R00434_v1,64_4035-4036-4054
13138,R00434_v1,4035-4036-4054
13139,R00434_v1,2498_4035-4036-4054
13144,R00434_v2,64_4035-4036-4054
13148,R00434_v2,4035-4036-4054
13149,R00434_v2,2498_4035-4036-4054
13154,R00434_v3,64_4035-4036-4054
13158,R00434_v3,4035-4036-4054
13159,R00434_v3,2498_4035-4036-4054
501,R01221,1_2003_244_304_325_3016-7577
1966,R08170,3016-7577
1987,R04467,3016-7577
2161,R11068,3016-7577
2194,R06631,3016-7577
2715,R12622,3016-7577
3745,R11475,3016-7577
4109,R12055,3016-7577
4429,R08654,3016-7577
5404,R12606,3016-7577
5882,R11291,3016-7577
6933,R02026,3016-7577
7853,R06586,3016-7577
9511,R10064,3016-7577
10013,R12343,3016-7577
12811,R00179_v1,3016-7577
12941,R00258_v1,3016-7577
12943,R00261_v1,3016-7577
13073,R00355_v1,3016-7577
13090,R00369_v1,3016-7577
13092,R00371_v1,3016-7577
13093,R00372_v1,3016-7577
13103,R00397_v1,3016-7577
13178,R00457_v1,3016-7577
13183,R00462_v1,2007_275_3016-7577
13334,R00566_v1,2007_275_3016-7577
13338,R00566_v2,2007_275_3016-7577
13363,R00585_v1,3016-7577
13369,R00588_v1,3016-7577
13459,R00649_v1,2003_3016-7577
13460,R00649_v2,2003_3016-7577
13462,R00651_v1,3016-7577
13463,R00654_v1,3016-7577
13482,R00667_v1,3016-7577
13483,R00668_v1,3016-7577
13489,R00673_v1,3016-7577
13500,R00684_v1,3016-7577
13501,R00685_v1,3016-7577
13509,R00692_v1,3016-7577
13510,R00694_v1,3016-7577
13514,R00699_v1,3016-7577
13548,R00728_v1,3016-7577
13556,R00734_v1,3016-7577
13557,R00736_v1,3016-7577
13569,R00748_v1,3016-7577
13576,R00751_v1,3016-7577
13614,R00782_v1,3016-7577
13616,R00782_v2,3016-7577
13683,R00830_v1,3016-7577
13730,R00863_v1,3016-7577
13745,R00895_v1,3016-7577
13746,R00896_v1,3016-7577
13747,R00897_v1,3016-7577
13767,R00907_v1,3016-7577
13768,R00908_v1,3016-7577
13786,R00945_v1,3016-7577
13860,R00987_v1,3016-7577
13872,R00999_v1,3016-7577
13873,R01001_v1,3016-7577
14135,R01155_v1,3016-7577
14151,R01167_v1,3016-7577
14153,R01167_v2,3016-7577
14197,R01215_v1,3016-7577
14269,R01281_v1,3016-7577
14271,R01283_v1,3016-7577
14272,R01286_v1,3016-7577
14273,R01287_v1,3016-7577
14274,R01288_v1,3016-7577
14338,R01343_v1,3016-7577
14340,R01346_v1,3016-7577
14356,R01375_v1,3016-7577
14357,R01376_v1,3016-7577
14571,R01648_v1,3016-7577
14634,R01682_v1,3016-7577
14636,R01684_v1,3016-7577
14652,R01712_v1,3016-7577
14669,R01731_v1,3016-7577
14799,R01939_v1,3016-7577
14803,R01956_v1,3016-7577
14908,R02050_v1,3016-7577
14950,R02080_v1,3016-7577
15147,R02272_v1,3016-7577
15148,R02274_v1,3016-7577
15149,R02283_v1,3016-7577
15260,R02408_v1,3016-7577
15274,R02433_v1,3016-7577
15290,R02464_v1,3016-7577
15291,R02466_v1,3016-7577
15322,R02508_v1,3016-7577
15515,R02619_v1,3016-7577
15531,R02668_v1,3016-7577
15562,R02700_v1,3016-7577
15563,R02701_v1,3016-7577
15628,R02772_v1,3016-7577
15629,R02773_v1,3016-7577
15638,R02781_v1,3016-7577
15927,R03182_v1,2004_3016-7577
15938,R03210_v1,3016-7577
15939,R03217_v1,3016-7577
15951,R03231_v1,3016-7577
15952,R03231_v1,2004_3016-7577
15958,R03243_v1,3016-7577
15969,R03260_v1,3016-7577
16068,R03391_v1,3016-7577
16070,R03392_v1,3016-7577
16086,R03425_v1,3016-7577
16355,R03936_v1,3016-7577
16463,R04152_v1,3016-7577
16470,R04171_v1,3016-7577
16475,R04187_v1,3016-7577
16476,R04188_v1,3016-7577
16491,R04217_v1,3016-7577
16617,R04438_v1,3016-7577
16637,R04475_v1,3016-7577
16650,R04529_v1,3016-7577
16897,R04859_v1,3016-7577
16949,R04909_v1,3016-7577
17074,R05052_v1,3016-7577
17175,R05224_v1,3016-7577
17370,R05652_v1,3016-7577
17497,R05815_v1,3016-7577
17559,R06171_v1,3016-7577
17621,R06423_v1,3016-7577
17622,R06426_v1,3016-7577
17634,R06516_v1,3016-7577
17650,R06530_v1,3016-7577
17665,R06595_v1,3016-7577
17674,R06626_v1,3016-7577
17677,R06634_v1,3016-7577
17765,R06977_v1,3016-7577
17924,R07276_v1,3016-7577
17925,R07277_v1,3016-7577
18046,R07396_v1,3016-7577
18116,R07613_v1,3016-7577
18150,R07650_v1,3016-7577
18151,R07650_v2,3016-7577
18158,R07659_v1,3016-7577
18342,R08197_v1,3016-7577
18503,R08618_v1,3016-7577
18509,R08632_v1,3016-7577
18510,R08633_v1,3016-7577
18511,R08635_v1,3016-7577
18542,R08714_v1,3016-7577
18582,R08890_v1,3016-7577
18583,R08891_v1,3016-7577
18588,R08897_v1,3016-7577
18602,R08930_v1,3016-7577
18603,R08931_v1,3016-7577
18721,R09254_v1,3016-7577
18740,R09364_v1,3016-7577
18900,R09598_v1,3016-7577
18903,R09599_v1,3016-7577
19082,R09824_v1,3016-7577
19083,R09825_v1,3016-7577
19247,R10094_v1,3016-7577
19266,R10124_v1,3016-7577
19272,R10141_v1,3016-7577
19300,R10178_v1,3016-7577
19301,R10179_v1,3016-7577
19302,R10180_v1,3016-7577
19430,R10460_v1,3016-7577
19565,R10698_v1,3016-7577
19566,R10699_v1,3016-7577
19640,R10845_v1,3016-7577
19683,R10908_v1,3016-7577
19729,R10992_v1,3016-7577
19762,R11038_v1,3016-7577
19786,R11078_v1,3016-7577
19858,R11269_v1,3016-7577
19860,R11270_v1,3016-7577
19930,R11395_v1,3016-7577
19933,R11409_v1,3016-7577
20026,R11607_v1,3016-7577
20179,R11916_v1,3016-7577
20180,R11917_v1,3016-7577
20181,R11918_v1,3016-7577
20305,R12188_v1,3016-7577
20309,R12214_v1,3016-7577
20418,R12507_v1,3016-7577
20477,R12688_v1,3016-7577
12744,R00143_v1,4017_7586
12745,R00143_v1,7586
12978,R00284_v1,4017_7586
12979,R00284_v1,7586
17844,R07157_v1,205_4017_4044_7586
17845,R07157_v1,2003_4044_7586
19317,R10243_v1,2002_3858_4017_4044_4223_4971_7595_7586
6243,R00005,10_2003_206_325_7552_810_306-75
6346,R00251,10_2002_306-75
13609,R00774_v1,10_2003_206_325_306-75
13610,R00774_v1,10_2003_206_325_7552_810_306-75
2327,R12344,876
5306,R12342,876
8673,R00138,868
8674,R00138,601_868
12650,R00089_v1,868
12658,R00089_v2,868
12666,R00089_v3,868
13137,R00434_v1,868
13147,R00434_v2,868
13157,R00434_v3,868
13403,R00618_v1,868
14653,R01714_v1,875
15289,R02461_v1,2002_2007_3269-872
15666,R02852_v1,2002_2007_3269-872
15976,R03275_v1,2002_2007_3269-872
4401,R02120,12_2002_3339-702
10018,R12349,12_2002_4_3339-702
10097,R12528,12_2002_4_3339-702
6412,R00485,7507-7546
6799,R01579,7507-7546
12934,R00256_v1,7507-7546
12939,R00256_v2,7507-7546
5184,R06271,873
13136,R00434_v1,223_304_873
13146,R00434_v2,223_304_873
13156,R00434_v3,223_304_873
4476,R00806,7512_3304-3500
9306,R08676,7512_3304-3500
116,R11362,327-4011-7584
264,R02539,327-4011-7584
468,R00982,327-4011-7584
800,R09286,2003_236_2486_327-4011-7584
801,R09286,327-4011-7584
857,R10880,323_4076_327-4011-7584
879,R12049,7581_327-4011-7584
880,R12049,132_7581_327-4011-7584
1149,R01616,327-4011-7584
1724,R07887,327-4011-7584
1753,R04030,327-4011-7584
2006,R05620,327-4011-7584
2149,R10661,323_327-4011-7584
2244,R11370,327-4011-7584
2249,R10771,327-4011-7584
2378,R12413,323_327-4011-7584
2417,R12419,323_327-4011-7584
2418,R12417,323_327-4011-7584
2623,R02194,327-4011-7584
2767,R11872,327-4011-7584
3158,R12436,323_327-4011-7584
3329,R11723,323_7581_327-4011-7584
3382,R06583,327-4011-7584
3487,R05452,327-4011-7584
3767,R11923,327-4011-7584
3837,R01558,327-4011-7584
3951,R01943,327-4011-7584
4097,R11537,327-4011-7584
4130,R02255,327-4011-7584
4341,R11538,327-4011-7584
4592,R12300,327-4011-7584
4671,R11873,327-4011-7584
4704,R11679,2003_327-4011-7584
4933,R11608,327-4011-7584
5020,R11925,327-4011-7584
5298,R11924,327-4011-7584
5528,R04864,5050_327-4011-7584
5529,R04864,327-4011-7584
5636,R02221,327-4011-7584
5970,R11922,327-4011-7584
6225,R12056,327-4011-7584
6695,R01300,327-4011-7584
6752,R01422,327-4011-7584
7295,R03383,327-4011-7584
9360,R09589,327-4011-7584
9597,R10495,2003_323_327-4011-7584
9659,R10770,327-4011-7584
9968,R12235,2003_327-4011-7584
10048,R12393,327-4011-7584
10051,R12396,327-4011-7584
10161,R12640,327-4011-7584
10162,R12641,327-4011-7584
10163,R12642,327-4011-7584
10188,R12725,323_327-4011-7584
11277,R07416,327-4011-7584
12909,R00235_v1,327-4011-7584
12910,R00235_v2,327-4011-7584
13775,R00919_v1,2003_236_2486_327-4011-7584
13777,R00925_v1,327-4011-7584
13778,R00925_v2,327-4011-7584
14162,R01176_v1,327-4011-7584
14268,R01280_v1,327-4011-7584
14346,R01357_v1,327-4011-7584
15842,R03045_v1,2003_236_2486_327-4011-7584
16923,R04870_v1,323_327-4011-7584
18139,R07644_v1,301_323_7561_327-4011-7584
18140,R07644_v1,301_323_7561_7579_327-4011-7584
18183,R07770_v1,327-4011-7584
18725,R09279_v1,327-4011-7584
19635,R10820_v1,327-4011-7584
20439,R12572_v1,323_7579_327-4011-7584
20440,R12572_v1,323_327-4011-7584
12635,R00087_v1,304_378_7515_920
12639,R00087_v2,304_378_7515_920
12643,R00087_v3,304_378_7515_920
12683,R00103_v1,304_378_7515_920
12688,R00103_v2,304_378_7515_920
12693,R00103_v3,304_378_7515_920
12772,R00160_v1,304_378_7515_920
12776,R00160_v2,304_378_7515_920
12780,R00160_v3,304_378_7515_920
12980,R00287_v1,304_378_7515_920
12984,R00287_v2,304_378_7515_920
12988,R00287_v3,304_378_7515_920
12992,R00287_v4,304_378_7515_920
13240,R00515_v1,304_378_7515_920
13244,R00515_v2,304_378_7515_920
13248,R00515_v3,304_378_7515_920
13470,R00662_v1,304_378_7515_920
13474,R00662_v2,304_378_7515_920
13478,R00662_v3,304_378_7515_920
15773,R03004_v1,304_378_7515_920
15778,R03004_v2,304_378_7515_920
15783,R03004_v3,304_378_7515_920
15828,R03036_v1,304_378_7515_920
15832,R03036_v2,304_378_7515_920
15836,R03036_v3,304_378_7515_920
19880,R11323_v1,304_378_7515_920
19884,R11323_v2,304_378_7515_920
19888,R11323_v3,304_378_7515_920
5921,R01660,7528
13796,R00959_v1,7528
13797,R00959_v1,331_7528
13798,R00959_v2,7528
13799,R00959_v2,331_7528
13946,R01057_v1,7528
13947,R01057_v1,331_7528
13949,R01057_v2,7528
13950,R01057_v2,331_7528
14934,R02060_v1,7528
14935,R02060_v1,331_7528
15612,R02749_v1,7528
15613,R02749_v1,331_7528
15615,R02749_v2,7528
15616,R02749_v2,331_7528
18331,R08193_v1,331_7528
18512,R08639_v1,7528
18513,R08639_v1,331_7528
18514,R08639_v2,7528
18515,R08639_v2,331_7528
17926,R07280_v1,866
17929,R07280_v2,866
858,R10961,205_169-806
17846,R07158_v1,169-806
17847,R07159_v1,169-806
18480,R08571_v1,169-806
12854,R00190_v1,7573
13836,R00965_v1,2002_7573
13837,R00966_v1,7573
13935,R01049_v1,7573
13960,R01072_v1,210_7573
14108,R01132_v1,7573
14225,R01229_v1,7573
14746,R01870_v1,7573
14747,R01870_v1,2002_7573
14748,R01870_v2,7573
