ec,cath_code_rule,rn
1.3.1.10,3.40,R04959
1.3.1.10,3.40,R04962
1.3.1.10,3.40,R04967
1.3.1.10,3.40,R04970
1.3.1.100,3.20,R12090
1.3.1.101,3.30_3.50,R10325
1.3.1.101,3.30_3.50,R10326
1.3.1.102,3.40_3.90,R07350
1.3.1.103,3.40_3.90,R10418
1.3.1.104,3.40_3.90,R01404
1.3.1.104,3.40_3.90,R04430
1.3.1.104,3.40_3.90,R04725
1.3.1.104,3.40_3.90,R04956
1.3.1.104,3.40_3.90,R04959
1.3.1.104,3.40_3.90,R04962
1.3.1.104,3.40_3.90,R04967
1.3.1.104,3.40_3.90,R04970
1.3.1.105,3.40_3.90,R10593
1.3.1.112,3.40,R11426
1.3.1.112,3.40,R11427
1.3.1.12,1.10_3.40,R01728
1.3.1.122,3.40,R12517
1.3.1.122,3.40,R12518
1.3.1.14,3.20,R01869
1.3.1.2,1.10_3.20_3.30_3.50,R01415
1.3.1.2,1.10_3.20_3.30_3.50,R08226
1.3.1.2,1.10_3.20_3.30_3.50,R00978
1.3.1.20,3.20,R07015
1.3.1.20,3.20,R09420
1.3.1.20,3.20,R00814
1.3.1.20,3.30_3.40,R07015
1.3.1.20,3.30_3.40,R09420
1.3.1.20,3.30_3.40,R00814
1.3.1.24,3.30_3.40,R02391
1.3.1.24,3.30_3.40,R02393
1.3.1.24,3.40,R02391
1.3.1.24,3.40,R02393
1.3.1.28,3.40,R01505
1.3.1.3,3.20,R01835
1.3.1.3,3.20,R02219
1.3.1.3,3.20,R02498
1.3.1.3,3.20,R02841
1.3.1.3,3.20,R03713
1.3.1.3,3.20,R03850
1.3.1.3,3.20,R04817
1.3.1.3,3.20,R04823
1.3.1.3,3.20,R02609
1.3.1.3,3.20,R02893
1.3.1.3,3.40,R01835
1.3.1.3,3.40,R02219
1.3.1.3,3.40,R02498
1.3.1.3,3.40,R02841
1.3.1.3,3.40,R03713
1.3.1.3,3.40,R03850
1.3.1.3,3.40,R04817
1.3.1.3,3.40,R04823
1.3.1.3,3.40,R02609
1.3.1.3,3.40,R02893
1.3.1.32,1.20_3.40,R05355
1.3.1.32,1.20_3.40,R06848
1.3.1.32,1.20_3.40,R07781
1.3.1.32,1.20_3.40,R09137
1.3.1.32,1.20_3.40,R09138
1.3.1.32,1.20_3.40,R09223
1.3.1.32,1.20_3.40,R09224
1.3.1.32,1.20_3.40,R02988
1.3.1.32,1.20_3.40,R02989
1.3.1.34,3.20_3.40_3.50,R04319
1.3.1.34,3.20_3.40_3.50,R12620
1.3.1.34,3.40,R04319
1.3.1.34,3.40,R12620
1.3.1.38,3.40,R01278
1.3.1.38,3.40,R03776
1.3.1.38,3.40,R03856
1.3.1.38,3.40,R03989
1.3.1.38,3.40,R04753
1.3.1.38,3.40,R06985
1.3.1.38,3.40,R07162
1.3.1.39,1.10,R01404
1.3.1.39,1.10,R04430
1.3.1.39,1.10,R04725
1.3.1.39,1.10,R04956
1.3.1.39,1.10,R04959
1.3.1.39,1.10,R04962
1.3.1.39,1.10,R04967
1.3.1.39,1.10,R04970
1.3.1.39,1.10_3.30_3.40,R01404
1.3.1.39,1.10_3.30_3.40,R04430
1.3.1.39,1.10_3.30_3.40,R04725
1.3.1.39,1.10_3.30_3.40,R04956
1.3.1.39,1.10_3.30_3.40,R04959
1.3.1.39,1.10_3.30_3.40,R04962
1.3.1.39,1.10_3.30_3.40,R04967
1.3.1.39,1.10_3.30_3.40,R04970
1.3.1.39,1.10_3.40,R01404
1.3.1.39,1.10_3.40,R04430
1.3.1.39,1.10_3.40,R04725
1.3.1.39,1.10_3.40,R04956
1.3.1.39,1.10_3.40,R04959
1.3.1.39,1.10_3.40,R04962
1.3.1.39,1.10_3.40,R04967
1.3.1.39,1.10_3.40,R04970
1.3.1.39,3.10_3.30_3.40_3.90,R01404
1.3.1.39,3.10_3.30_3.40_3.90,R04430
1.3.1.39,3.10_3.30_3.40_3.90,R04725
1.3.1.39,3.10_3.30_3.40_3.90,R04956
1.3.1.39,3.10_3.30_3.40_3.90,R04959
1.3.1.39,3.10_3.30_3.40_3.90,R04962
1.3.1.39,3.10_3.30_3.40_3.90,R04967
1.3.1.39,3.10_3.30_3.40_3.90,R04970
1.3.1.39,3.30_3.40,R01404
1.3.1.39,3.30_3.40,R04430
1.3.1.39,3.30_3.40,R04725
1.3.1.39,3.30_3.40,R04956
1.3.1.39,3.30_3.40,R04959
1.3.1.39,3.30_3.40,R04962
1.3.1.39,3.30_3.40,R04967
1.3.1.39,3.30_3.40,R04970
1.3.1.42,3.20,R03401
1.3.1.43,1.10_3.40,R00732
1.3.1.44,3.40,R00384
1.3.1.44,3.40,R01171
1.3.1.45,3.40_3.90,R06563
1.3.1.45,3.40_3.90,R07747
1.3.1.45,3.40_3.90,R07751
1.3.1.45,3.40_3.90,R06562
1.3.1.48,3.40_3.90,R04556
1.3.1.48,3.40_3.90,R04557
1.3.1.56,3.40,R05241
1.3.1.56,3.40,R05239
1.3.1.70,2.30,R07483
1.3.1.70,2.30,R05639
1.3.1.74,1.20,R07349
1.3.1.74,1.20,R07350
1.3.1.74,3.40_3.90,R07349
1.3.1.76,1.10_3.30_3.40,R03947
1.3.1.76,1.10_3.40,R03947
1.3.1.82,3.40,R06417
1.3.1.84,3.40_3.90,R00919
1.3.1.86,3.40_3.90,R09738
1.3.1.9,1.10_3.40,R01403
1.3.1.9,1.10_3.40,R04429
1.3.1.9,1.10_3.40,R04724
1.3.1.9,1.10_3.40,R04955
1.3.1.9,1.10_3.40,R04958
1.3.1.9,1.10_3.40,R04961
1.3.1.9,1.10_3.40,R04966
1.3.1.9,1.10_3.40,R04969
1.3.1.9,1.10_3.40,R07765
1.3.1.9,1.20_2.40_3.10_3.20_3.30_3.40_6.10,R01403
1.3.1.9,1.20_2.40_3.10_3.20_3.30_3.40_6.10,R04429
1.3.1.9,1.20_2.40_3.10_3.20_3.30_3.40_6.10,R04724
1.3.1.9,1.20_2.40_3.10_3.20_3.30_3.40_6.10,R04955
1.3.1.9,1.20_2.40_3.10_3.20_3.30_3.40_6.10,R04958
1.3.1.9,1.20_2.40_3.10_3.20_3.30_3.40_6.10,R04961
1.3.1.9,1.20_2.40_3.10_3.20_3.30_3.40_6.10,R04966
1.3.1.9,1.20_2.40_3.10_3.20_3.30_3.40_6.10,R04969
1.3.1.9,1.20_2.40_3.10_3.20_3.30_3.40_6.10,R07765
1.3.1.9,3.20,R01403
1.3.1.9,3.20,R04429
1.3.1.9,3.20,R04724
1.3.1.9,3.20,R04955
1.3.1.9,3.20,R04958
1.3.1.9,3.20,R04961
1.3.1.9,3.20,R04966
1.3.1.9,3.20,R04969
1.3.1.9,3.20,R07765
1.3.1.9,3.30_3.40_6.10_6.20,R01403
1.3.1.9,3.30_3.40_6.10_6.20,R04429
1.3.1.9,3.30_3.40_6.10_6.20,R04724
1.3.1.9,3.30_3.40_6.10_6.20,R04955
1.3.1.9,3.30_3.40_6.10_6.20,R04958
1.3.1.9,3.30_3.40_6.10_6.20,R04961
1.3.1.9,3.30_3.40_6.10_6.20,R04966
1.3.1.9,3.30_3.40_6.10_6.20,R04969
1.3.1.9,3.30_3.40_6.10_6.20,R07765
1.3.1.9,3.40,R01403
1.3.1.9,3.40,R04429
1.3.1.9,3.40,R04724
1.3.1.9,3.40,R04955
1.3.1.9,3.40,R04958
1.3.1.9,3.40,R04961
1.3.1.9,3.40,R04966
1.3.1.9,3.40,R04969
1.3.1.9,3.40,R07765
1.3.1.9,3.40_3.90,R01403
1.3.1.9,3.40_3.90,R04429
1.3.1.9,3.40_3.90,R04724
1.3.1.9,3.40_3.90,R04955
1.3.1.9,3.40_3.90,R04958
1.3.1.9,3.40_3.90,R04961
1.3.1.9,3.40_3.90,R04966
1.3.1.9,3.40_3.90,R04969
1.3.1.9,3.40_3.90,R07765
1.3.1.92,3.20,R10075
1.3.1.93,3.10,R07761
1.3.1.93,3.10,R09449
1.3.1.93,3.10,R10828
1.3.1.98,3.30_3.90,R03191
1.3.1.98,3.30_3.90,R03192
1.3.3.11,1.20,R07353
1.3.3.14,3.30_3.40,R09335
1.3.3.15,1.10_3.50_3.90,R04178
1.3.3.3,3.40,R03220
1.3.3.4,1.10_3.50_3.90,R03222
1.3.3.4,3.50,R03222
1.3.3.5,2.60,R02394
1.3.3.6,1.10_1.20_2.40,R01175
1.3.3.6,1.10_1.20_2.40,R01279
1.3.3.6,1.10_1.20_2.40,R03777
1.3.3.6,1.10_1.20_2.40,R03857
1.3.3.6,1.10_1.20_2.40,R03990
1.3.3.6,1.10_1.20_2.40,R04751
1.3.3.6,1.10_1.20_2.40,R04754
1.3.3.6,1.10_1.20_2.40,R07888
1.3.3.6,1.10_1.20_2.40,R07892
1.3.3.6,1.10_1.20_2.40,R07896
1.3.3.6,1.10_1.20_2.40,R12356
1.3.3.6,1.10_1.20_2.40,R00388
1.3.3.6,1.10_1.20_2.40,R07934
1.3.3.6,1.10_1.20_2.40,R07950
1.3.5.1,1.10_1.20_3.10_3.50_3.90_4.10,R02164
1.3.5.1,1.10_3.10,R02164
1.3.5.2,3.20,R01868
1.3.5.4,1.10_3.50_3.90,R02164
1.3.5.4,1.20_3.10_3.50_3.90,R02164
1.3.5.4,1.20_3.50_3.90_4.10,R02164
1.3.7.12,3.40,R09032
1.3.7.2,3.40,R05818
1.3.7.5,3.40,R05817
1.3.7.6,3.40,R09491
1.3.7.7,1.10,R06282
1.3.7.7,1.10_3.40,R06282
1.3.7.7,1.20_3.40,R06282
1.3.7.7,3.40,R06282
1.3.8.1,1.10_1.20_2.40,R02661
1.3.8.1,1.10_1.20_2.40,R03172
1.3.8.1,1.10_1.20_2.40,R04432
1.3.8.1,1.10_1.20_2.40,R01178
1.3.8.14,1.20_2.40,R06747
1.3.8.4,1.10_1.20_2.40,R04095
1.3.8.4,1.10_1.20_2.40,R04096
1.3.8.5,1.10_1.20_2.40,R03169
1.3.8.6,1.10_1.20_2.40,R02487
1.3.8.6,1.10_1.20_2.40,R02488
1.3.8.6,1.10_1.20_2.40,R10074
1.3.8.6,1.10_1.20_2.40,R03028
1.3.8.7,1.10_1.20_2.40,R00392
1.3.98.1,2.30_3.20,R01867
1.3.98.3,1.10,R06895
1.3.98.5,3.30,R11522
1.3.98.5,3.30,R12454
1.3.98.5,3.30,R12455
1.3.99.17,1.10_3.10_3.30_3.90,R05152
1.3.99.31,3.50,R09716
1.3.99.31,3.50,R09692
1.3.99.31,3.50,R04787
1.3.99.31,3.50,R04798
1.3.99.31,3.50,R04800
1.3.99.32,1.10_1.20_2.40,R05579
1.3.99.33,3.90,R10330
1.3.99.4,3.50_3.90,R03748
1.3.99.4,3.50_3.90,R09884
1.3.99.5,3.50_3.90,R01834
1.3.99.5,3.50_3.90,R02643
1.3.99.5,3.50_3.90,R04827
1.4.1.1,3.30_3.40,R00145
1.4.1.1,3.30_3.40,R00146
1.4.1.1,3.30_3.40,R00365
1.4.1.1,3.30_3.40,R00396
1.4.1.1,3.40,R00145
1.4.1.1,3.40,R00146
1.4.1.1,3.40,R00365
1.4.1.1,3.40,R00396
1.4.1.13,2.160_3.20_3.60,R00114
1.4.1.13,2.160_3.20_3.60,R00256
1.4.1.13,2.160_3.20_3.60,R00248
1.4.1.16,3.30_3.40,R02755
1.4.1.17,1.10_3.30,R01584
1.4.1.18,3.30_3.40,R10054
1.4.1.18,3.30_3.40,R00446
1.4.1.18,3.30_3.40,R02317
1.4.1.19,3.40,R00675
1.4.1.19,3.40,R00676
1.4.1.2,1.10_3.40,R00145
1.4.1.2,1.10_3.40,R00146
1.4.1.2,1.10_3.40,R00243
1.4.1.2,3.40,R00243
1.4.1.20,3.40,R09830
1.4.1.20,3.40,R00688
1.4.1.21,3.30_3.40,R07407
1.4.1.21,3.30_3.40,R07410
1.4.1.21,3.30_3.40,R07164
1.4.1.21,3.30_3.40,R07165
1.4.1.3,1.10_3.40,R00248
1.4.1.3,3.40,R00248
1.4.1.9,3.40,R01434
1.4.1.9,3.40,R02196
1.4.1.9,3.40,R01088
1.4.3.1,3.30_3.40,R06124
1.4.3.1,3.30_3.40,R00359
1.4.3.10,1.10_3.50_3.90,R01151
1.4.3.11,1.10_3.30_6.10,R06124
1.4.3.11,1.10_3.30_6.10,R00250
1.4.3.16,1.20_3.50_3.90,R00357
1.4.3.16,1.20_3.50_3.90,R00481
1.4.3.19,3.30_3.50,R05861
1.4.3.19,3.30_3.50,R05862
1.4.3.19,3.30_3.50,R05863
1.4.3.19,3.30_3.50,R00366
1.4.3.19,3.30_3.50,R07463
1.4.3.19,3.30_3.50,R10245
1.4.3.2,1.10_3.50_3.90,R06124
1.4.3.2,1.10_3.50_3.90,R00357
1.4.3.2,1.10_3.50_3.90,R00648
1.4.3.2,1.10_3.50_3.90,R00677
1.4.3.2,1.10_3.50_3.90,R00689
1.4.3.2,1.10_3.50_3.90,R00729
1.4.3.2,1.10_3.50_3.90,R01259
1.4.3.2,1.10_3.50_3.90,R02197
1.4.3.2,1.20_3.50_3.90,R06124
1.4.3.2,1.20_3.50_3.90,R00648
1.4.3.2,1.20_3.50_3.90,R00677
1.4.3.2,1.20_3.50_3.90,R00689
1.4.3.2,1.20_3.50_3.90,R00729
1.4.3.2,1.20_3.50_3.90,R01259
1.4.3.2,1.20_3.50_3.90,R02197
1.4.3.21,2.70_3.10,R01853
1.4.3.21,2.70_3.10,R02382
1.4.3.21,2.70_3.10,R02529
1.4.3.21,2.70_3.10,R02613
1.4.3.21,2.70_3.10,R03139
1.4.3.21,2.70_3.10,R04027
1.4.3.21,2.70_3.10,R04300
1.4.3.21,2.70_3.10,R05334
1.4.3.21,2.70_3.10,R06154
1.4.3.21,2.70_3.10,R06740
1.4.3.21,2.70_3.10_3.30,R01853
1.4.3.21,2.70_3.10_3.30,R02382
1.4.3.21,2.70_3.10_3.30,R02529
1.4.3.21,2.70_3.10_3.30,R02613
1.4.3.21,2.70_3.10_3.30,R03139
1.4.3.21,2.70_3.10_3.30,R04027
1.4.3.21,2.70_3.10_3.30,R04300
1.4.3.21,2.70_3.10_3.30,R05334
1.4.3.21,2.70_3.10_3.30,R06154
1.4.3.21,2.70_3.10_3.30,R06740
1.4.3.22,2.70_3.10,R01151
1.4.3.22,2.70_3.10,R02173
1.4.3.22,2.70_3.10,R04674
1.4.3.22,2.70_3.10,R02150
1.4.3.3,3.30_3.40,R00366
1.4.3.3,3.30_3.40,R04221
1.4.3.3,3.30_3.40,R01340
1.4.3.3,3.30_3.40,R02457
1.4.3.3,3.30_3.40,R02894
1.4.3.3,3.30_3.40,R02923
1.4.3.3,3.30_3.40,R05861
1.4.3.3,3.30_3.40,R07400
1.4.3.4,1.10_3.50_3.90,R04907
1.4.3.4,1.10_3.50_3.90,R04908
1.4.3.4,1.10_3.50_3.90,R08346
1.4.3.4,1.10_3.50_3.90,R02173
1.4.3.4,1.10_3.50_3.90,R02382
1.4.3.4,1.10_3.50_3.90,R02529
1.4.3.4,1.10_3.50_3.90,R02532
1.4.3.4,1.10_3.50_3.90,R02613
1.4.3.4,1.10_3.50_3.90,R02908
1.4.3.4,1.10_3.50_3.90,R02919
1.4.3.4,1.10_3.50_3.90,R04025
1.4.3.4,1.10_3.50_3.90,R04300
1.4.3.4,1.10_3.50_3.90,R04674
1.4.3.4,1.10_3.50_3.90,R04890
1.4.3.4,1.10_3.50_3.90,R04893
1.4.3.4,1.10_3.50_3.90,R04894
1.4.3.4,1.10_3.50_3.90,R08347
1.4.3.4,1.10_3.50_3.90,R08348
1.4.3.4,1.10_3.50_3.90,R11354
1.4.3.4,1.10_3.50_3.90_6.10,R04907
1.4.3.4,1.10_3.50_3.90_6.10,R04908
1.4.3.4,1.10_3.50_3.90_6.10,R08346
1.4.3.4,1.10_3.50_3.90_6.10,R02173
1.4.3.4,1.10_3.50_3.90_6.10,R02382
1.4.3.4,1.10_3.50_3.90_6.10,R02529
1.4.3.4,1.10_3.50_3.90_6.10,R02532
1.4.3.4,1.10_3.50_3.90_6.10,R02613
1.4.3.4,1.10_3.50_3.90_6.10,R02908
1.4.3.4,1.10_3.50_3.90_6.10,R02919
1.4.3.4,1.10_3.50_3.90_6.10,R04025
1.4.3.4,1.10_3.50_3.90_6.10,R04300
1.4.3.4,1.10_3.50_3.90_6.10,R04674
1.4.3.4,1.10_3.50_3.90_6.10,R04890
1.4.3.4,1.10_3.50_3.90_6.10,R04893
1.4.3.4,1.10_3.50_3.90_6.10,R04894
1.4.3.4,1.10_3.50_3.90_6.10,R08347
1.4.3.4,1.10_3.50_3.90_6.10,R08348
1.4.3.4,1.10_3.50_3.90_6.10,R11354
1.4.3.4,3.10,R04907
1.4.3.4,3.10,R04908
1.4.3.4,3.10,R08346
1.4.3.4,3.10,R02173
1.4.3.4,3.10,R02382
1.4.3.4,3.10,R02529
1.4.3.4,3.10,R02532
1.4.3.4,3.10,R02613
1.4.3.4,3.10,R02908
1.4.3.4,3.10,R02919
1.4.3.4,3.10,R04025
1.4.3.4,3.10,R04300
1.4.3.4,3.10,R04674
1.4.3.4,3.10,R04890
1.4.3.4,3.10,R04893
1.4.3.4,3.10,R04894
1.4.3.4,3.10,R08347
1.4.3.4,3.10,R08348
1.4.3.4,3.10,R11354
1.4.3.4,3.50_3.90,R04907
1.4.3.4,3.50_3.90,R04908
1.4.3.4,3.50_3.90,R08346
1.4.3.4,3.50_3.90,R02173
1.4.3.4,3.50_3.90,R02382
1.4.3.4,3.50_3.90,R02529
1.4.3.4,3.50_3.90,R02532
1.4.3.4,3.50_3.90,R02613
1.4.3.4,3.50_3.90,R02908
1.4.3.4,3.50_3.90,R02919
1.4.3.4,3.50_3.90,R04025
1.4.3.4,3.50_3.90,R04300
1.4.3.4,3.50_3.90,R04674
1.4.3.4,3.50_3.90,R04890
1.4.3.4,3.50_3.90,R04893
1.4.3.4,3.50_3.90,R04894
1.4.3.4,3.50_3.90,R08347
1.4.3.4,3.50_3.90,R08348
1.4.3.4,3.50_3.90,R11354
1.4.3.4,3.50_3.90_6.10,R04907
1.4.3.4,3.50_3.90_6.10,R04908
1.4.3.4,3.50_3.90_6.10,R08346
1.4.3.4,3.50_3.90_6.10,R02173
1.4.3.4,3.50_3.90_6.10,R02382
1.4.3.4,3.50_3.90_6.10,R02529
1.4.3.4,3.50_3.90_6.10,R02532
1.4.3.4,3.50_3.90_6.10,R02613
1.4.3.4,3.50_3.90_6.10,R02908
1.4.3.4,3.50_3.90_6.10,R02919
1.4.3.4,3.50_3.90_6.10,R04025
1.4.3.4,3.50_3.90_6.10,R04300
1.4.3.4,3.50_3.90_6.10,R04674
1.4.3.4,3.50_3.90_6.10,R04890
1.4.3.4,3.50_3.90_6.10,R04893
1.4.3.4,3.50_3.90_6.10,R04894
1.4.3.4,3.50_3.90_6.10,R08347
1.4.3.4,3.50_3.90_6.10,R08348
1.4.3.4,3.50_3.90_6.10,R11354
1.4.3.5,2.30,R01710
1.4.3.5,2.30,R01711
1.4.3.5,2.30,R00277
1.4.3.5,2.30,R00278
1.4.4.2,2.40,R01221
1.4.4.2,2.40,R03425
1.4.4.2,3.40_3.90_6.20,R01221
1.4.4.2,3.40_3.90_6.20,R03425
1.4.7.1,2.160_3.20_3.60,R00021
1.4.7.1,2.160_3.20_3.60,R10086
1.4.9.1,2.130_2.60,R00606
1.4.9.1,2.60,R00606
1.4.9.2,2.130_2.60,R02382
1.4.9.2,2.130_2.60,R02612
1.4.9.2,2.130_2.60,R04300
1.4.99.6,3.30_3.50,R01342
1.4.99.6,3.30_3.50,R07166
1.4.99.6,3.30_3.50,R11018
1.4.99.6,3.30_3.50,R11016
1.4.99.6,3.30_3.50,R11017
1.5.1.10,1.10_3.30_3.40,R02315
1.5.1.11,1.10_3.40,R00562
1.5.1.15,3.40,R01218
1.5.1.2,1.10_3.40,R03291
1.5.1.2,1.10_3.40,R03293
1.5.1.2,1.10_3.40,R01248
1.5.1.2,1.10_3.40,R01251
1.5.1.2,3.40,R03291
1.5.1.2,3.40,R03293
1.5.1.2,3.40,R01248
1.5.1.2,3.40,R01251
1.5.1.20,3.20,R01224
1.5.1.20,3.20,R07168
1.5.1.21,1.10_3.30,R02203
1.5.1.21,1.10_3.30,R01249
1.5.1.21,3.30_3.40,R02203
1.5.1.21,3.30_3.40,R01249
1.5.1.25,3.30_3.40,R04339
1.5.1.25,3.30_3.40,R04340
1.5.1.28,1.10_3.40,R03732
1.5.1.3,1.10_3.40,R00936
1.5.1.3,1.10_3.40,R00937
1.5.1.3,1.10_3.40,R00940
1.5.1.3,1.10_3.40,R02235
1.5.1.3,1.10_3.40,R02236
1.5.1.3,1.10_3.40,R11765
1.5.1.3,1.10_3.40,R00939
1.5.1.3,2.30,R00936
1.5.1.3,2.30,R00937
1.5.1.3,2.30,R00940
1.5.1.3,2.30,R02235
1.5.1.3,2.30,R02236
1.5.1.3,2.30,R11765
1.5.1.3,2.30,R00939
1.5.1.3,3.30_3.40,R00936
1.5.1.3,3.30_3.40,R00937
1.5.1.3,3.30_3.40,R00940
1.5.1.3,3.30_3.40,R02235
1.5.1.3,3.30_3.40,R02236
1.5.1.3,3.30_3.40,R11765
1.5.1.3,3.30_3.40,R00939
1.5.1.3,3.30_3.40_6.10,R00936
1.5.1.3,3.30_3.40_6.10,R00937
1.5.1.3,3.30_3.40_6.10,R00940
1.5.1.3,3.30_3.40_6.10,R02235
1.5.1.3,3.30_3.40_6.10,R02236
1.5.1.3,3.30_3.40_6.10,R11765
1.5.1.3,3.30_3.40_6.10,R00939
1.5.1.3,3.40,R00936
1.5.1.3,3.40,R00937
1.5.1.3,3.40,R00940
1.5.1.3,3.40,R02235
1.5.1.3,3.40,R02236
1.5.1.3,3.40,R11765
1.5.1.3,3.40,R00939
1.5.1.30,3.20,R09520
1.5.1.30,3.20,R05707
1.5.1.30,3.40,R09520
1.5.1.30,3.40,R05707
1.5.1.33,3.40,R12644
1.5.1.33,3.40,R01812
1.5.1.34,3.40,R01793
1.5.1.34,3.40,R01794
1.5.1.34,3.40,R07354
1.5.1.34,3.40,R07355
1.5.1.36,2.30,R05705
1.5.1.36,2.30,R09662
1.5.1.36,2.30,R09748
1.5.1.36,2.30,R09750
1.5.1.38,3.40,R05706
1.5.1.39,3.40,R05705
1.5.1.40,3.40,R09749
1.5.1.41,2.40_3.40,R05705
1.5.1.41,2.40_3.40,R05707
1.5.1.41,2.40_3.40,R09750
1.5.1.48,1.10_3.40,R10730
1.5.1.5,3.40,R01220
1.5.1.6,1.10,R00941
1.5.1.6,3.10_3.40,R00941
1.5.1.6,3.40,R00941
1.5.1.7,3.30_3.40,R00715
1.5.1.7,3.40,R00715
1.5.1.8,3.30_3.40,R00716
1.5.1.9,3.30_3.40,R02313
1.5.3.1,3.30_3.50,R00610
1.5.3.10,2.40_3.30_3.50,R01564
1.5.3.14,3.50_3.90,R01914
1.5.3.15,3.50_3.90,R09075
1.5.3.17,3.50_3.90,R09076
1.5.3.17,3.50_3.90,R09077
1.5.3.17,3.50_3.90,R03899
1.5.3.17,3.50_3.90,R09074
1.5.3.5,3.50,R03202
1.5.3.5,3.50,R11048
1.5.3.5,3.50,R11049
1.5.3.5,3.50_3.90,R03202
1.5.3.5,3.50_3.90,R11048
1.5.3.5,3.50_3.90,R11049
1.5.3.6,3.30_3.40,R07170
1.5.3.6,3.30_3.40,R11050
1.5.3.6,3.30_3.40,R11049
1.5.5.1,3.30_3.50,R04433
1.5.5.2,1.10,R01253
1.5.5.2,1.20_3.20,R01253
1.5.5.2,3.20,R01253
1.5.5.2,3.20_6.10,R01253
1.5.8.2,3.20_3.40_3.50,R02511
1.5.8.4,2.40_3.30_3.50,R01565
1.5.98.1,3.40_6.10,R04456
1.5.98.2,3.20,R04464
1.5.99.12,3.30_3.40,R05708
1.6.1.2,3.40,R00112
1.6.2.2,2.40_3.40,R00100
1.6.2.2,3.10,R00100
1.6.2.4,1.10,R00106
1.6.2.4,1.10,R05102
1.6.2.4,1.10,R08539
1.6.2.4,1.10,R08551
1.6.2.4,1.10_3.40,R00106
1.6.2.4,1.10_3.40,R05102
1.6.2.4,1.10_3.40,R08539
1.6.2.4,1.10_3.40,R08551
1.6.2.4,1.20_2.40_3.40,R00106
1.6.2.4,1.20_2.40_3.40,R05102
1.6.2.4,1.20_2.40_3.40,R08539
1.6.2.4,1.20_2.40_3.40,R08551
1.6.2.4,3.40,R00106
1.6.2.4,3.40,R05102
1.6.2.4,3.40,R08539
1.6.2.4,3.40,R08551
1.6.3.5,3.50_3.90,R10635
1.6.3.5,3.50_3.90,R10636
1.6.3.5,3.50_3.90,R11504
1.6.3.5,3.50_3.90,R11505
1.6.5.10,3.40,R07359
1.6.5.2,3.30_3.50,R02964
1.6.5.2,3.30_3.50,R03643
1.6.5.2,3.30_3.50,R03816
1.6.5.2,3.30_3.50,R07358
1.6.5.2,3.30_3.50,R07359
1.6.5.2,3.40,R02964
1.6.5.2,3.40,R03643
1.6.5.2,3.40,R03816
1.6.5.2,3.40,R07358
1.6.5.2,3.40_3.90,R02964
1.6.5.2,3.40_3.90,R03643
1.6.5.2,3.40_3.90,R03816
1.6.5.2,3.40_3.90,R07358
1.6.5.2,3.40_3.90,R07359
1.6.5.4,3.10,R00095
1.6.5.4,3.30_3.50,R00095
1.6.5.5,3.40_3.90,R02364
1.6.5.6,3.40,R05244
1.6.5.9,3.20,R02163
1.6.5.9,3.20,R07358
1.6.5.9,3.50,R02163
1.6.5.9,3.50,R07358
1.6.99.1,3.20,R00282
1.7.1.1,2.40_3.40,R00794
1.7.1.13,3.30,R07605
1.7.1.14,1.10,R09808
1.7.1.14,1.10,R09809
1.7.1.14,1.10,R02492
1.7.1.14,1.10,R09446
1.7.1.15,2.102,R00787
1.7.1.17,3.40,R12035
1.7.1.3,2.60_3.90,R00796
1.7.1.4,2.102,R00789
1.7.1.7,3.20,R01134
1.7.2.1,1.10,R00081
1.7.2.1,1.10,R00082
1.7.2.1,1.10,R00280
1.7.2.1,1.10,R00785
1.7.2.1,1.10,R00783
1.7.2.1,1.10,R00784
1.7.2.1,1.10_2.140,R00081
1.7.2.1,1.10_2.140,R00082
1.7.2.1,1.10_2.140,R00280
1.7.2.1,1.10_2.140,R00785
1.7.2.1,1.10_2.140,R00783
1.7.2.1,1.10_2.140,R00784
1.7.2.1,1.10_2.60,R00081
1.7.2.1,1.10_2.60,R00082
1.7.2.1,1.10_2.60,R00280
1.7.2.1,1.10_2.60,R00785
1.7.2.1,1.10_2.60,R00783
1.7.2.1,1.10_2.60,R00784
1.7.2.1,2.60,R00081
1.7.2.1,2.60,R00082
1.7.2.1,2.60,R00280
1.7.2.1,2.60,R00785
1.7.2.1,2.60,R00783
1.7.2.1,2.60,R00784
1.7.2.2,1.10,R05712
1.7.2.2,1.10_1.20,R05712
1.7.2.3,2.40_3.40_3.90,R02560
1.7.2.4,2.130_2.60,R02804
1.7.2.5,1.10_1.20,R00294
1.7.2.5,1.20,R00294
1.7.2.6,1.10_1.20,R10164
1.7.2.6,1.10_1.20,R10165
1.7.3.1,1.10_1.20_2.40,R00799
1.7.3.1,1.10_1.20_2.40,R10388
1.7.3.1,1.10_1.20_2.40,R10389
1.7.3.1,3.20,R00799
1.7.3.1,3.20,R10388
1.7.3.1,3.20,R10389
1.7.3.3,3.10,R07981
1.7.3.3,3.10,R02106
1.7.5.1,1.10_1.20_2.20_2.40_3.30_3.40_4.10_6.10,R09497
1.7.5.1,1.10_1.20_2.40_3.30_3.40,R09497
1.7.5.1,1.10_1.20_3.30_3.40_4.10,R09497
1.7.5.1,1.10_2.40_3.30_3.40,R09497
1.7.6.1,2.40,R09751
1.7.7.1,3.30_3.90,R00790
1.7.7.2,3.10,R00791
1.7.99.1,1.10_2.140,R00143
