,rn,rule
320,R05136,2002
321,R05292,2003
322,R09398,7513
323,R09187,331
324,R11365,327_4011_7584
325,R08215,7510
326,R04439,129_2003
327,R11122,7512
328,R05181,1137_7550
329,R09566,150
330,R03243,3016_7577
331,R06788,2012
332,R11662,1031_206_2487
333,R00206,2002_206_2487
334,R11626,2007
335,R09568,7512
336,R05217,304
337,R05217,296_304
338,R09126,7579
339,R10904,7527
340,R07463,2003
341,R01415,187_2002_2003_205
342,R01419,7524
343,R11627,2004
344,R11627,2007
345,R01514,2004
346,R06613,842
347,R09947,7561
348,R02094,2004
349,R09983,7579
350,R02098,2004
351,R09982,301
352,R00014,2003_7574
353,R00014,7522_7574
354,R00014,2003_304_7574
355,R00134,1_1001_187_2003_205_221_5100
356,R00134,1_1001_187_2003_205_221_5100_633
357,R00148,11_3207_603
358,R00148,11_192_3207_603
359,R00209,147_2003_244_323_325_7522_7574
360,R00226,2003_304_7574
361,R00228,2003_298
362,R00228,2007_4002_7524
363,R00228,7524
364,R00230,2493_7510
365,R00230,7510
366,R00230,1
367,R00230,2004_2493_7510
368,R00235,327_4011_7584
369,R00237,2002
370,R00238,7581
371,R00248,2003_2007
372,R00248,187_2002_2003_207_210_304
373,R00262,2002
374,R00271,103_2002
375,R00289,7516
376,R00289,208_7516
377,R00292,7516
378,R00292,7512
379,R00294,107_5038
380,R00294,5039
381,R00294,148_2004
382,R00294,107
383,R00294,2004
384,R00294,5038
385,R00342,2003_279
386,R00344,103_2002_2003_206_325_3794
387,R00344,103_2002_2003_206_325
388,R00351,2002
389,R00351,172
390,R00351,103_2002
391,R00352,172_2003_2007_206
392,R00352,172_2003_2007
393,R00372,3016_7577
394,R00372,7577
395,R00402,1001_187_2003_205_221_278_604
396,R00402,1_1001_187_2003_205_221_278_604
397,R00405,2003_2007_206
398,R00406,7527
399,R00432,2003_2007_206
400,R00473,2002
401,R00475,187_217_304
402,R00475,2002
403,R00497,2003_206
404,R00509,1_2004_2005
405,R00509,1_2004
406,R00509,2004
407,R00509,1_2005
408,R00529,1_2004_2005
409,R00529,1_2004
410,R00529,1_2005
411,R00575,101_2003_2007_206_2487_7543
412,R00575,101_2002_2003_2007_206_2487_7543
413,R00621,323_7522_7574
414,R00621,7522_7574
415,R00709,7510
416,R00727,2003_2007_206
417,R00740,2003_298
418,R00740,2003
419,R00742,2486
