1075_2004_219 3.4.22.-
304_314 6.1.1.20|6.1.1.27
5_7579 3.4.-.-|3.4.14.12|3.4.14.5|3.4.19.1|3.4.21.26|3.4.21.83
7513_PDBChainNotFound 2.7.8.28
10_108_219 3.4.22.52|3.4.22.53
7516 2.4.-.-|2.4.1.-|2.4.1.101|2.4.1.133|2.4.1.135|2.4.1.143|2.4.1.175|2.4.1.186|2.4.1.217|2.4.1.22|2.4.1.222|2.4.1.223|2.4.1.226|2.4.1.266|2.4.1.269|2.4.1.275|2.4.1.37|2.4.1.38|2.4.1.40|2.4.1.44|2.4.1.87|2.4.1.90|2.4.2.39|2.4.2.62|2.7.7.13|2.7.7.23|2.7.7.24|2.7.7.33|2.7.7.38|2.7.7.40|2.7.7.43|2.7.7.60|2.7.7.62|2.7.7.68|2.7.7.74|2.7.7.77|2.7.7.83|2.7.7.9|2.7.7.99|2.7.8.-|2.7.8.34|3.5.1.44
7515 2.7.-.-|2.7.8.-|3.1.-.-|3.1.3.-|3.1.3.1|3.1.3.2|3.1.3.27|3.1.4.-|3.1.6.-|3.1.6.1|3.1.6.12|3.1.6.13|3.1.6.2|3.1.6.4|3.1.6.6|3.1.6.8|3.10.1.1|3.2.1.40
7514 1.-.-.-|1.18.1.2
7513 2.7.8.28
7512 2.-.-.-|2.4.-.-|2.4.1.-|2.4.1.1|2.4.1.11|2.4.1.115|2.4.1.14|2.4.1.141|2.4.1.15|2.4.1.152|2.4.1.17|2.4.1.173|2.4.1.182|2.4.1.21|2.4.1.218|2.4.1.221|2.4.1.227|2.4.1.242|2.4.1.245|2.4.1.250|2.4.1.26|2.4.1.264|2.4.1.27|2.4.1.278|2.4.1.306|2.4.1.310|2.4.1.311|2.4.1.322|2.4.1.342|2.4.1.345|2.4.1.346|2.4.1.347|2.4.1.46|2.4.1.57|2.4.1.91|2.4.99.-|2.4.99.4|2.4.99.6|2.4.99.9|2.5.1.135|2.7.1.60|2.7.8.12|3.2.1.183|3.2.1.184|3.6.1.57|5.1.3.14
2498_304 3.4.24.3
166_2003_298 1.1.1.267
7519 3.6.1.34|3.6.3.14
11_7512 2.4.-.-|2.4.99.1
2007_304_6094 1.1.1.100|1.3.1.39|2.3.1.-|2.3.1.38|2.3.1.39|2.3.1.41|2.3.1.85|3.1.2.14|4.2.1.59
2002_325_375 2.4.2.12|6.3.4.21
4168_605 2.7.13.3
101_102_1029_11_2_2004_4156_592 3.6.4.13
109_3315_7512 2.4.1.255
298 3.6.3.14|4.3.1.17
299 4.2.-.-
2003_278_604 1.3.-.-|1.3.5.1|1.3.5.4|1.4.3.16|1.8.99.2
294 2.4.1.129|2.7.11.1
292 2.7.11.1|2.7.11.21|3.2.2.22
1_11_5090_6074 3.4.21.90
290 2.3.2.12|3.4.22.-|3.4.22.51|3.4.22.70|3.4.22.71
206_650 2.7.11.11
3054_862 2.7.7.-
2498_3338 3.4.24.74
3774 2.7.10.1
3232_3521_3916 2.7.7.48
129_2003_2486 1.1.1.211|1.1.1.35|4.2.1.17|5.1.2.3|5.3.3.8
4160_7590 3.4.11.-
2003_375_3955 2.3.1.286
270 3.2.2.21
271 2.7.7.48|2.7.7.7|3.4.22.28|3.4.22.29|3.6.1.15
102_304_316 2.7.7.19|2.7.7.52|2.7.7.72
