,atlas_rn,rn
1059,AR1060,R10851
1067,AR1068,R01543
1069,AR1070,R00625
1070,AR1071,R02260
1071,AR1072,R02856
1072,AR1073,R00746
1073,AR1074,R08379
1076,AR1077,R02413
1078,AR1079,R08573
1081,AR1082,R02472
1082,AR1083,R02477
1083,AR1084,R01838
1085,AR1086,R01488
1087,AR1088,R02259
1089,AR1090,R02593
1090,AR1091,R02639
1093,AR1094,R02581
1094,AR1095,R02684
1096,AR1097,R10826
1098,AR1099,R03234
1100,AR1101,R02756
1103,AR1104,R02793
1104,AR1105,R02800
1105,AR1106,R02832
1106,AR1107,R02836
1109,AR1110,R02978
1113,AR1114,R03044
1114,AR1115,R03155
1115,AR1116,R09289
1116,AR1117,R03292
1119,AR1120,R03183
1120,AR1121,R08879
1121,AR1122,R01525
1125,AR1126,R03227
1129,AR1130,R03264
1130,AR1131,R01976
1137,AR1138,R02767
1140,AR1141,R04099
1143,AR1144,R03918
1145,AR1146,R09985
1148,AR1149,R00871
1149,AR1150,R03581
1150,AR1151,R03592
1153,AR1154,R03557
1156,AR1157,R03054
1161,AR1162,R10528
1163,AR1164,R01550
1165,AR1166,R03572
1167,AR1168,R03848
1169,AR1170,R03864
1170,AR1171,R03879
1172,AR1173,R03827
1175,AR1176,R07437
1183,AR1184,R03716
1185,AR1186,R10423
1186,AR1187,R02975
1187,AR1188,R03753
1192,AR1193,R04344
1199,AR1200,R02776
1206,AR1207,R05823
1208,AR1209,R04136
1209,AR1210,R03498
1214,AR1215,R11341
1219,AR1220,R03123
1222,AR1223,R03338
1224,AR1225,R04186
1229,AR1230,R04105
1232,AR1233,R04360
1233,AR1234,R11145
1234,AR1235,R03357
1235,AR1236,R04440
1236,AR1237,R02209
1237,AR1238,R05068
1239,AR1240,R04285
1241,AR1242,R03407
1248,AR1249,R03325
1249,AR1250,R04370
1251,AR1252,R04387
1252,AR1253,R04533
1254,AR1255,R04536
1255,AR1256,R04543
1257,AR1258,R04566
1258,AR1259,R04552
1259,AR1260,R04518
1262,AR1263,R04623
1264,AR1265,R07495
1265,AR1266,R05691
1266,AR1267,R02600
1267,AR1268,R10421
1268,AR1269,R04682
1270,AR1271,R04697
1271,AR1272,R02528
1278,AR1279,R04758
1287,AR1288,R04279
1293,AR1294,R04819
1294,AR1295,R04825
1295,AR1296,R04830
1298,AR1299,R04833
1299,AR1300,R04836
1301,AR1302,R04838
1302,AR1303,R04840
1303,AR1304,R04843
1304,AR1305,R04846
1309,AR1310,R08959
1310,AR1311,R08960
1314,AR1315,R01371
1316,AR1317,R04919
1317,AR1318,R04953
1318,AR1319,R04964
1321,AR1322,R03636
1322,AR1323,R04901
1323,AR1324,R05038
1335,AR1336,R05231
1336,AR1337,R03545
1338,AR1339,R05124
1341,AR1342,R08861
1346,AR1347,R08562
1347,AR1348,R08492
1350,AR1351,R05526
1351,AR1352,R05471
1353,AR1354,R05350
1366,AR1367,R05682
1367,AR1368,R05686
1411,AR1412,R10848
1412,AR1413,R05604
1413,AR1414,R00868
1414,AR1415,R00758
1423,AR1424,R07143
1424,AR1425,R00870
1434,AR1435,R08721
1435,AR1436,R08723
1440,AR1441,R08728
1442,AR1443,R01837
1443,AR1444,R02216
1444,AR1445,R09920
1446,AR1447,R04263
1448,AR1449,R02499
1449,AR1450,R03327
1450,AR1451,R04678
1451,AR1452,R04163
1452,AR1453,R04849
1453,AR1454,R02840
1454,AR1455,R08724
1476,AR1477,R04264
1491,AR1492,R10565
1492,AR1493,R09477
1493,AR1494,R01093
1494,AR1495,R02928
1495,AR1496,R02246
1509,AR1510,R07676
1510,AR1511,R01431
1511,AR1512,R01787
1512,AR1513,R07346
1513,AR1514,R02247
1515,AR1516,R01817
1527,AR1528,R08214
1528,AR1529,R08215
1530,AR1531,R08621
1531,AR1532,R08625
1532,AR1533,R08629
1533,AR1534,R08636
1534,AR1535,R08642
1535,AR1536,R08646
1537,AR1538,R10502
1539,AR1540,R07658
1543,AR1544,R00214
1544,AR1545,R00709
1545,AR1546,R10221
1549,AR1550,R01211
1556,AR1557,R11726
1558,AR1559,R10052
1559,AR1560,R04483
1560,AR1561,R01934
1561,AR1562,R00994
1562,AR1563,R05837
1569,AR1570,R07494
1584,AR1585,R00216
1586,AR1587,R10852
1588,AR1589,R00267
1589,AR1590,R01528
1602,AR1603,R07149
1608,AR1609,R05069
1609,AR1610,R03052
1610,AR1611,R00217
1611,AR1612,R00233
1612,AR1613,R01366
1613,AR1614,R06973
1615,AR1616,R09483
1617,AR1618,R00923
1619,AR1620,R02948
1621,AR1622,R09482
1629,AR1630,R03747
1632,AR1633,R03758
1637,AR1638,R01652
1638,AR1639,R00268
1640,AR1641,R01936
1641,AR1642,R00995
1643,AR1644,R05173
1646,AR1647,R07406
1647,AR1648,R06830
1651,AR1652,R09958
1653,AR1654,R10884
1655,AR1656,R03051
1661,AR1662,R08307
1666,AR1667,R09783
1668,AR1669,R11677
1670,AR1671,R01446
1674,AR1675,R10860
1675,AR1676,R01130
1677,AR1678,R01825
1679,AR1680,R03869
1680,AR1681,R02103
1681,AR1682,R01337
1682,AR1683,R00203
1683,AR1684,R01752
1685,AR1686,R03506
1691,AR1692,R01163
1699,AR1700,R06408
1700,AR1701,R04418
1702,AR1703,R04506
1703,AR1704,R04882
1704,AR1705,R04891
1705,AR1706,R05051
1708,AR1709,R05353
1719,AR1720,R09547
1724,AR1725,R11678
1730,AR1731,R01058
1740,AR1741,R01338
1741,AR1742,R00205
1742,AR1743,R10615
1756,AR1757,R04419
1759,AR1760,R04883
1760,AR1761,R04892
1773,AR1774,R00286
1775,AR1776,R00421
1777,AR1778,R00880
1785,AR1786,R03826
1793,AR1794,R04888
1794,AR1795,R02655
1796,AR1797,R07441
1797,AR1798,R04903
1798,AR1799,R04916
1799,AR1800,R00904
1800,AR1801,R04996
1802,AR1803,R05049
1803,AR1804,R05050
1804,AR1805,R02940
1806,AR1807,R04524
1810,AR1811,R05119
1811,AR1812,R02941
1812,AR1813,R05235
1816,AR1817,R05272
1818,AR1819,R05286
1824,AR1825,R08282
1826,AR1827,R08087
1831,AR1832,R05649
1853,AR1854,R06914
1854,AR1855,R06918
1856,AR1857,R06928
1857,AR1858,R06935
1863,AR1864,R07156
1864,AR1865,R07417
1894,AR1895,R00538
1895,AR1896,R00713
1896,AR1897,R11768
1897,AR1898,R02536
1898,AR1899,R02039
1900,AR1901,R08086
1901,AR1902,R00710
1902,AR1903,R01604
1903,AR1904,R03283
1905,AR1906,R05699
1907,AR1908,R01704
1908,AR1909,R01333
1909,AR1910,R00604
1910,AR1911,R02123
1911,AR1912,R01486
1912,AR1913,R03198
1914,AR1915,R02762
1917,AR1918,R09805
1919,AR1920,R00245
1920,AR1921,R02549
1921,AR1922,R06980
1923,AR1924,R01293
1924,AR1925,R02678
1933,AR1934,R06366
1934,AR1935,R03177
1935,AR1936,R05700
1936,AR1937,R05643
1937,AR1938,R07667
1940,AR1941,R02401
1942,AR1943,R08146
1944,AR1945,R02695
1945,AR1946,R03889
1946,AR1947,R03300
1947,AR1948,R03102
1949,AR1950,R04065
1951,AR1952,R05664
1952,AR1953,R05663
1955,AR1956,R08283
1995,AR1996,R07418
2012,AR2013,R10105
2016,AR2017,R09554
2019,AR2020,R09820
2026,AR2027,R01420
2032,AR2033,R00264
2033,AR2034,R01294
2041,AR2042,R02537
2043,AR2044,R00634
2044,AR2045,R00711
2045,AR2046,R00714
