rn,cid,s
AR1,C00002,-1
AR1,C00003,-1
AR1,C00004,1
AR1,C00080,1
AR1,C07024,1
AR2,C00003,-1
AR2,C12462,-1
AR2,C00004,1
AR2,C00080,1
AR2,C12463,1
AR3,C00003,-1
AR3,C12481,-1
AR3,C00004,1
AR3,C00080,1
AR3,C11460,1
AR4,C00003,-1
AR4,C12357,-1
AR4,C00004,1
AR4,C00080,1
AR4,C12348,1
AR5,C00003,-1
AR5,C12358,-1
AR5,C00004,1
AR5,C00080,1
AR5,C12349,1
AR6,C00003,-1
AR6,C12359,-1
AR6,C00004,1
AR6,C00080,1
AR6,C12350,1
AR7,C00003,-1
AR7,C12360,-1
AR7,C00004,1
AR7,C00080,1
AR7,C12351,1
AR8,C00003,-1
AR8,C12361,-1
AR8,C00004,1
AR8,C00080,1
AR8,C12352,1
AR9,C00003,-1
AR9,C12362,-1
AR9,C00004,1
AR9,C00080,1
AR9,C12353,1
AR10,C00003,-1
AR10,C12363,-1
AR10,C00004,1
AR10,C00080,1
AR10,C12354,1
AR11,C00003,-1
AR11,C12418,-1
AR11,C00004,1
AR11,C00080,1
AR11,C12415,1
AR12,C00003,-1
AR12,C12419,-1
AR12,C00004,1
AR12,C00080,1
AR12,C12417,1
AR13,C00003,-1
AR13,C12424,-1
AR13,C00004,1
AR13,C00080,1
AR13,C12423,1
AR14,C00003,-1
AR14,C12447,-1
AR14,C00004,1
AR14,C00080,1
AR14,C18032,1
AR15,C00003,-1
AR15,C12448,-1
AR15,C00004,1
AR15,C00080,1
AR15,C20371,1
AR16,C00003,-1
AR16,C12365,-1
AR16,C00004,1
AR16,C00080,1
AR16,C12356,1
AR17,C00003,-1
AR17,C12430,-1
AR17,C00004,1
AR17,C00080,1
AR17,C01907,1
AR18,C00003,-1
AR18,C12431,-1
AR18,C00004,1
AR18,C00080,1
AR18,C12432,1
AR19,C00003,-1
AR19,C12442,-1
AR19,C00004,1
AR19,C00080,1
AR19,C12441,1
AR20,C00003,-1
AR20,C12443,-1
AR20,C00004,1
AR20,C00080,1
AR20,C12318,1
AR21,C00003,-1
AR21,C12978,-1
AR21,C00004,1
AR21,C00080,1
AR21,C03091,1
AR22,C00003,-1
AR22,C13500,-1
AR22,C00004,1
AR22,C00080,1
AR22,C03459,1
AR22,C14064,1
AR23,C00257,-2
AR23,C00004,-1
AR23,C00080,-1
AR23,C13085,-1
AR23,C00003,1
AR23,C13511,1
AR24,C00257,-2
AR24,C00004,-1
AR24,C00080,-1
AR24,C01062,-1
AR24,C00003,1
AR24,C13511,1
AR25,C00257,-2
AR25,C00004,-1
AR25,C00080,-1
AR25,C00618,-1
AR25,C00003,1
AR25,C13511,1
AR26,C00257,-2
AR26,C00004,-1
AR26,C00080,-1
AR26,C03342,-1
AR26,C00003,1
AR26,C13511,1
AR27,C00003,-1
AR27,C14089,-1
AR27,C00004,1
AR27,C00080,1
AR27,C14090,1
AR28,C00003,-1
AR28,C13542,-1
AR28,C00004,1
AR28,C00080,1
AR28,C19633,1
AR29,C00003,-1
AR29,C13542,-1
AR29,C00004,1
AR29,C00080,1
AR29,C19636,1
AR30,C00003,-1
AR30,C13638,-1
AR30,C00004,1
AR30,C00080,1
AR30,C10700,1
AR31,C00003,-1
AR31,C14590,-1
AR31,C00004,1
AR31,C00080,1
AR31,C14650,1
AR32,C00003,-1
AR32,C14600,-1
AR32,C00004,1
AR32,C00080,1
AR32,C05140,1
AR33,C00003,-1
AR33,C14593,-1
AR33,C00004,1
AR33,C00080,1
AR33,C15295,1
AR34,C00003,-1
AR34,C14631,-1
AR34,C00004,1
AR34,C00080,1
AR34,C15335,1
AR35,C00003,-1
AR35,C13713,-1
AR35,C00004,1
AR35,C00080,1
AR35,C18040,1
AR36,C00003,-1
AR36,C13898,-1
AR36,C00004,1
AR36,C00080,1
AR36,C13900,1
AR37,C00003,-1
AR37,C13901,-1
AR37,C00004,1
AR37,C00080,1
AR37,C13902,1
AR38,C00003,-1
AR38,C14180,-1
AR38,C00004,1
AR38,C00080,1
AR38,C01031,1
AR39,C00003,-1
AR39,C14256,-1
AR39,C00004,1
AR39,C00080,1
AR39,C05285,1
AR40,C00003,-1
AR40,C14109,-1
AR40,C00004,1
AR40,C00080,1
AR40,C14100,1
AR41,C00003,-1
AR41,C14110,-1
AR41,C00004,1
AR41,C00080,1
AR41,C16700,1
AR42,C00003,-1
AR42,C14118,-1
AR42,C00004,1
AR42,C00080,1
AR42,C14119,1
AR43,C00003,-1
AR43,C14239,-1
AR43,C00004,1
AR43,C00080,1
AR43,C14972,1
AR44,C00003,-1
AR44,C14485,-1
AR44,C00004,1
AR44,C00080,1
AR44,C14392,1
AR45,C00003,-1
AR45,C14552,-1
AR45,C00004,1
AR45,C00080,1
AR45,C14269,1
AR46,C00003,-1
AR46,C14553,-1
AR46,C00004,1
AR46,C00080,1
AR46,C14552,1
AR47,C00003,-1
AR47,C14555,-1
AR47,C00004,1
AR47,C00080,1
AR47,C14615,1
AR48,C00003,-1
AR48,C14605,-1
AR48,C00004,1
AR48,C00080,1
AR48,C15036,1
AR49,C00003,-1
AR49,C14383,-1
AR49,C00004,1
AR49,C00080,1
AR49,C14441,1
AR50,C00003,-1
AR50,C16015,-1
AR50,C00004,1
AR50,C00080,1
AR50,C01408,1
AR51,C00003,-1
AR51,C14498,-1
AR51,C00004,1
AR51,C00080,1
AR51,C14303,1
AR52,C00003,-1
AR52,C14502,-1
AR52,C00004,1
AR52,C00080,1
AR52,C20144,1
AR53,C00003,-1
AR53,C14722,-1
AR53,C00004,1
AR53,C00080,1
AR53,C14723,1
AR54,C00003,-1
AR54,C14616,-1
AR54,C00004,1
AR54,C00080,1
AR54,C15338,1
AR55,C00003,-1
AR55,C16493,-1
AR55,C00004,1
AR55,C00080,1
AR55,C16509,1
AR56,C00003,-1
AR56,C16494,-1
AR56,C00004,1
AR56,C00080,1
AR56,C16498,1
AR57,C00003,-1
AR57,C16495,-1
AR57,C00004,1
AR57,C00080,1
AR57,C16497,1
AR58,C00003,-1
AR58,C16873,-1
AR58,C00004,1
AR58,C00080,1
AR58,C20128,1
AR59,C00003,-1
AR59,C15004,-1
AR59,C00004,1
AR59,C00080,1
AR59,C15010,1
AR60,C00003,-1
AR60,C15007,-1
AR60,C00004,1
AR60,C00080,1
AR60,C15018,1
AR61,C00003,-1
AR61,C15349,-1
AR61,C00004,1
AR61,C00080,1
AR61,C15354,1
AR62,C00003,-1
AR62,C14750,-1
AR62,C00004,1
AR62,C00080,1
AR62,C09981,1
AR63,C00003,-1
AR63,C14752,-1
AR63,C00004,1
AR63,C00080,1
AR63,C14754,1
AR64,C00003,-1
AR64,C14762,-1
AR64,C00004,1
AR64,C00080,1
AR64,C14765,1
AR65,C00003,-1
AR65,C14767,-1
AR65,C00004,1
AR65,C00080,1
AR65,C14766,1
AR66,C00003,-1
AR66,C14777,-1
AR66,C00004,1
AR66,C00080,1
AR66,C14807,1
AR67,C00003,-1
AR67,C14860,-1
AR67,C00004,1
AR67,C00080,1
AR67,C11149,1
AR68,C00003,-1
AR68,C14956,-1
AR68,C00004,1
AR68,C00080,1
AR68,C15036,1
AR69,C00003,-1
AR69,C14977,-1
AR69,C00004,1
AR69,C00080,1
AR69,C15137,1
AR70,C00003,-1
AR70,C15155,-1
AR70,C00004,1
AR70,C00080,1
AR70,C14918,1
AR71,C00003,-1
AR71,C14970,-1
AR71,C00004,1
AR71,C00080,1
AR71,C15035,1
AR72,C00003,-1
AR72,C14988,-1
AR72,C00004,1
AR72,C00080,1
AR72,C15362,1
AR73,C00003,-1
AR73,C15074,-1
AR73,C00004,1
AR73,C00080,1
AR73,C14886,1
AR74,C00003,-1
AR74,C15092,-1
AR74,C00004,1
AR74,C00080,1
AR74,C14885,1
AR75,C00003,-1
AR75,C15103,-1
AR75,C00004,1
AR75,C00080,1
AR75,C14587,1
AR76,C00003,-1
AR76,C15136,-1
AR76,C00004,1
AR76,C00080,1
AR76,C14912,1
AR77,C00003,-1
AR77,C15142,-1
AR77,C00004,1
AR77,C00080,1
AR77,C15124,1
AR78,C00003,-1
AR78,C15199,-1
AR78,C00004,1
AR78,C00080,1
AR78,C15158,1
AR79,C00003,-1
AR79,C15255,-1
AR79,C00004,1
AR79,C00080,1
AR79,C15308,1
AR80,C00003,-1
AR80,C15261,-1
AR80,C00004,1
AR80,C00080,1
AR80,C15215,1
AR81,C00003,-1
AR81,C15285,-1
AR81,C00004,1
AR81,C00080,1
AR81,C15349,1
AR82,C00003,-1
AR82,C15288,-1
AR82,C00004,1
AR82,C00080,1
AR82,C14932,1
AR83,C00003,-1
AR83,C15293,-1
AR83,C00004,1
AR83,C00080,1
AR83,C15194,1
AR84,C00003,-1
AR84,C15304,-1
AR84,C00004,1
AR84,C00080,1
AR84,C15135,1
AR85,C00003,-1
AR85,C15306,-1
AR85,C00004,1
AR85,C00080,1
AR85,C14256,1
AR86,C00003,-1
AR86,C15306,-1
AR86,C00004,1
AR86,C00080,1
AR86,C05284,1
AR87,C00003,-1
AR87,C15314,-1
AR87,C00004,1
AR87,C00080,1
AR87,C15009,1
AR88,C00003,-1
AR88,C15315,-1
AR88,C00004,1
AR88,C00080,1
AR88,C15323,1
AR89,C00003,-1
AR89,C15317,-1
AR89,C00004,1
AR89,C00080,1
AR89,C15148,1
AR90,C00003,-1
AR90,C15368,-1
AR90,C00004,1
AR90,C00080,1
AR90,C14598,1
AR91,C00003,-1
AR91,C15485,-1
AR91,C00004,1
AR91,C00080,1
AR91,C15486,1
AR92,C00003,-1
AR92,C15337,-1
AR92,C00004,1
AR92,C00080,1
AR92,C00599,1
AR93,C00003,-1
AR93,C15369,-1
AR93,C00004,1
AR93,C00080,1
AR93,C15271,1
AR94,C00003,-1
AR94,C15391,-1
AR94,C00004,1
AR94,C00080,1
AR94,C15384,1
AR95,C00003,-1
AR95,C15400,-1
AR95,C00004,1
AR95,C00080,1
AR95,C15407,1
AR96,C00003,-1
AR96,C15403,-1
AR96,C00004,1
AR96,C00080,1
AR96,C14598,1
AR97,C00003,-1
AR97,C15784,-1
AR97,C00004,1
AR97,C00080,1
AR97,C15785,1
AR98,C00003,-1
AR98,C15787,-1
AR98,C00004,1
AR98,C00080,1
AR98,C15786,1
AR99,C00003,-1
AR99,C15788,-1
AR99,C00004,1
AR99,C00080,1
AR99,C15789,1
AR100,C00003,-1
AR100,C15791,-1
AR100,C00004,1
AR100,C00080,1
AR100,C15792,1
AR101,C00003,-1
AR101,C15798,-1
AR101,C00004,1
AR101,C00080,1
AR101,C15797,1
AR102,C00003,-1
AR102,C15799,-1
AR102,C00004,1
AR102,C00080,1
AR102,C15800,1
AR103,C00003,-1
AR103,C15803,-1
AR103,C00004,1
AR103,C00080,1
AR103,C15794,1
AR104,C00003,-1
AR104,C15932,-1
AR104,C00004,1
AR104,C00080,1
AR104,C15928,1
AR105,C00003,-1
AR105,C15971,-1
AR105,C00004,1
AR105,C00080,1
AR105,C09707,1
AR106,C00003,-1
AR106,C16558,-1
AR106,C00004,1
AR106,C00080,1
AR106,C16556,1
AR107,C00003,-1
AR107,C16187,-1
AR107,C00004,1
AR107,C00080,1
AR107,C00786,1
AR108,C00003,-1
AR108,C16217,-1
AR108,C00004,1
AR108,C00080,1
AR108,C16216,1
AR109,C00003,-1
AR109,C16272,-1
AR109,C00004,1
AR109,C00080,1
AR109,C01757,1
AR110,C00003,-1
AR110,C16220,-1
AR110,C00004,1
AR110,C00080,1
AR110,C16219,1
AR111,C00003,-1
AR111,C16337,-1
AR111,C00004,1
AR111,C00080,1
AR111,C16338,1
AR112,C00003,-1
AR112,C16390,-1
AR112,C00004,1
AR112,C00080,1
AR112,C16159,1
AR113,C00003,-1
AR113,C16329,-1
AR113,C00004,1
AR113,C00080,1
AR113,C16330,1
AR114,C00003,-1
AR114,C16333,-1
AR114,C00004,1
AR114,C00080,1
AR114,C16334,1
AR115,C00003,-1
AR115,C16375,-1
AR115,C00004,1
AR115,C00080,1
AR115,C16376,1
AR116,C00003,-1
AR116,C16388,-1
AR116,C00004,1
AR116,C00080,1
AR116,C16389,1
AR117,C00003,-1
AR117,C16415,-1
AR117,C00004,1
AR117,C00080,1
AR117,C09751,1
AR118,C00003,-1
AR118,C16469,-1
AR118,C00004,1
AR118,C00080,1
AR118,C16471,1
AR119,C00003,-1
AR119,C16551,-1
AR119,C00004,1
AR119,C00080,1
AR119,C07645,1
AR120,C00003,-1
AR120,C16540,-1
AR120,C00004,1
AR120,C00080,1
AR120,C16541,1
AR121,C00003,-1
AR121,C16586,-1
AR121,C00004,1
AR121,C00080,1
AR121,C16587,1
AR122,C00003,-1
AR122,C16677,-1
AR122,C00004,1
AR122,C00080,1
AR122,C16678,1
AR123,C00003,-1
AR123,C16649,-1
AR123,C00004,1
AR123,C00080,1
AR123,C16655,1
AR124,C00003,-1
AR124,C16651,-1
AR124,C00004,1
AR124,C00080,1
AR124,C16652,1
AR125,C00003,-1
AR125,C16785,-1
AR125,C00004,1
AR125,C00080,1
AR125,C08553,1
AR126,C00003,-1
AR126,C16847,-1
AR126,C00004,1
AR126,C00080,1
AR126,C16862,1
AR127,C00003,-1
AR127,C17209,-1
AR127,C00004,1
AR127,C00080,1
AR127,C04287,1
AR128,C00003,-1
AR128,C17621,-1
AR128,C00004,1
AR128,C00080,1
AR128,C20223,1
AR129,C00003,-1
AR129,C17621,-1
AR129,C00004,1
AR129,C00080,1
AR129,C20222,1
AR130,C00003,-1
AR130,C17467,-1
AR130,C00004,1
AR130,C00080,1
AR130,C00633,1
AR131,C00003,-1
AR131,C17123,-1
AR131,C00004,1
AR131,C00080,1
AR131,C08626,1
AR132,C00003,-1
AR132,C17144,-1
AR132,C00004,1
AR132,C00080,1
AR132,C17145,1
AR133,C00003,-1
AR133,C17146,-1
AR133,C00004,1
AR133,C00080,1
AR133,C02647,1
AR134,C00003,-1
AR134,C17450,-1
AR134,C00004,1
AR134,C00080,1
AR134,C17452,1
AR135,C00003,-1
AR135,C17524,-1
AR135,C00004,1
AR135,C00080,1
AR135,C17525,1
AR136,C00003,-1
AR136,C17588,-1
AR136,C00004,1
AR136,C00080,1
AR136,C17589,1
AR137,C00003,-1
AR137,C17606,-1
AR137,C00004,1
AR137,C00080,1
AR137,C17607,1
AR138,C00003,-1
AR138,C17859,-1
AR138,C00004,1
AR138,C00080,1
AR138,C17858,1
AR139,C00003,-1
AR139,C17580,-1
AR139,C00004,1
AR139,C00080,1
AR139,C17581,1
AR140,C00003,-1
AR140,C17766,-1
AR140,C00004,1
AR140,C00080,1
AR140,C17767,1
AR141,C00003,-1
AR141,C17716,-1
AR141,C00004,1
AR141,C00080,1
AR141,C08445,1
AR142,C00003,-1
AR142,C18016,-1
AR142,C00004,1
AR142,C00080,1
AR142,C18015,1
AR143,C00003,-1
AR143,C17769,-1
AR143,C00004,1
AR143,C00080,1
AR143,C17553,1
AR144,C00003,-1
AR144,C18637,-1
AR144,C00004,1
AR144,C00080,1
AR144,C18638,1
AR145,C00003,-1
AR145,C20943,-1
AR145,C00004,1
AR145,C00080,1
AR145,C20944,1
AR146,C00003,-1
AR146,C20945,-1
AR146,C00004,1
AR146,C00080,1
AR146,C20946,1
AR147,C00003,-1
AR147,C18328,-1
AR147,C00004,1
AR147,C00080,1
AR147,C18327,1
AR148,C00003,-1
AR148,C18331,-1
AR148,C00004,1
AR148,C00080,1
AR148,C18330,1
AR149,C00003,-1
AR149,C18041,-1
AR149,C00004,1
AR149,C00080,1
AR149,C03681,1
AR150,C00003,-1
AR150,C18235,-1
AR150,C00004,1
AR150,C00080,1
AR150,C06718,1
AR151,C00003,-1
AR151,C17915,-1
AR151,C00004,1
AR151,C00080,1
AR151,C17914,1
AR152,C00003,-1
AR152,C17953,-1
AR152,C00004,1
AR152,C00080,1
AR152,C17954,1
AR153,C00003,-1
AR153,C19584,-1
AR153,C00004,1
AR153,C00080,1
AR153,C06800,1
AR154,C00003,-1
AR154,C19590,-1
AR154,C00004,1
AR154,C00080,1
AR154,C19591,1
AR155,C00003,-1
AR155,C19590,-1
AR155,C00004,1
AR155,C00080,1
AR155,C19592,1
AR156,C00003,-1
AR156,C19592,-1
AR156,C00004,1
AR156,C00080,1
AR156,C19589,1
AR157,C00003,-1
AR157,C19603,-1
AR157,C00004,1
AR157,C00080,1
AR157,C19602,1
AR158,C00003,-1
AR158,C18151,-1
AR158,C00004,1
AR158,C00080,1
AR158,C05307,1
AR159,C00003,-1
AR159,C18153,-1
AR159,C00004,1
AR159,C00080,1
AR159,C18155,1
AR160,C00003,-1
AR160,C18215,-1
AR160,C00004,1
AR160,C00080,1
AR160,C14220,1
AR161,C00003,-1
AR161,C18218,-1
AR161,C00004,1
AR161,C00080,1
AR161,C19614,1
AR162,C00003,-1
AR162,C18219,-1
AR162,C00004,1
AR162,C00080,1
AR162,C18220,1
AR163,C00003,-1
AR163,C18221,-1
AR163,C00004,1
AR163,C00080,1
AR163,C18222,1
AR164,C00003,-1
AR164,C18334,-1
AR164,C00004,1
AR164,C00080,1
AR164,C18333,1
AR165,C00003,-1
AR165,C19591,-1
AR165,C00004,1
AR165,C00080,1
AR165,C19589,1
AR166,C00003,-1
AR166,C19616,-1
AR166,C00004,1
AR166,C00080,1
AR166,C19617,1
AR167,C00003,-1
AR167,C19623,-1
AR167,C00004,1
AR167,C00080,1
AR167,C19624,1
AR168,C00003,-1
AR168,C19565,-1
AR168,C00004,1
AR168,C00080,1
AR168,C19567,1
AR169,C00003,-1
AR169,C19574,-1
AR169,C00004,1
AR169,C00080,1
AR169,C16453,1
AR170,C00003,-1
AR170,C19577,-1
AR170,C00004,1
AR170,C00080,1
AR170,C19566,1
AR171,C00003,-1
AR171,C19579,-1
AR171,C00004,1
AR171,C00080,1
AR171,C19569,1
AR172,C00003,-1
AR172,C19580,-1
AR172,C00004,1
AR172,C00080,1
AR172,C19563,1
AR173,C00003,-1
AR173,C19581,-1
AR173,C00004,1
AR173,C00080,1
AR173,C19564,1
AR174,C00003,-1
AR174,C19582,-1
AR174,C00004,1
AR174,C00080,1
AR174,C19565,1
AR175,C00003,-1
AR175,C19675,-1
AR175,C00004,1
AR175,C00080,1
AR175,C20798,1
AR176,C00003,-1
AR176,C19676,-1
AR176,C00004,1
AR176,C00080,1
AR176,C19677,1
AR177,C00003,-1
AR177,C19950,-1
AR177,C00004,1
AR177,C00080,1
AR177,C19951,1
AR178,C00003,-1
AR178,C19954,-1
AR178,C00004,1
AR178,C00080,1
AR178,C19953,1
AR179,C00003,-1
AR179,C19711,-1
AR179,C00004,1
AR179,C00080,1
AR179,C09737,1
AR180,C00003,-1
AR180,C20188,-1
AR180,C00004,1
AR180,C00080,1
AR180,C16967,1
AR181,C00003,-1
AR181,C19931,-1
AR181,C00004,1
AR181,C00080,1
AR181,C19932,1
AR182,C00003,-1
AR182,C19933,-1
AR182,C00004,1
AR182,C00080,1
AR182,C19934,1
AR183,C00003,-1
AR183,C19938,-1
AR183,C00004,1
AR183,C00080,1
AR183,C19939,1
AR184,C00003,-1
AR184,C19942,-1
AR184,C00004,1
AR184,C00080,1
AR184,C19943,1
AR185,C00003,-1
AR185,C20329,-1
AR185,C00004,1
AR185,C00080,1
AR185,C06087,1
AR186,C00003,-1
AR186,C20499,-1
AR186,C00004,1
AR186,C00080,1
AR186,C20452,1
AR187,C00003,-1
AR187,C20500,-1
AR187,C00004,1
AR187,C00080,1
AR187,C20502,1
AR188,C00003,-1
AR188,C20307,-1
AR188,C00004,1
AR188,C00080,1
AR188,C20308,1
AR189,C00003,-1
AR189,C20322,-1
AR189,C00004,1
AR189,C00080,1
AR189,C20320,1
AR190,C00003,-1
AR190,C20353,-1
AR190,C00004,1
AR190,C00080,1
AR190,C20351,1
AR191,C00003,-1
AR191,C20368,-1
AR191,C00004,1
AR191,C00080,1
AR191,C20369,1
AR192,C00003,-1
AR192,C20373,-1
AR192,C00004,1
AR192,C00080,1
AR192,C20372,1
AR193,C00003,-1
AR193,C20377,-1
AR193,C00004,1
AR193,C00080,1
AR193,C20376,1
AR194,C00003,-1
AR194,C20222,-1
AR194,C00004,1
AR194,C00080,1
AR194,C17622,1
AR195,C00003,-1
AR195,C20223,-1
AR195,C00004,1
AR195,C00080,1
AR195,C17622,1
AR196,C00003,-1
AR196,C20229,-1
AR196,C00004,1
AR196,C00080,1
AR196,C20262,1
AR197,C00003,-1
AR197,C20261,-1
AR197,C00004,1
AR197,C00080,1
AR197,C09906,1
AR198,C00003,-1
AR198,C20403,-1
AR198,C00004,1
AR198,C00080,1
AR198,C20400,1
AR199,C00003,-1
AR199,C20441,-1
AR199,C00004,1
AR199,C00080,1
AR199,C14279,1
AR200,C00003,-1
AR200,C20443,-1
AR200,C00004,1
AR200,C00080,1
AR200,C11101,1
AR201,C00003,-1
AR201,C20448,-1
AR201,C00004,1
AR201,C00080,1
AR201,C20449,1
AR202,C00003,-1
AR202,C20510,-1
AR202,C00004,1
AR202,C00080,1
AR202,C20511,1
AR203,C00003,-1
AR203,C20593,-1
AR203,C00004,1
AR203,C00080,1
AR203,C13782,1
AR204,C00003,-1
AR204,C20535,-1
AR204,C00004,1
AR204,C00080,1
AR204,C20531,1
AR205,C00003,-1
AR205,C20721,-1
AR205,C00004,1
AR205,C00080,1
AR205,C15711,1
AR206,C00003,-1
AR206,C20768,-1
AR206,C00004,1
AR206,C00080,1
AR206,C04613,1
AR207,C00003,-1
AR207,C20900,-1
AR207,C00004,1
AR207,C00080,1
AR207,C20449,1
AR208,C00003,-1
AR208,C20901,-1
AR208,C00004,1
AR208,C00080,1
AR208,C20450,1
AR209,C00003,-1
AR209,C20940,-1
AR209,C00004,1
AR209,C00080,1
AR209,C20941,1
AR210,C00003,-1
AR210,C00020,-1
AR210,C00004,1
AR210,C00080,1
AR210,C07025,1
AR211,C00003,-1
AR211,C00029,-1
AR211,C00004,1
AR211,C00080,1
AR211,C12210,1
AR212,C00003,-1
AR212,C00031,-1
AR212,C00004,1
AR212,C00080,1
AR212,C03269,1
AR213,C00003,-1
AR213,C00031,-1
AR213,C00004,1
AR213,C00080,1
AR213,C05394,1
AR214,C00003,-1
AR214,C00031,-1
AR214,C00004,1
AR214,C00080,1
AR214,C00198,1
AR215,C00003,-1
AR215,C00031,-1
AR215,C00004,1
AR215,C00080,1
AR215,C02779,1
AR216,C00003,-1
AR216,C00043,-1
AR216,C00004,1
AR216,C00080,1
AR216,C20849,1
AR217,C00003,-1
AR217,C00065,-1
AR217,C00004,1
AR217,C00080,1
AR217,C11822,1
AR218,C00003,-1
AR218,C00089,-1
AR218,C00004,1
AR218,C00080,1
AR218,C05731,1
AR219,C00003,-1
AR219,C00092,-1
AR219,C00004,1
AR219,C00080,1
AR219,C20668,1
AR220,C00003,-1
AR220,C00092,-1
AR220,C00004,1
AR220,C00080,1
AR220,C01236,1
AR221,C00003,-1
AR221,C00093,-1
AR221,C00004,1
AR221,C00080,1
AR221,C00118,1
AR222,C00003,-1
AR222,C00093,-1
AR222,C00004,1
AR222,C00080,1
AR222,C00111,1
AR223,C00003,-1
AR223,C00160,-1
AR223,C00004,1
AR223,C00048,1
AR223,C00080,1
AR224,C00003,-1
AR224,C00181,-1
AR224,C00004,1
AR224,C00080,1
AR224,C02266,1
AR225,C00003,-1
AR225,C00111,-1
AR225,C00004,1
AR225,C00080,1
AR225,C16849,1
AR226,C00003,-1
AR226,C00114,-1
AR226,C00004,1
AR226,C00080,1
AR226,C00576,1
AR227,C00003,-1
AR227,C00116,-1
AR227,C00004,1
AR227,C00080,1
AR227,C00184,1
AR228,C00003,-1
AR228,C00116,-1
AR228,C00004,1
AR228,C00080,1
AR228,C00577,1
AR229,C00003,-1
AR229,C00118,-1
AR229,C00004,1
AR229,C00080,1
AR229,C16849,1
AR230,C00003,-1
AR230,C00121,-1
AR230,C00004,1
AR230,C00080,1
AR230,C00652,1
AR231,C00003,-1
AR231,C00132,-1
AR231,C00004,1
AR231,C00067,1
AR231,C00080,1
AR232,C00003,-1
AR232,C00137,-1
AR232,C00004,1
AR232,C00080,1
AR232,C00691,1
AR233,C00003,-1
AR233,C00140,-1
AR233,C00004,1
AR233,C00080,1
AR233,C03776,1
AR234,C00003,-1
AR234,C00149,-1
AR234,C00004,1
AR234,C00036,1
AR234,C00080,1
AR235,C00003,-1
AR235,C00197,-1
AR235,C00004,1
AR235,C00080,1
AR235,C03232,1
AR236,C00003,-1
AR236,C00198,-1
AR236,C00004,1
AR236,C00080,1
AR236,C06440,1
AR237,C00003,-1
AR237,C00198,-1
AR237,C00004,1
AR237,C00080,1
AR237,C03387,1
AR238,C00003,-1
AR238,C00204,-1
AR238,C00004,1
AR238,C00080,1
AR238,C04349,1
AR239,C00003,-1
AR239,C00204,-1
AR239,C00004,1
AR239,C00080,1
AR239,C04053,1
AR240,C00003,-1
AR240,C00212,-1
AR240,C00004,1
AR240,C00080,1
AR240,C11500,1
AR241,C00003,-1
AR241,C00860,-1
AR241,C00004,1
AR241,C00080,1
AR241,C01929,1
AR242,C00003,-1
AR242,C00466,-1
AR242,C00004,1
AR242,C00080,1
AR242,C00741,1
AR243,C00003,-1
AR243,C00639,-1
AR243,C00004,1
AR243,C00080,1
AR243,C00584,1
AR244,C00003,-1
AR244,C00639,-1
AR244,C00004,1
AR244,C00080,1
AR244,C00696,1
AR245,C00003,-1
AR245,C00639,-1
AR245,C00004,1
AR245,C00080,1
AR245,C05960,1
AR246,C00003,-1
AR246,C00640,-1
AR246,C00004,1
AR246,C00080,1
AR246,C00264,1
AR247,C00003,-1
AR247,C00644,-1
AR247,C00004,1
AR247,C00080,1
AR247,C06019,1
AR248,C00003,-1
AR248,C00644,-1
AR248,C00004,1
AR248,C00080,1
AR248,C02888,1
AR249,C00003,-1
AR249,C00644,-1
AR249,C00004,1
AR249,C00080,1
AR249,C03251,1
AR250,C00003,-1
AR250,C00756,-1
AR250,C00004,1
AR250,C00080,1
AR250,C01545,1
AR251,C00003,-1
AR251,C00836,-1
AR251,C00004,1
AR251,C00080,1
AR251,C02934,1
AR252,C00003,-1
AR252,C00552,-1
AR252,C00004,1
AR252,C00080,1
AR252,C03459,1
AR253,C00003,-1
AR253,C03485,-1
AR253,C00004,1
AR253,C00080,1
AR253,C00193,1
AR254,C00003,-1
AR254,C00583,-1
AR254,C00004,1
AR254,C00080,1
AR254,C05235,1
AR255,C00003,-1
AR255,C00583,-1
AR255,C00004,1
AR255,C00080,1
AR255,C00424,1
AR256,C00003,-1
AR256,C00584,-1
AR256,C00004,1
AR256,C00080,1
AR256,C04707,1
AR257,C00003,-1
AR257,C00618,-1
AR257,C00004,1
AR257,C00080,1
AR257,C04575,1
AR258,C00003,-1
AR258,C00625,-1
AR258,C00004,1
AR258,C00080,1
AR258,C03792,1
AR259,C00003,-1
AR259,C00627,-1
AR259,C00004,1
AR259,C00018,1
AR259,C00080,1
AR260,C00003,-1
AR260,C00681,-1
AR260,C00004,1
AR260,C00080,1
AR260,C03372,1
AR261,C00003,-1
AR261,C00684,-1
AR261,C00004,1
AR261,C00080,1
AR261,C05406,1
AR262,C00003,-1
AR262,C00695,-1
AR262,C00004,1
AR262,C00080,1
AR262,C04643,1
AR263,C00003,-1
AR263,C00695,-1
AR263,C00004,1
AR263,C00080,1
AR263,C01292,1
AR264,C00003,-1
AR264,C00696,-1
AR264,C00004,1
AR264,C00080,1
AR264,C04758,1
AR265,C00003,-1
AR265,C00266,-1
AR265,C00004,1
AR265,C00080,1
AR265,C14448,1
AR266,C00003,-1
AR266,C00272,-1
AR266,C00004,1
AR266,C00080,1
AR266,C04244,1
AR267,C00003,-1
AR267,C00473,-1
AR267,C00004,1
AR267,C00080,1
AR267,C00376,1
AR268,C00003,-1
AR268,C00502,-1
AR268,C00004,1
AR268,C00080,1
