rn,delta_G,delta_G_error
AR274,3.67,0.09436169999999999
AR275,3.76,0.090722
AR276,2.21,0.0993574
AR277,5.78,0.0889813
AR278,3.67,0.0743915
AR279,-2.0,0.623695
AR280,2.3,0.266127
AR281,6.22,0.0407959
AR282,3.76,0.146812
AR283,5.22,0.104602
AR284,2.3,0.160005
AR285,-2.0,0.354444
AR287,5.22,0.16145299999999999
AR288,3.76,0.25951399999999997
AR289,3.76,0.25951399999999997
AR290,6.22,0.236594
AR291,6.22,0.09694939999999999
AR292,5.22,0.13582
AR293,5.22,0.103021
AR294,5.22,0.09993389999999999
AR295,2.3,0.22035500000000002
AR296,6.22,0.110634
AR297,2.3,0.18271099999999998
AR298,3.76,0.253162
AR299,6.22,0.22814099999999998
AR300,5.22,0.09449860000000002
AR301,5.22,0.18137799999999998
AR302,3.76,0.246986
AR303,5.22,0.179569
AR304,3.76,0.258338
AR305,2.3,0.16966099999999998
AR306,6.22,0.04485580000000001
AR307,2.3,0.09534169999999999
AR308,2.3,0.21667199999999998
AR309,0.75,0.11803
AR310,-2.0,0.354476
AR311,5.22,0.118709
AR312,6.22,0.0942279
AR313,2.3,0.07553789999999999
AR314,2.3,0.0749339
AR315,3.67,0.0779194
AR316,5.22,0.13668
AR317,0.75,0.0956154
AR318,5.22,0.09452150000000001
AR319,3.67,0.08923049999999999
AR320,3.76,0.078185
AR321,4.76,0.013049799999999999
AR322,5.22,0.082847
AR324,2.3,0.07948910000000001
AR325,5.22,0.171604
AR326,2.21,0.0858682
AR327,2.3,0.0799931
AR328,5.22,0.0898154
AR330,2.3,0.07492539999999999
AR331,3.67,0.0346852
AR332,2.3,0.09002389999999999
AR333,5.22,0.092847
AR334,0.75,0.0956154
AR335,5.22,0.02074
AR336,4.76,0.0607966
AR337,5.22,0.115323
AR338,2.3,0.130977
AR340,4.76,0.191598
AR341,5.22,0.129647
AR342,6.22,0.160301
AR343,3.76,0.240536
AR344,5.22,0.167654
AR345,6.22,0.0524202
AR346,3.76,0.102211
AR347,2.3,0.0961027
AR348,3.76,0.169506
AR350,5.22,0.171449
AR351,4.67,0.00810628
AR352,2.3,0.08713889999999999
AR353,3.67,0.0726831
AR354,3.67,0.0803558
AR355,0.75,0.09211989999999999
AR356,6.22,0.0568129
AR357,6.22,0.10561
AR358,2.3,0.296599
AR360,5.22,0.198446
AR361,6.22,0.234992
AR363,3.76,0.222202
AR365,0.75,0.0615434
AR366,4.67,0.0384841
AR367,0.75,0.137247
AR368,5.22,0.169234
AR369,7.68,0.156223
AR370,3.76,0.195213
AR371,2.3,0.0938885
AR372,6.22,0.0942279
