rn,delta_G,delta_G_error
AR2599,7.66,0.16304100000000002
AR2600,7.66,0.351971
AR2608,7.66,0.114685
AR2609,7.66,0.8607819999999999
AR2610,7.66,0.11725799999999999
AR2611,7.66,0.543266
AR2612,8.31,0.571258
AR2613,8.31,0.573088
AR2614,8.31,0.508905
AR2615,7.66,0.766842
AR2618,8.31,0.5713739999999999
AR2619,7.66,0.42181199999999996
AR2620,8.31,0.575232
AR2621,7.66,0.8577790000000001
AR2622,8.31,0.575285
AR2623,7.66,0.411671
AR2624,7.66,0.294648
AR2625,8.31,0.564413
AR2626,7.66,0.28801
AR2627,8.31,0.5345850000000001
AR2628,8.31,0.574048
AR2629,7.66,0.822845
AR2630,8.31,0.570032
AR2632,8.31,0.573932
AR2633,7.66,0.28830700000000004
AR2634,7.66,0.288599
AR2635,8.31,0.5685680000000001
AR2636,7.66,0.290321
AR2638,7.66,0.289007
AR2639,7.66,0.286263
AR2640,8.31,0.574224
AR2642,8.31,0.5721470000000001
AR2643,7.66,0.336704
AR2644,7.66,0.338932
AR2645,8.31,0.485887
AR2646,8.31,0.488936
AR2647,7.66,0.963525
AR2649,7.66,1.41288
AR2650,7.66,0.294088
AR2651,7.66,0.299554
AR2655,7.66,0.289167
AR2656,7.66,0.294059
AR2668,8.31,0.563641
AR2669,10.91,0.506726
AR2670,8.31,0.44562399999999996
AR2671,7.66,0.804963
AR2672,7.66,0.383052
AR2673,10.91,0.516282
AR2676,8.31,0.582196
AR2677,7.66,0.5573819999999999
AR2678,8.31,0.5493600000000001
AR2679,8.31,0.583572
AR2680,8.31,0.583572
AR2682,11.56,0.614205
AR2683,8.31,0.575725
AR2684,7.66,0.8901379999999999
AR2685,7.66,0.714395
AR2691,7.66,0.7037720000000001
AR2692,7.66,1.08657
AR2693,7.66,0.0960534
AR2694,8.31,0.57997
AR2695,7.66,0.09708760000000001
AR2696,7.66,0.829953
AR2697,10.91,0.52705
AR2699,7.66,0.611954
AR2703,7.75,0.438263
AR2705,7.66,0.177598
AR2706,7.66,0.29873099999999997
AR2707,7.66,0.9431370000000001
AR2708,10.91,0.44430200000000003
AR2710,8.31,0.437363
AR2711,8.31,0.578869
AR2712,8.31,0.527366
AR2713,8.31,0.552284
AR2714,8.31,0.556956
AR2715,8.31,0.5554859999999999
AR2716,7.66,0.788312
AR2717,7.66,0.277221
AR2718,7.66,0.26819499999999996
AR2722,8.31,0.525928
AR2723,7.66,0.8266600000000001
AR2724,8.31,0.583485
AR2725,8.31,0.5868180000000001
AR2727,10.91,0.537894
AR2728,10.91,0.49602399999999996
AR2729,8.31,0.582993
AR2730,7.66,0.300772
AR2731,8.31,0.48531899999999994
AR2732,8.31,0.49667100000000003
AR2733,7.66,0.289944
AR2735,8.4,0.606159
AR2736,7.66,0.6944060000000001
AR2737,8.31,0.545205
AR2738,7.66,1.00603
AR2739,7.66,1.10214
AR2740,8.31,0.4145
AR2741,8.31,0.422313
AR2742,7.66,0.16682
AR2744,7.66,0.898057
AR2745,7.66,0.816062
AR2747,7.66,0.0965715
AR2749,8.31,0.569154
AR2750,7.66,0.20078
AR2752,8.31,0.48113900000000004
AR2753,8.31,0.527846
AR2754,8.31,0.597168
AR2756,7.66,0.5522630000000001
AR2757,8.31,0.528118
AR2758,7.66,0.734467
AR2759,7.66,0.97895
AR2760,8.31,0.574018
AR2761,7.66,1.22333
AR2762,8.31,0.500728
AR2763,7.66,0.32197600000000004
AR2764,8.31,0.577623
AR2765,7.66,0.480116
AR2766,7.66,0.269406
AR2767,7.66,0.332468
AR2768,7.66,0.43128599999999995
AR2769,7.66,0.605496
AR2771,7.66,0.842234
AR2772,7.66,0.234296
AR2773,7.66,0.342443
AR2774,8.31,0.573082
AR2775,7.66,0.595274
AR2776,7.66,0.6345029999999999
AR2777,7.66,0.583595
AR2778,7.66,0.42714399999999997
AR2780,8.31,0.5729989999999999
AR2782,8.31,0.537918
AR2783,7.66,0.317938
AR2784,10.91,0.39982
AR2786,7.66,0.173922
AR2788,8.31,0.531576
AR2789,7.66,0.9916530000000001
AR2791,8.31,0.566545
AR2792,8.31,0.566545
AR2793,8.31,0.566545
AR2794,7.66,0.219606
AR2795,7.66,0.77984
AR2796,7.66,0.812523
AR2797,7.66,0.994108
AR2798,7.66,1.03539
AR2799,7.66,0.309382
AR2800,7.66,0.288858
AR2801,8.31,0.5729
AR2804,8.31,0.537697
AR2805,7.66,1.2638200000000002
AR2806,10.91,0.434713
AR2809,-20.54,0.472419
AR2810,7.66,0.30695900000000004
AR2811,-20.54,0.268178
AR2812,-19.89,0.556341
AR2813,10.91,0.558129
AR2814,7.66,0.397296
AR2816,10.91,0.5140170000000001
AR2817,7.75,0.510588
AR2818,7.66,0.242421
AR2819,3.16,0.784338
AR2820,3.16,0.30941
AR2821,3.16,0.290035
AR2825,8.31,0.522692
AR2826,7.66,0.606402
AR2827,7.66,1.27444
AR2831,8.31,0.569515
AR2832,8.31,0.569457
AR2833,8.31,0.575465
AR2834,7.66,0.748466
AR2835,7.66,0.540248
AR2836,7.66,0.288128
AR2837,8.31,0.575322
AR2839,7.66,0.341231
AR2840,8.31,0.577547
AR2842,7.66,0.145347
AR2843,7.66,0.816062
AR2844,8.31,0.5759
AR2853,8.31,0.574988
AR2854,8.31,0.57498
AR2855,8.31,0.576678
AR2856,8.31,0.583356
AR2857,8.31,0.583817
AR2859,7.66,0.559884
AR2860,7.66,0.559287
AR2861,8.31,0.5650189999999999
AR2862,8.31,0.55896
AR2863,8.31,0.54387
AR2864,8.31,0.531779
AR2865,8.31,0.549851
AR2866,8.31,0.56542
AR2867,7.66,0.8387899999999999
AR2869,7.66,0.6364449999999999
AR2870,8.31,0.558025
AR2872,7.66,0.8424719999999999
AR2873,7.66,0.902536
AR2874,10.91,0.562084
AR2875,8.31,0.56933
AR2876,8.31,0.47561000000000003
AR2877,8.31,0.45592
AR2878,8.31,0.47878100000000007
AR2879,8.31,0.482775
AR2880,8.31,0.57957
AR2881,7.66,0.299554
AR2882,7.66,0.304709
AR2883,7.66,0.955253
AR2884,16.666,0.17416099999999998
AR2885,18.476,0.276518
AR2886,16.666,0.23433099999999998
AR2888,18.476,0.071973
AR2889,18.476,0.42708100000000004
AR2890,18.476,0.367517
AR2893,-17.666,0.048446699999999995
AR2894,-17.666,0.0675482
AR2895,-17.666,0.0234787
AR2896,-17.666,0.194767
AR2897,-17.666,0.11921300000000001
AR2898,-17.666,0.13503199999999999
AR2899,-17.666,0.132999
AR2901,-17.666,0.0977227
AR2902,-17.666,0.293971
AR2903,-17.666,0.0704646
AR2904,-17.7,0.10591400000000001
AR2905,-17.666,0.620147
AR2906,-17.666,0.193196
AR2907,-17.666,0.12879100000000002
AR2908,-17.666,0.246298
AR2909,-17.666,0.150311
AR2910,-17.666,0.132999
AR2911,-17.666,0.142748
AR2912,-17.666,0.0723666
AR2913,-17.666,0.167034
AR2914,-17.666,0.016200100000000002
AR2915,-17.666,0.15826500000000002
AR2916,-17.666,0.0612168
AR2917,-17.666,0.0116943
AR2918,-17.666,0.218387
AR2919,-17.666,0.0832492
AR2920,-17.666,0.11711099999999999
AR2921,-17.666,0.06827269999999999
AR2922,-17.666,0.113699
AR2923,-17.666,0.176007
AR2925,-17.666,0.0113488
AR2926,-17.666,0.34375900000000004
AR2927,-17.666,0.284195
AR2929,-4.046,0.536767
AR2930,-4.046,0.55599
AR2931,-4.046,1.0521
AR2932,-4.046,1.21678
AR2933,-4.046,0.565753
AR2934,-4.046,1.56289
AR2935,-4.046,0.718183
AR2937,-4.046,0.403239
AR2938,-4.046,0.610005
AR2939,-4.046,0.54061
AR2940,-4.046,0.336635
AR2941,-4.046,0.264947
AR2942,-4.046,0.244754
AR2943,-4.696000000000001,0.506652
AR2944,-4.046,0.24753200000000003
AR2945,-4.046,0.751324
AR2946,-4.046,1.42985
AR2947,-4.046,0.685365
AR2948,-4.046,0.714766
AR2950,-4.046,0.278217
AR2952,-4.046,0.267953
AR2953,-4.046,0.20810900000000002
AR2954,-4.046,0.87466
AR2955,-4.046,0.374225
AR2956,-4.046,1.1038299999999999
AR2957,-4.046,0.215768
AR2958,-4.046,0.799025
AR2959,-4.046,0.240089
AR2960,-4.046,0.9136200000000001
AR2961,-4.046,0.453175
AR2962,-4.046,2.57742
AR2963,-4.046,0.8627819999999999
AR2964,-4.046,0.9664
AR2965,-4.046,0.475229
AR2966,-4.046,0.295821
AR2967,-4.046,0.6741779999999999
AR2968,-4.046,0.798675
AR2969,-4.046,1.08722
AR2970,-4.046,0.31517
AR2971,-4.046,0.799025
AR2972,-4.046,0.29403
AR2973,-4.046,1.15493
AR2974,-4.046,0.765113
AR2975,-4.046,0.841159
AR2976,-4.046,2.6086099999999997
AR2977,-4.046,0.9471860000000001
AR2978,-4.046,1.30681
AR2979,-4.046,0.347691
AR2980,-4.046,0.394283
AR2981,-4.046,0.347258
AR2982,-4.046,0.867849
AR2983,-4.046,0.799025
AR2984,-4.046,0.8712799999999999
AR2985,-4.046,0.295821
AR2986,-4.046,0.544909
AR2987,-4.046,0.0895296
AR2988,-4.046,0.0232173
AR2989,-4.046,0.362818
AR3003,-4.696000000000001,0.7111970000000001
AR3004,-4.046,0.398278
AR3006,-4.046,0.135413
AR3008,-4.046,0.170127
AR3009,-4.696000000000001,0.356089
AR3010,-4.696000000000001,0.415653
AR3011,-4.046,0.13565
AR3016,-4.046,0.11384100000000001
AR3017,-4.046,2.6086099999999997
AR3018,-4.046,0.46203599999999995
AR3019,-4.046,0.46203599999999995
AR3030,4.046,0.347464
AR3031,4.046,0.0230112
AR3032,4.046,0.36302399999999996
AR3033,4.046,1.1040299999999998
AR3035,4.046,0.556196
AR3043,4.046,0.685571
AR3045,4.046,0.315377
AR3047,4.046,1.43005
AR3048,4.046,0.208315
AR3049,4.696000000000001,0.506858
AR3050,4.046,0.247738
AR3051,4.046,0.874866
AR3053,4.046,0.21597399999999997
AR3054,4.046,0.8629879999999999
AR3055,4.046,1.30701
AR3056,4.046,0.966606
AR3057,5.246,0.47208900000000004
AR3058,4.696000000000001,0.711403
AR3059,4.046,0.240296
AR3060,4.046,0.947392
AR3061,4.046,0.278423
AR3062,4.046,1.05231
AR3063,4.046,0.714972
AR3064,4.046,1.08743
AR3065,4.046,0.294236
AR3066,4.046,0.913826
AR3067,5.246,0.534483
AR3068,4.046,0.540816
AR3069,4.046,0.47543500000000005
AR3070,4.046,0.403445
AR3071,4.046,0.398484
AR3073,4.046,0.674384
AR3074,4.046,0.45338100000000003
AR3075,4.046,1.15513
AR3076,4.046,0.34789699999999996
AR3077,4.046,0.374431
AR3078,4.046,0.296027
AR3079,4.046,0.545115
AR3081,4.046,0.13561900000000002
AR3082,4.046,0.39449
AR3084,4.696000000000001,0.356295
AR3085,4.696000000000001,0.41585900000000003
AR3088,4.046,0.610211
AR3089,4.046,0.565959
AR3091,4.046,0.462242
AR3092,4.046,0.8680549999999999
AR3094,4.046,0.5369729999999999
AR3095,4.046,0.765319
AR3096,4.046,0.24495999999999998
AR3104,4.046,0.336841
AR3106,5.246,0.528926
AR3107,4.046,0.8413649999999999
AR3108,4.046,1.21698
AR3109,-5.484,0.0230112
AR3113,-5.484,0.403445
AR3115,-5.484,0.610211
AR3117,-5.484,0.540816
AR3118,-5.484,0.336841
AR3119,-5.484,0.11404700000000001
AR3121,-5.484,0.21597399999999997
AR3123,-5.484,0.374431
AR3124,-5.484,1.1040299999999998
AR3125,-5.484,0.913826
AR3126,-5.484,0.135856
AR3127,-5.484,0.685571
AR3128,-5.484,0.714972
AR3133,-5.484,0.208315
AR3134,-5.484,0.26816
AR3135,-5.484,0.278423
AR3136,-4.284,0.534483
AR3137,-4.284,0.47208900000000004
AR3138,-4.284,0.528926
AR3140,-4.834,0.506858
AR3141,-4.834,0.711403
AR3142,-4.834,0.41585900000000003
AR3143,-4.834,0.356295
AR3145,-5.484,0.24495999999999998
AR3147,-5.484,1.43005
AR3149,-5.484,0.47543500000000005
AR3151,-5.484,0.247738
AR3152,-5.484,0.398484
AR3153,-5.484,0.13561900000000002
AR3156,-5.484,0.265153
AR3157,-5.484,0.17033299999999998
AR3159,-5.484,0.874866
AR3163,-5.484,0.240296
AR3165,-5.484,0.45338100000000003
AR3166,-5.484,0.765319
AR3167,-5.484,0.8629879999999999
AR3168,-5.484,2.57763
AR3170,-5.484,0.674384
AR3172,-5.484,0.966606
AR3173,-5.484,0.296027
AR3174,-5.484,0.462242
AR3176,-5.484,1.08743
AR3177,-5.484,0.315377
AR3178,-5.484,0.294236
AR3180,-5.484,1.15513
AR3181,-5.484,2.60881
AR3182,-5.484,0.34789699999999996
AR3183,-5.484,0.8413649999999999
AR3184,-5.484,0.296027
AR3185,-5.484,0.462242
AR3187,-5.484,0.545115
AR3188,-5.484,0.947392
AR3189,-5.484,1.30701
AR3190,-5.484,0.347464
AR3191,-5.484,0.39449
AR3193,-5.484,0.8680549999999999
AR3194,-5.484,0.36302399999999996
AR3196,-5.484,0.5369729999999999
AR3197,-5.484,0.556196
AR3198,-5.484,1.05231
AR3200,-5.484,1.21698
AR3202,-5.484,0.565959
AR3203,136.56,0.43413
AR3204,136.56,0.369985
AR3205,136.56,0.353921
AR3206,136.56,0.394334
AR3207,136.56,0.41493800000000003
AR3208,136.56,0.437514
AR3209,136.56,0.417072
AR3210,136.56,0.39416799999999996
AR3211,136.56,0.404123
AR3212,136.56,0.427048
AR3213,136.56,0.45367299999999994
AR3214,138.1,0.666913
AR3215,136.9,0.4113
AR3216,136.56,0.405735
AR3217,136.56,0.37262
AR3218,136.56,0.37262
AR3219,136.56,0.373638
AR3220,136.56,0.368008
AR3221,133.82,0.502694
AR3222,136.56,0.381945
AR3223,136.56,0.363037
AR3224,119.35,0.321552
AR3225,136.56,0.429834
AR3226,136.56,0.425727
AR3227,136.56,0.371659
AR3228,136.56,0.35525100000000004
AR3230,136.56,0.42634700000000003
AR3231,136.56,0.418325
AR3232,136.56,0.3375
AR3233,141.76,0.46706499999999995
AR3234,136.56,0.374652
AR3235,136.56,0.446078
AR3236,136.56,0.332971
AR3237,136.56,0.36941199999999996
AR3238,136.56,0.40065500000000004
AR3239,136.56,0.39729899999999996
AR3240,136.56,0.355871
AR3242,136.56,0.404624
AR3243,136.56,0.313718
AR3244,136.56,0.40057
AR3246,136.56,0.279073
AR3247,136.56,0.427816
AR3248,136.56,0.34780900000000003
AR3249,136.56,0.38392
AR3250,136.56,0.44596
AR3251,136.56,0.346462
AR3252,136.56,0.404491
AR3253,136.56,0.363641
AR3254,136.56,0.430967
AR3255,136.56,0.421253
AR3256,136.56,0.42439799999999994
AR3257,136.56,0.38515
AR3258,136.56,0.384733
AR3259,136.56,0.397415
AR3260,136.56,0.36999499999999996
AR3261,136.56,0.41369799999999995
AR3262,119.35,0.321552
AR3263,136.56,0.43673
AR3264,136.56,0.398136
AR3265,136.56,0.405204
AR3266,136.56,0.42436599999999997
AR3267,136.56,0.42436599999999997
AR3268,136.56,0.445292
AR3269,136.56,0.305841
AR3270,136.56,0.28977600000000003
AR3271,136.56,0.330189
AR3272,136.56,0.350794
AR3273,136.56,0.373369
AR3274,136.56,0.352927
AR3275,136.56,0.330023
AR3276,136.56,0.339979
AR3277,136.56,0.362904
AR3278,136.56,0.389529
AR3279,138.1,0.602769
AR3280,136.9,0.347155
AR3281,136.56,0.341591
AR3282,136.56,0.30847600000000003
AR3283,136.56,0.30847600000000003
AR3284,136.56,0.309494
AR3285,136.56,0.30386399999999997
AR3286,133.82,0.43855
AR3287,136.56,0.3178
AR3288,136.56,0.298892
AR3289,119.35,0.25740799999999997
AR3290,136.56,0.36569
AR3291,136.56,0.361583
AR3292,136.56,0.307514
AR3293,136.56,0.291107
AR3295,136.56,0.362203
AR3296,136.56,0.35418099999999997
AR3297,136.56,0.273356
AR3298,141.76,0.40292
AR3299,136.56,0.310508
AR3300,136.56,0.38193299999999997
AR3301,136.56,0.268827
AR3302,136.56,0.305268
AR3303,136.56,0.33651
AR3304,136.56,0.33315500000000003
AR3305,136.56,0.291727
AR3307,136.56,0.34048
AR3308,136.56,0.249574
AR3309,136.56,0.336426
AR3311,136.56,0.214928
AR3312,136.56,0.363672
AR3313,136.56,0.283665
AR3314,136.56,0.319776
AR3315,136.56,0.381816
AR3316,136.56,0.28231799999999996
AR3317,136.56,0.340346
AR3318,136.56,0.299496
AR3319,136.56,0.366823
AR3320,136.56,0.357109
AR3321,136.56,0.360254
AR3322,136.56,0.321006
AR3323,136.56,0.320589
AR3324,136.56,0.333271
AR3325,136.56,0.30585
AR3326,136.56,0.349553
AR3327,119.35,0.25740799999999997
AR3328,136.56,0.372585
AR3329,136.56,0.333992
AR3330,136.56,0.34106
AR3331,136.56,0.360221
AR3332,136.56,0.360221
AR3333,136.56,0.38114699999999996
AR3334,136.56,0.27371100000000004
AR3335,136.56,0.314125
AR3336,136.56,0.334729
AR3337,136.56,0.35730500000000004
AR3338,136.56,0.336863
AR3339,136.56,0.313959
AR3340,136.56,0.323914
AR3341,136.56,0.346839
AR3342,136.56,0.37346399999999996
AR3343,138.1,0.586704
AR3344,136.9,0.33109099999999997
AR3345,136.56,0.32552600000000004
AR3346,136.56,0.29241100000000003
AR3347,136.56,0.29241100000000003
AR3348,136.56,0.293429
AR3349,136.56,0.28779899999999997
AR3350,133.82,0.42248500000000005
AR3351,136.56,0.301736
AR3352,136.56,0.282828
AR3353,119.35,0.24134299999999997
AR3354,136.56,0.349625
AR3355,136.56,0.345518
AR3356,136.56,0.29145
AR3357,136.56,0.275042
AR3359,136.56,0.346138
AR3360,136.56,0.33811599999999997
AR3361,136.56,0.257291
AR3362,141.76,0.386856
AR3363,136.56,0.294443
AR3364,136.56,0.365869
AR3365,136.56,0.252762
AR3366,136.56,0.28920300000000004
AR3367,136.56,0.320446
AR3368,136.56,0.31709
AR3369,136.56,0.27566199999999996
AR3371,136.56,0.324415
AR3372,136.56,0.23350900000000002
AR3373,136.56,0.320361
AR3375,136.56,0.198864
AR3376,136.56,0.347607
AR3377,136.56,0.2676
AR3378,136.56,0.303711
AR3379,136.56,0.36575100000000005
AR3380,136.56,0.266253
AR3381,136.56,0.324282
AR3382,136.56,0.283432
AR3383,136.56,0.350758
AR3384,136.56,0.341044
AR3385,136.56,0.34418899999999997
AR3386,136.56,0.30494099999999996
AR3387,136.56,0.30452399999999996
AR3388,136.56,0.317206
AR3389,136.56,0.289786
AR3390,136.56,0.333489
AR3391,119.35,0.24134299999999997
AR3392,136.56,0.356521
AR3393,136.56,0.317927
AR3394,136.56,0.324995
AR3395,136.56,0.344157
AR3396,136.56,0.344157
AR3397,136.56,0.365083
AR3398,136.56,0.354538
AR3399,136.56,0.375143
AR3400,136.56,0.39771799999999996
AR3401,136.56,0.377276
AR3402,136.56,0.35437199999999996
AR3403,136.56,0.364327
AR3404,136.56,0.387252
AR3405,136.56,0.41387700000000005
AR3406,138.1,0.627117
AR3407,136.9,0.371504
AR3408,136.56,0.365939
AR3409,136.56,0.33282399999999995
AR3410,136.56,0.33282399999999995
AR3411,136.56,0.333842
AR3412,136.56,0.328212
AR3413,133.82,0.462898
AR3414,136.56,0.342149
AR3415,136.56,0.323241
AR3416,119.35,0.281756
AR3417,136.56,0.390038
AR3418,136.56,0.385932
AR3419,136.56,0.331863
AR3420,136.56,0.315456
AR3422,136.56,0.38655100000000003
AR3423,136.56,0.378529
AR3424,136.56,0.29770399999999997
AR3425,141.76,0.42726899999999995
AR3426,136.56,0.334856
AR3427,136.56,0.40628200000000003
AR3428,136.56,0.293175
AR3429,136.56,0.32961599999999996
AR3430,136.56,0.36085900000000004
AR3431,136.56,0.357503
AR3432,136.56,0.316075
AR3434,136.56,0.36482800000000004
AR3435,136.56,0.273922
AR3436,136.56,0.360775
AR3438,136.56,0.239277
AR3439,136.56,0.38802
AR3440,136.56,0.30801300000000004
AR3441,136.56,0.344125
AR3442,136.56,0.406165
AR3443,136.56,0.306666
AR3444,136.56,0.364695
AR3445,136.56,0.323845
AR3446,136.56,0.391171
AR3447,136.56,0.381457
AR3448,136.56,0.38460300000000003
AR3449,136.56,0.345354
AR3450,136.56,0.344938
AR3451,136.56,0.35762
AR3452,136.56,0.33019899999999996
AR3453,136.56,0.373902
AR3454,119.35,0.281756
AR3455,136.56,0.396934
AR3456,136.56,0.35834
AR3457,136.56,0.365408
AR3458,136.56,0.38456999999999997
AR3459,136.56,0.38456999999999997
AR3460,136.56,0.405496
AR3461,136.56,0.39574699999999996
AR3462,136.56,0.418322
AR3463,136.56,0.39788
AR3464,136.56,0.37497600000000003
AR3465,136.56,0.384932
AR3466,136.56,0.407857
AR3467,136.56,0.434482
AR3468,138.1,0.647722
AR3469,136.9,0.392108
AR3470,136.56,0.386544
AR3471,136.56,0.353429
AR3472,136.56,0.353429
AR3473,136.56,0.35444699999999996
AR3474,136.56,0.348817
AR3475,133.82,0.48350299999999996
AR3476,136.56,0.362754
AR3477,136.56,0.34384499999999996
AR3478,119.35,0.302361
AR3479,136.56,0.41064300000000004
AR3480,136.56,0.406536
AR3481,136.56,0.352468
AR3482,136.56,0.33605999999999997
AR3484,136.56,0.407156
AR3485,136.56,0.399134
AR3486,136.56,0.318309
AR3487,141.76,0.447874
AR3488,136.56,0.355461
AR3489,136.56,0.426886
AR3490,136.56,0.31378
AR3491,136.56,0.350221
AR3492,136.56,0.381463
AR3493,136.56,0.378108
AR3494,136.56,0.33668000000000003
AR3496,136.56,0.38543299999999997
AR3497,136.56,0.294527
AR3498,136.56,0.381379
AR3500,136.56,0.259882
AR3501,136.56,0.408625
AR3502,136.56,0.32861799999999997
AR3503,136.56,0.36472899999999997
AR3504,136.56,0.42676899999999995
AR3505,136.56,0.327271
AR3506,136.56,0.385299
AR3507,136.56,0.344449
AR3508,136.56,0.41177600000000003
AR3509,136.56,0.402062
AR3510,136.56,0.40520700000000004
AR3511,136.56,0.36595900000000003
AR3512,136.56,0.36554200000000003
AR3513,136.56,0.378224
AR3514,136.56,0.35080300000000003
AR3515,136.56,0.39450599999999997
AR3516,119.35,0.302361
AR3517,136.56,0.41753900000000005
AR3518,136.56,0.378945
AR3519,136.56,0.386013
AR3520,136.56,0.405174
AR3521,136.56,0.405174
AR3522,136.56,0.4261
AR3523,136.56,0.44089799999999996
AR3524,136.56,0.42045600000000005
AR3525,136.56,0.397552
AR3526,136.56,0.407507
AR3527,136.56,0.430432
AR3528,136.56,0.457057
AR3529,138.1,0.670297
AR3530,136.9,0.414684
AR3531,136.56,0.409119
AR3532,136.56,0.376004
AR3533,136.56,0.376004
AR3534,136.56,0.37702199999999997
AR3535,136.56,0.371392
AR3536,133.82,0.506078
AR3537,136.56,0.385329
AR3538,136.56,0.366421
AR3539,119.35,0.324936
AR3540,136.56,0.43321800000000005
AR3541,136.56,0.42911099999999996
AR3542,136.56,0.37504299999999996
AR3543,136.56,0.358635
AR3545,136.56,0.42973100000000003
AR3546,136.56,0.421709
AR3547,136.56,0.340884
AR3548,141.76,0.47044899999999995
AR3549,136.56,0.37803600000000004
AR3550,136.56,0.449462
AR3551,136.56,0.336355
AR3552,136.56,0.372796
AR3553,136.56,0.404039
AR3554,136.56,0.400683
AR3555,136.56,0.359255
AR3557,136.56,0.408008
AR3558,136.56,0.317102
AR3559,136.56,0.403954
AR3561,136.56,0.282457
AR3562,136.56,0.4312
AR3563,136.56,0.351193
AR3564,136.56,0.387304
AR3565,136.56,0.44934399999999997
AR3566,136.56,0.349846
AR3567,136.56,0.407875
AR3568,136.56,0.367025
AR3569,136.56,0.43435100000000004
AR3570,136.56,0.424637
AR3571,136.56,0.427782
AR3572,136.56,0.388534
AR3573,136.56,0.388117
AR3574,136.56,0.40079899999999996
AR3575,136.56,0.373379
AR3576,136.56,0.41708199999999995
AR3577,119.35,0.324936
AR3578,136.56,0.440114
AR3579,136.56,0.40152
AR3580,136.56,0.408588
AR3581,136.56,0.42775
AR3582,136.56,0.42775
AR3583,136.56,0.448676
AR3584,136.56,0.400014
AR3585,136.56,0.37711
AR3586,136.56,0.387065
AR3587,136.56,0.40998999999999997
AR3588,136.56,0.436615
AR3589,138.1,0.6498550000000001
AR3590,136.9,0.394242
AR3591,136.56,0.388677
AR3592,136.56,0.355562
AR3593,136.56,0.355562
AR3594,136.56,0.35658
AR3595,136.56,0.35095
AR3596,133.82,0.48563599999999996
AR3597,136.56,0.36488699999999996
AR3598,136.56,0.345979
AR3599,119.35,0.304494
AR3600,136.56,0.41277600000000003
AR3601,136.56,0.408669
AR3602,136.56,0.354601
AR3603,136.56,0.338194
AR3605,136.56,0.409289
AR3606,136.56,0.401267
AR3607,136.56,0.320442
AR3608,141.76,0.450007
AR3609,136.56,0.357594
AR3610,136.56,0.42901999999999996
AR3611,136.56,0.315913
AR3612,136.56,0.352354
AR3613,136.56,0.38359699999999997
AR3614,136.56,0.380241
AR3615,136.56,0.33881300000000003
AR3617,136.56,0.38756599999999997
AR3618,136.56,0.29666
AR3619,136.56,0.383513
AR3621,136.56,0.262015
AR3622,136.56,0.410758
AR3623,136.56,0.330751
AR3624,136.56,0.366863
AR3625,136.56,0.428903
AR3626,136.56,0.329404
AR3627,136.56,0.38743299999999997
AR3628,136.56,0.346583
AR3629,136.56,0.413909
AR3630,136.56,0.40419499999999997
AR3631,136.56,0.407341
AR3632,136.56,0.36809200000000003
AR3633,136.56,0.367675
AR3634,136.56,0.380358
AR3635,136.56,0.352937
AR3636,136.56,0.39664
AR3637,119.35,0.304494
AR3638,136.56,0.41967200000000005
AR3639,136.56,0.38107800000000003
AR3640,136.56,0.388146
AR3641,136.56,0.407308
AR3642,136.56,0.407308
AR3643,136.56,0.428234
AR3644,136.56,0.354206
AR3645,136.56,0.364161
AR3646,136.56,0.387086
AR3647,136.56,0.41371099999999994
AR3648,138.1,0.626951
AR3649,136.9,0.371338
AR3650,136.56,0.365773
AR3651,136.56,0.332658
AR3652,136.56,0.332658
AR3653,136.56,0.33367600000000003
AR3654,136.56,0.328046
AR3655,133.82,0.462732
AR3656,136.56,0.341983
AR3657,136.56,0.323075
AR3658,119.35,0.28159
AR3659,136.56,0.389872
AR3660,136.56,0.385765
AR3661,136.56,0.33169699999999996
AR3662,136.56,0.315289
AR3664,136.56,0.386385
AR3665,136.56,0.378363
AR3666,136.56,0.297538
AR3667,141.76,0.42710299999999995
AR3668,136.56,0.33469
AR3669,136.56,0.406116
AR3670,136.56,0.293009
AR3671,136.56,0.32945
AR3672,136.56,0.360693
AR3673,136.56,0.357337
AR3674,136.56,0.315909
AR3676,136.56,0.364662
AR3677,136.56,0.273756
AR3678,136.56,0.360608
AR3680,136.56,0.23911100000000002
AR3681,136.56,0.387854
AR3682,136.56,0.307847
AR3683,136.56,0.343958
AR3684,136.56,0.405998
AR3685,136.56,0.3065
AR3686,136.56,0.364529
AR3687,136.56,0.323679
AR3688,136.56,0.391005
AR3689,136.56,0.381291
AR3690,136.56,0.384436
AR3691,136.56,0.345188
AR3692,136.56,0.344771
AR3693,136.56,0.357453
AR3694,136.56,0.33003299999999997
AR3695,136.56,0.373736
AR3696,119.35,0.28159
AR3697,136.56,0.396768
AR3698,136.56,0.358174
AR3699,136.56,0.365242
AR3700,136.56,0.384404
AR3701,136.56,0.384404
AR3702,136.56,0.40533
AR3703,136.56,0.374116
AR3704,136.56,0.397041
AR3705,136.56,0.423667
AR3706,138.1,0.6369060000000001
AR3707,136.9,0.381293
AR3708,136.56,0.375729
AR3709,136.56,0.342613
AR3710,136.56,0.342613
AR3711,136.56,0.343631
AR3712,136.56,0.338001
AR3713,133.82,0.472688
AR3714,136.56,0.35193800000000003
AR3715,136.56,0.33303
AR3716,119.35,0.291546
AR3717,136.56,0.399827
AR3718,136.56,0.395721
AR3719,136.56,0.341652
AR3720,136.56,0.325245
