,rn,iteration
193,"('R01051', 'forward')",1
194,"('R08616', 'forward')",1
195,"('R08617', 'reverse')",1
196,"('R00183', 'forward')",1
197,"('R10832', 'reverse')",1
198,"('R01785', 'reverse')",1
199,"('R00018', 'forward')",1
200,"('R04177', 'forward')",1
201,"('R02428', 'forward')",1
202,"('R01967', 'reverse')",1
203,"('R01447', 'forward')",1
204,"('R01440', 'reverse')",1
205,"('R05763', 'reverse')",1
206,"('R02601', 'forward')",1
207,"('R01441', 'forward')",1
208,"('R01327', 'reverse')",1
209,"('R02439', 'forward')",1
210,"('R00502', 'forward')",1
211,"('R00474', 'reverse')",1
212,"('R01473', 'reverse')",1
213,"('R02727', 'forward')",1
214,"('R03315', 'forward')",1
215,"('R00867', 'reverse')",1
216,"('R00897', 'reverse')",1
217,"('R09952', 'forward')",1
218,"('R02649', 'reverse')",1
219,"('R00756', 'reverse')",1
220,"('R05647', 'reverse')",1
221,"('R10838', 'reverse')",1
222,"('R00801', 'reverse')",1
223,"('R01288', 'forward')",1
224,"('R05518', 'reverse')",1
225,"('R03239', 'reverse')",1
226,"('R01381', 'forward')",1
227,"('R02089', 'forward')",1
228,"('R01200', 'reverse')",1
229,"('R07265', 'reverse')",1
230,"('R01577', 'forward')",1
231,"('R00753', 'reverse')",1
232,"('R04435', 'reverse')",1
233,"('R10463', 'reverse')",1
234,"('R01205', 'forward')",1
235,"('R00218', 'forward')",1
236,"('R02886', 'forward')",1
237,"('R01444', 'forward')",1
238,"('R00669', 'forward')",1
239,"('R02427', 'forward')",1
240,"('R00505', 'reverse')",1
241,"('R01827', 'reverse')",1
242,"('R01867', 'forward')",1
243,"('R01529', 'reverse')",1
244,"('R00348', 'reverse')",1
245,"('R02748', 'reverse')",1
246,"('R02575', 'reverse')",1
247,"('R01432', 'forward')",1
248,"('R10784', 'reverse')",1
249,"('R05329', 'forward')",1
250,"('R01518', 'forward')",1
251,"('R01228', 'reverse')",1
252,"('R00566', 'reverse')",1
253,"('R05048', 'reverse')",1
254,"('R00173', 'forward')",1
255,"('R10810', 'reverse')",1
256,"('R00962', 'forward')",1
257,"('R02372', 'reverse')",1
258,"('R08635', 'reverse')",1
259,"('R10619', 'forward')",1
260,"('R00574', 'reverse')",1
261,"('R01762', 'forward')",1
262,"('R08555', 'reverse')",1
263,"('R05338', 'forward')",1
264,"('R08570', 'forward')",1
265,"('R05764', 'forward')",1
266,"('R01961', 'reverse')",1
267,"('R07419', 'reverse')",1
268,"('R01201', 'reverse')",1
269,"('R02888', 'forward')",1
270,"('R05142', 'forward')",1
271,"('R01526', 'forward')",1
272,"('R01012', 'reverse')",1
273,"('R00185', 'reverse')",1
274,"('R00131', 'reverse')",1
275,"('R02120', 'reverse')",1
276,"('R09664', 'reverse')",1
277,"('R00839', 'reverse')",1
278,"('R00806', 'forward')",1
279,"('R07394', 'reverse')",1
280,"('R02485', 'reverse')",1
281,"('R00953', 'reverse')",1
282,"('R00726', 'forward')",1
283,"('R07395', 'reverse')",1
284,"('R00877', 'forward')",1
285,"('R00516', 'reverse')",1
286,"('R01549', 'forward')",1
287,"('R00480', 'forward')",1
288,"('R04194', 'forward')",1
289,"('R00292', 'forward')",1
290,"('R00769', 'reverse')",1
291,"('R02185', 'forward')",1
292,"('R08648', 'reverse')",1
293,"('R01919', 'reverse')",1
294,"('R01784', 'forward')",1
295,"('R00444', 'forward')",1
296,"('R04346', 'forward')",1
297,"('R00764', 'reverse')",1
298,"('R01011', 'forward')",1
299,"('R04168', 'forward')",1
300,"('R01433', 'reverse')",1
301,"('R00660', 'forward')",1
302,"('R02036', 'reverse')",1
303,"('R02328', 'forward')",1
304,"('R08991', 'forward')",1
305,"('R01471', 'reverse')",1
306,"('R09666', 'reverse')",1
307,"('R00174', 'reverse')",1
308,"('R00411', 'reverse')",1
309,"('R00132', 'reverse')",1
310,"('R02740', 'forward')",1
311,"('R00827', 'reverse')",1
312,"('R05071', 'forward')",1
313,"('R08196', 'reverse')",1
314,"('R05804', 'reverse')",1
315,"('R02866', 'forward')",1
316,"('R02189', 'reverse')",1
317,"('R10002', 'reverse')",1
318,"('R00272', 'forward')",1
319,"('R10266', 'forward')",1
320,"('R00770', 'reverse')",1
321,"('R02869', 'reverse')",1
322,"('R00878', 'reverse')",1
323,"('R02732', 'forward')",1
324,"('R08614', 'forward')",1
325,"('R01289', 'forward')",1
326,"('R00254', 'reverse')",1
327,"('R01548', 'forward')",1
328,"('R02817', 'reverse')",1
329,"('R00724', 'forward')",1
330,"('R01829', 'forward')",1
331,"('R08572', 'reverse')",1
332,"('R00409', 'forward')",1
333,"('R00430', 'forward')",1
334,"('R02719', 'forward')",1
335,"('R03131', 'forward')",1
336,"('R07307', 'reverse')",1
337,"('R01881', 'forward')",1
338,"('R01890', 'forward')",1
339,"('R01563', 'reverse')",1
340,"('R06869', 'forward')",1
341,"('R01092', 'forward')",1
342,"('R01395', 'reverse')",1
343,"('R08676', 'forward')",1
344,"('R10092', 'reverse')",1
345,"('R00075', 'reverse')",1
346,"('R10049', 'forward')",1
347,"('R02739', 'forward')",1
348,"('R00190', 'reverse')",1
349,"('R00649', 'forward')",1
350,"('R00888', 'reverse')",1
351,"('R00462', 'forward')",1
352,"('R03996', 'forward')",1
353,"('R08548', 'forward')",1
354,"('R01325', 'forward')",1
355,"('R03187', 'forward')",1
356,"('R01966', 'forward')",1
357,"('R00866', 'forward')",1
358,"('R10829', 'forward')",1
359,"('R08056', 'forward')",1
360,"('R00656', 'forward')",1
361,"('R00008', 'forward')",1
362,"('R02833', 'reverse')",1
363,"('R03052', 'forward')",1
364,"('R00999', 'forward')",1
365,"('R10285', 'forward')",1
366,"('R03275', 'forward')",1
367,"('R00670', 'reverse')",1
368,"('R02148', 'forward')",1
369,"('R01920', 'forward')",1
370,"('R03084', 'reverse')",1
371,"('R01067', 'reverse')",1
372,"('R00751', 'forward')",1
373,"('R00414', 'forward')",1
374,"('R01900', 'forward')",1
375,"('R05326', 'forward')",1
376,"('R01408', 'reverse')",1
377,"('R01805', 'forward')",1
378,"('R07629', 'forward')",1
379,"('R02087', 'reverse')",1
380,"('R10153', 'reverse')",1
381,"('R00299', 'forward')",1
382,"('R01826', 'forward')",1
383,"('R00177', 'reverse')",1
384,"('R05141', 'forward')",1
385,"('R09663', 'reverse')",1
386,"('R01050', 'reverse')",1
387,"('R08600', 'forward')",1
388,"('R01870', 'forward')",1
389,"('R10818', 'forward')",1
390,"('R04780', 'reverse')",1
391,"('R00320', 'reverse')",1
392,"('R02749', 'forward')",1
393,"('R02927', 'forward')",1
394,"('R03033', 'forward')",1
395,"('R00261', 'forward')",1
396,"('R05549', 'reverse')",1
397,"('R10691', 'forward')",1
398,"('R02421', 'reverse')",1
399,"('R10062', 'forward')",1
400,"('R00375', 'forward')",1
401,"('R02737', 'forward')",1
402,"('R07256', 'forward')",1
403,"('R09085', 'reverse')",1
404,"('R02887', 'reverse')",1
405,"('R08603', 'reverse')",1
406,"('R02604', 'reverse')",1
407,"('R08639', 'forward')",1
408,"('R01131', 'reverse')",1
409,"('R06171', 'reverse')",1
410,"('R00226', 'reverse')",1
411,"('R02370', 'reverse')",1
412,"('R03237', 'forward')",1
413,"('R00477', 'forward')",1
414,"('R09942', 'forward')",1
415,"('R01445', 'forward')",1
416,"('R00443', 'forward')",1
417,"('R00434', 'forward')",1
418,"('R00524', 'forward')",1
419,"('R02636', 'reverse')",1
420,"('R00123', 'forward')",1
421,"('R00425', 'forward')",1
422,"('R05140', 'reverse')",1
423,"('R08617', 'forward')",1
424,"('R04478', 'reverse')",1
425,"('R00026', 'forward')",1
426,"('R01980', 'reverse')",1
427,"('R05644', 'forward')",1
428,"('R01884', 'reverse')",1
429,"('R01754', 'forward')",1
430,"('R10832', 'forward')",1
431,"('R00584', 'reverse')",1
432,"('R00889', 'forward')",1
433,"('R01804', 'reverse')",1
434,"('R01788', 'forward')",1
435,"('R01139', 'forward')",1
436,"('R01967', 'forward')",1
437,"('R01227', 'forward')",1
438,"('R05805', 'reverse')",1
439,"('R01863', 'reverse')",1
440,"('R00489', 'reverse')",1
441,"('R02035', 'forward')",1
442,"('R02371', 'reverse')",1
443,"('R05563', 'reverse')",1
444,"('R01330', 'reverse')",1
445,"('R03537', 'reverse')",1
446,"('R00474', 'forward')",1
447,"('R05176', 'forward')",1
448,"('R08612', 'reverse')",1
449,"('R00867', 'forward')",1
450,"('R00897', 'forward')",1
451,"('R01830', 'forward')",1
452,"('R00269', 'reverse')",1
453,"('R03504', 'reverse')",1
454,"('R00756', 'forward')",1
455,"('R00801', 'forward')",1
456,"('R05518', 'forward')",1
457,"('R03239', 'forward')",1
458,"('R02714', 'forward')",1
459,"('R09668', 'reverse')",1
460,"('R02332', 'forward')",1
461,"('R07265', 'forward')",1
462,"('R00416', 'reverse')",1
463,"('R00181', 'forward')",1
464,"('R09532', 'forward')",1
465,"('R01982', 'reverse')",1
466,"('R10463', 'forward')",1
467,"('R00088', 'forward')",1
468,"('R00291', 'reverse')",1
469,"('R01523', 'reverse')",1
470,"('R03538', 'reverse')",1
471,"('R01827', 'forward')",1
472,"('R01561', 'forward')",1
473,"('R03375', 'reverse')",1
474,"('R00318', 'forward')",1
475,"('R01529', 'forward')",1
476,"('R00348', 'forward')",1
477,"('R05768', 'reverse')",1
478,"('R05138', 'forward')",1
479,"('R01555', 'reverse')",1
480,"('R02279', 'reverse')",1
481,"('R02426', 'reverse')",1
482,"('R02073', 'forward')",1
483,"('R10344', 'reverse')",1
484,"('R01823', 'forward')",1
485,"('R02139', 'forward')",1
486,"('R02754', 'reverse')",1
487,"('R00760', 'forward')",1
488,"('R00566', 'forward')",1
489,"('R09665', 'forward')",1
490,"('R01664', 'reverse')",1
491,"('R03115', 'forward')",1
492,"('R02091', 'forward')",1
493,"('R01993', 'reverse')",1
494,"('R00809', 'forward')",1
495,"('R08555', 'forward')",1
496,"('R00905', 'reverse')",1
497,"('R01961', 'forward')",1
498,"('R07419', 'forward')",1
499,"('R01201', 'forward')",1
500,"('R00957', 'reverse')",1
501,"('R06428', 'reverse')",1
502,"('R00178', 'forward')",1
503,"('R02325', 'reverse')",1
504,"('R02120', 'forward')",1
505,"('R02603', 'reverse')",1
506,"('R09664', 'forward')",1
507,"('R00839', 'forward')",1
508,"('R00012', 'reverse')",1
509,"('R01132', 'reverse')",1
510,"('R01560', 'forward')",1
511,"('R07394', 'forward')",1
512,"('R01600', 'forward')",1
513,"('R00340', 'forward')",1
514,"('R00763', 'reverse')",1
515,"('R00441', 'reverse')",1
516,"('R05797', 'forward')",1
517,"('R08648', 'forward')",1
518,"('R00725', 'reverse')",1
519,"('R09941', 'reverse')",1
520,"('R01919', 'forward')",1
521,"('R10817', 'reverse')",1
522,"('R01069', 'reverse')",1
523,"('R02360', 'forward')",1
524,"('R09186', 'reverse')",1
525,"('R10776', 'reverse')",1
526,"('R00321', 'reverse')",1
527,"('R10089', 'reverse')",1
528,"('R02036', 'forward')",1
529,"('R09531', 'reverse')",1
530,"('R09666', 'forward')",1
531,"('R00411', 'forward')",1
532,"('R02410', 'reverse')",1
533,"('R07264', 'forward')",1
534,"('R03217', 'forward')",1
535,"('R00956', 'reverse')",1
536,"('R03236', 'forward')",1
537,"('R02335', 'forward')",1
538,"('R01101', 'reverse')",1
