,!MiriamID::urn:miriam:kegg.reaction,!dG0_prime (kJ/mol)
0,R00002,-758.5179665188859
1,R00004,-16.18549557307371
2,R00005,-52.70489109570673
3,R00006,18.464114863236887
4,R00008,14.12340847464975
5,R00009,-191.86777721960277
6,R00010,-11.495275131898552
7,R00011,96.20698621618075
8,R00012,12.57638891186798
9,R00013,-7.359810136766754
10,R00014,-17.858911232586763
11,R00015,-5.79404066025927
12,R00017,104.32275081532093
13,R00018,-6.767621386807292
14,R00019,42.416143379611306
15,R00021,46.367194884724256
16,R00022,-12.445409560195458
17,R00023,-108.99786922740225
18,R00024,-48.93905723878407
19,R00025,-59.045476839442486
20,R00026,-9.516826660081279
21,R00027,12.128265738000287
22,R00028,-14.251203452434765
23,R00029,-91.20278821500222
24,R00031,-528.625250173602
25,R00032,-359.63959683982273
26,R00033,-111.77109242590382
27,R00034,1250.076654868638
28,R00036,-102.96862233721612
29,R00038,-12.346882968709508
30,R00039,0.325339026739357
31,R00041,208.6168160184504
32,R00042,-670.0699358551147
33,R00043,-379.72418073444203
34,R00044,-495.5039470812404
35,R00045,-339.7357065612182
36,R00047,155.42628269653085
37,R00048,-65.07183257787835
38,R00049,-12.301951579313481
39,R00052,105.13244221577044
40,R00053,-65.97312905944523
41,R00054,-67.41082930992673
42,R00055,-423.688709914229
43,R00056,-104.3084080092252
44,R00057,104.29406520312948
45,R00058,-295.73753704147623
46,R00059,3.050668666326601
47,R00060,-200.91050557157482
48,R00061,-200.91050557157482
49,R00062,0.015755829465888382
50,R00063,-5.471141298115413
51,R00066,-88.2954420814583
52,R00067,104.3084080092252
53,R00068,-475.94786289800845
54,R00069,165.90269046276597
55,R00070,-467.1450262815571
56,R00072,-180.3777214951394
57,R00073,-104.32619827454346
58,R00074,-986.6522977943495
59,R00075,-42.29355335629873
60,R00076,35.481807922634744
61,R00077,-223.49191675145707
62,R00078,-3.2566083925924545
63,R00080,-667.3516299597898
64,R00081,208.6168160184504
65,R00082,208.6168160184504
66,R00083,-1036.8317711891216
67,R00084,-122.69583856056238
68,R00085,-76.43803150030146
69,R00086,-37.92086320475082
70,R00087,-60.25253592722791
71,R00088,-46.700025949157265
72,R00089,-8.084621611695106
73,R00090,-312.6051521771569
74,R00091,-24.13383546967475
75,R00092,215.04295937105962
76,R00093,41.50651425579758
77,R00094,9.138872078391387
78,R00095,-61.56441521974034
79,R00097,0.0
80,R00099,49.813981496727365
81,R00100,-49.81398149672691
82,R00101,-49.81398149672691
83,R00102,-54.585158551248014
84,R00103,-57.05413539506014
85,R00104,-21.230013971651942
86,R00105,-21.24747336583232
87,R00106,-46.22025936236946
88,R00108,-46.22025936236946
89,R00109,-46.22025936236946
90,R00111,59.196999509217676
91,R00112,0.017459394179695664
92,R00113,-312.587692782977
93,R00114,41.48905486161766
94,R00115,9.121412684211009
95,R00118,-16.69084923309879
96,R00119,-22.5608618866911
97,R00120,-111.5985028791632
98,R00122,-38.517168295551045
99,R00123,-47.96048120832481
100,R00124,0.0
101,R00125,-60.64143711510201
102,R00126,22.72057391035105
103,R00127,0.5963050908001151
104,R00128,-46.4889280054492
105,R00129,-63.8417418116087
106,R00130,-4.730531985504285
107,R00131,-10.533485069946835
108,R00132,53.36745057419855
109,R00134,-14.52466117194058
110,R00135,299.4229578449706
111,R00137,-3.1984005321678524
112,R00138,-36.00833412991441
113,R00139,5.945827985460369
114,R00140,-5.033823746618623
115,R00141,-41.138291173705824
116,R00143,-103.6878804735145
117,R00145,151.1616178832253
118,R00146,147.56789574886784
119,R00148,-48.94941311128582
120,R00149,-40.18015928316939
121,R00150,14.73660009677134
122,R00152,-76.00310831345081
123,R00153,202.69589505261916
124,R00155,-37.26416399150375
125,R00156,-4.531080010543064
126,R00157,5.127385101343293
127,R00158,-0.6566992132469522
128,R00159,-33.38978319420776
129,R00160,-57.69656315947179
130,R00161,-2.555972767756657
131,R00162,8.870451980658686
132,R00164,-55.87297918786427
133,R00173,-10.527270204305388
134,R00174,-27.393593000444923
135,R00175,38.6454148001838
136,R00177,98.75660838980339
137,R00178,-10.819005261839095
138,R00179,-66.31432506178601
139,R00180,49.150304805926
140,R00181,-22.970278767117946
141,R00182,-18.670280490662208
142,R00183,-14.459919028487981
143,R00184,-61.23774220590224
144,R00185,-23.4609441762625
145,R00187,-66.69859296253071
146,R00188,-7.396386317511407
147,R00189,-38.54625284888516
148,R00190,25.043603039353286
149,R00191,-52.167914315532585
150,R00192,34.33879096794715
151,R00193,-13.979918185844639
152,R00194,-17.070051952098197
153,R00195,9.024143739059497
154,R00196,-104.49246578367158
155,R00197,-104.47543428920093
156,R00198,-104.47543428920093
157,R00199,-21.903468317222092
158,R00200,16.613699978328953
159,R00203,-54.02475137596707
160,R00205,-54.04221077014722
161,R00206,-5.717972744148341
162,R00207,-146.4888209384839
163,R00208,-54.53456318307952
164,R00209,-34.323040573468916
165,R00210,-34.34049996764975
166,R00211,-155.06041553102415
167,R00212,19.81583879570914
168,R00213,-374.660557397355
169,R00214,12.008557367915046
170,R00215,19.911800542486617
171,R00216,11.99109797373535
172,R00217,-5.84060580999369
173,R00218,129.84896993671276
174,R00219,11.545856768029992
175,R00220,-29.45456526273034
176,R00221,-28.041829110178753
177,R00223,-29.45456526273034
178,R00224,-4.991682087112508
179,R00226,18.464114863236887
180,R00227,-43.51325476500352
181,R00228,-29.331358486357203
182,R00229,5.5923915602526435
183,R00230,8.571594592539697
184,R00233,-3.932958136320906
185,R00235,-16.739281162224643
186,R00236,-1194.36456072619
187,R00237,7.071595263639637
188,R00238,24.96930240998813
189,R00239,28.06358502223486
190,R00243,24.453212673526195
191,R00245,-67.67482730644974
192,R00248,24.4357532793465
193,R00250,-96.28416228402786
194,R00251,-16.861523925891504
195,R00253,-20.867561622479798
196,R00254,36.3060057588947
197,R00256,-17.053301582271075
198,R00257,-55.59955443115649
199,R00258,-0.40438094066695385
200,R00259,-32.52844652948818
201,R00260,0.49223384866758124
202,R00261,-10.699620545001324
203,R00262,-7.389187699227875
204,R00263,-414.60269976345154
205,R00264,-60.30768823290305
206,R00265,-28.333132235634594
207,R00267,5.290267799066214
208,R00268,-1.7452219916137324
209,R00269,-5.3240680393069795
210,R00270,44.343645842064134
211,R00271,-39.244704257298054
212,R00272,-5.661755630139851
213,R00273,-140.4619091905904
214,R00274,-303.466280098766
215,R00275,105.91507407174687
216,R00277,-98.09563216843118
217,R00278,-119.03819730038833
218,R00279,-96.7763961326955
219,R00280,-104.3084080092252
220,R00282,-46.22025936236946
221,R00283,-59.496807555830486
222,R00284,-153.5018619702416
223,R00286,-54.59237032902979
224,R00287,-57.700707481037284
225,R00289,3.2322558683999887
226,R00291,2.918375668718454
227,R00292,118.86156280086948
228,R00293,-63.89307294409291
229,R00294,104.3084080092252
230,R00295,-194.5044610845549
231,R00297,-104.47543428920093
232,R00298,-104.33007369601307
233,R00299,-28.84921286735471
234,R00300,-16.078816394176783
235,R00301,-22.630437392240083
236,R00302,-131.98497389015654
237,R00303,-9.071650337396001
238,R00304,-16.51138555355542
239,R00305,-104.29603568905293
240,R00306,-12.815930677622646
241,R00307,-0.09802724471808233
242,R00308,-155.80949184395865
243,R00310,3.2387711070571186
244,R00311,309.6852281764219
245,R00312,-1665.6956855752994
246,R00313,-1665.6956855752994
247,R00314,-1665.6956855752994
248,R00315,14.163986152792546
249,R00316,1177.6252795639657
250,R00317,-52.0848493575434
251,R00318,-89.6041688451393
252,R00319,-496.12123374323215
253,R00320,35.899353784469696
254,R00321,-27.134568831469977
255,R00322,-1237.8778154911936
256,R00324,-55.617187631740165
257,R00325,2.342545599057331
258,R00326,-157.2796027643261
259,R00327,-41.27486396631019
260,R00328,-37.927580272419476
261,R00329,-55.87297918786427
262,R00330,-2.7171525359293582
263,R00331,8.870451980658686
264,R00332,0.0067170676680916586
265,R00333,37.0428255382576
266,R00334,8.870451980658686
267,R00335,-35.20371066882192
268,R00336,-26.729124534789698
269,R00337,-33.4622653736393
270,R00338,-63.95236691543067
271,R00339,-33.91372206324404
272,R00340,-33.91372206324404
273,R00341,10.773094168335433
274,R00342,17.849163177908395
275,R00343,17.8317037837287
276,R00344,-15.084361219566915
277,R00345,48.69395737308575
278,R00346,32.50846180001204
279,R00347,-24.21653354907238
280,R00348,-10.238736065829016
281,R00350,17.24643697481838
282,R00351,47.31509944895835
283,R00352,9.394236244207633
284,R00353,1.9076476736727557
285,R00354,15.052256127879929
286,R00355,2.851902896943159
287,R00357,-93.43225938708481
288,R00359,-98.8521121817093
289,R00360,-102.88821177964546
290,R00361,-104.36206221101492
291,R00362,3.8018446839549256
292,R00363,5.705250958036302
293,R00364,-106.00998286630167
294,R00365,33.216952594485974
295,R00366,-87.52042236306848
296,R00367,1.3033244864349172
297,R00368,22.54337158164276
298,R00369,-9.168120861626335
299,R00371,26.82162244535175
300,R00372,8.763739920959381
301,R00373,5.911837024016336
302,R00374,-207.72309444905196
303,R00380,-156.0167395300807
304,R00383,1551.586009944086
305,R00384,49.81398149672691
306,R00385,46.22025936236946
307,R00387,46.22025936236946
308,R00388,104.29406520312948
