,!MiriamID::urn:miriam:kegg.reaction,!dG0_prime (kJ/mol)
0,R00002,-584.1173816488142
1,R00004,-23.235830744069673
2,R00005,-116.75753810929896
3,R00006,41.29616159313309
4,R00008,14.122195129738543
5,R00009,-191.89645995491486
6,R00010,-11.453588882331246
7,R00011,42.92346624767501
8,R00012,11.693515751339078
9,R00013,-30.181234016756562
10,R00014,-40.652345611718204
11,R00015,-5.773367257056293
12,R00017,58.66884268840882
13,R00018,-4.8411644710958655
14,R00019,-3.223423379644764
15,R00021,89.89308102693033
16,R00022,-13.099060407185561
17,R00023,-45.36300915384077
18,R00024,-7.9000607018246
19,R00025,-35.05402021343282
20,R00026,-9.495984827649522
21,R00027,12.127123522049622
22,R00028,-14.23036162000301
23,R00029,-60.26617611225749
24,R00031,-527.3310942506953
25,R00032,-359.63959683982273
26,R00033,-111.75338900959906
27,R00034,690.8736963832181
28,R00036,-91.70953547760092
29,R00038,-12.346701904555516
30,R00039,0.3243815694626164
31,R00041,117.33768249993827
32,R00042,-670.3702422793159
33,R00043,-365.6279715032165
34,R00044,-496.73417302993516
35,R00045,-343.6645601427068
36,R00047,88.88455553250779
37,R00048,-42.662085153092676
38,R00049,-10.880019991191261
39,R00052,59.47853408885833
40,R00053,-48.89153362848475
41,R00054,-48.75734741985764
42,R00055,-423.6881653664302
43,R00056,-58.668841249969134
44,R00057,58.668839811529445
45,R00058,-298.8632560787048
46,R00059,14.767972873109784
47,R00060,-256.79938065839065
48,R00061,-256.79938065839065
49,R00062,0.1268251007179515
50,R00063,-4.946552513943402
51,R00066,-110.79177318815488
52,R00067,58.668841249969134
53,R00068,-458.26249954727496
54,R00069,166.01843649969362
55,R00070,-520.8293599021742
56,R00072,-157.42402888085886
57,R00073,-58.66884284531159
58,R00074,-984.6343120505104
59,R00075,52.45424344299829
60,R00076,17.94494272078032
61,R00077,-162.35490533208483
62,R00078,-94.5357419111046
63,R00080,-673.6030680342469
64,R00081,117.33768249993827
65,R00082,117.33768249993827
66,R00083,-586.6875416710179
67,R00084,-132.30980858303337
68,R00085,-46.42196693762946
69,R00086,-27.02082665037137
70,R00087,-23.186136193560017
71,R00088,-67.0815943939693
72,R00089,10.496123998336074
73,R00090,-344.22550872343663
74,R00091,13.179503947016883
75,R00092,201.0094077904273
76,R00093,70.9988488173716
77,R00094,38.057931655825314
78,R00095,-35.48504757883438
79,R00097,0.0
80,R00099,35.78042991609482
81,R00100,-35.78042991609459
82,R00101,-35.78042991609459
83,R00102,-15.855663735381427
